Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2013,Superior Court,Modoc County Superior Court,Judges' Retirement System Member,"Judge, Superior Court",True,True,,171792,181292,,184045,0,0,0,184045,0,,,1804,1804,Judicial Retirement System,https://www.modoc.courts.ca.gov/general-information/employment,,08/06/2014,Modoc,,,
2013,Superior Court,Modoc County Superior Court,Judges' Retirement System Member,"Judge, Superior Court",True,True,,171792,181292,,178619,0,0,0,178619,0,,,6190,6190,Judicial Retirement System,https://www.modoc.courts.ca.gov/general-information/employment,,08/06/2014,Modoc,,,
2013,Superior Court,Modoc County Superior Court,Administration,Court Executive Officer,False,True,,78239,119826,,86229,0,0,0,86229,11173,,,10704,21877,2% @ 55 & LIUNA,https://www.modoc.courts.ca.gov/general-information/employment,,08/06/2014,Modoc,,,
2013,Superior Court,Modoc County Superior Court,Family Court Services,Child Recommending Counselor,False,True,Probate Investigator,59172,90612,,61806,0,0,0,61806,9407,0,0,10704,20111,2% @ 55 & LIUNA,https://www.modoc.courts.ca.gov/general-information/employment,,08/06/2014,Modoc,,,
2013,Superior Court,Modoc County Superior Court,Court Reporter,Court Reporter,False,True,,51876,79452,,54599,0,0,0,54599,8307,,,10704,19011,2% @ 55 & LIUNA,https://www.modoc.courts.ca.gov/general-information/employment,,08/06/2014,Modoc,,,
2013,Superior Court,Modoc County Superior Court,Court Operations,Manager,False,True,,46980,71952,,46905,0,0,0,46905,7428,,,10704,18132,2% @ 55 & LIUNA,https://www.modoc.courts.ca.gov/general-information/employment,,08/06/2014,Modoc,,,
2013,Superior Court,Modoc County Superior Court,Court Operations,Supervisor,False,True,,46980,71952,,41049,0,0,0,41049,6675,,,10704,17379,2% @ 55 & LIUNA,https://www.modoc.courts.ca.gov/general-information/employment,,08/06/2014,Modoc,,,
2013,Superior Court,Modoc County Superior Court,Financial,Accounting Supervisor,False,True,,46980,71952,,38859,0,0,0,38859,6316,,,10704,17020,2% @ 55 & LIUNA,https://www.modoc.courts.ca.gov/general-information/employment,,08/06/2014,Modoc,,,
2013,Superior Court,Modoc County Superior Court,Enhanced Collections,Collections Clerk II,False,True,,30936,47376,,34887,0,0,0,34887,5597,,,10704,16301,2% @ 55 & LIUNA,https://www.modoc.courts.ca.gov/general-information/employment,,08/06/2014,Modoc,,,
2013,Superior Court,Modoc County Superior Court,Court Room,Court Clerk II,False,True,,30936,47376,,31439,0,0,0,31439,5098,,,10704,15802,2% @ 55 & LIUNA,https://www.modoc.courts.ca.gov/general-information/employment,,08/06/2014,Modoc,,,
2013,Superior Court,Modoc County Superior Court,Civil,Court Clerk II,False,True,,30936,47376,,29994,0,0,0,29994,5031,,,10704,15735,2% @ 55 & LIUNA,https://www.modoc.courts.ca.gov/general-information/employment,,08/06/2014,Modoc,,,
2013,Superior Court,Modoc County Superior Court,Traffic,Court Clerk II,False,True,,30936,47376,,29809,0,0,0,29809,4995,,,10704,15699,2% @ 55 & LIUNA,https://www.modoc.courts.ca.gov/general-information/employment,,08/06/2014,Modoc,,,
2013,Superior Court,Modoc County Superior Court,Court Room,Court Clerk II,False,True,,30936,47376,,29146,0,0,0,29146,4899,,,10704,15603,2% @ 55 & LIUNA,https://www.modoc.courts.ca.gov/general-information/employment,,08/06/2014,Modoc,,,
2013,Superior Court,Modoc County Superior Court,Extra Help,Court Clerk I,False,True,,19500,19500,,2425,0,0,0,2425,0,0,,0,0,N/A,https://www.modoc.courts.ca.gov/general-information/employment,,08/06/2014,Modoc,,,
2013,Superior Court,Modoc County Superior Court,Extra Help,Court Clerk I,False,True,,19500,19500,,1795,0,0,0,1795,0,0,,0,0,N/A,https://www.modoc.courts.ca.gov/general-information/employment,,08/06/2014,Modoc,,,

