Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2021,Superior Court,Mono County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,215574,225074,,218653,0,0,840,219493,0,0,0,13721,13721,Judicial Retirement System,www.mono.courts.ca.gov,,07/26/2022,Mono,,False,
2021,Superior Court,Mono County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,215574,225074,,217698,0,0,840,218538,0,0,0,16112,16112,Judicial Retirement System,www.mono.courts.ca.gov,,07/26/2022,Mono,,False,
2021,Superior Court,Mono County Superior Court,Superior Court,Court Executive Officer,False,True,,132320,132320,,136502,0,0,4840,141342,15046,0,0,27648,42694,2.5%@55,www.mono.courts.ca.gov,,07/26/2022,Mono,,False,
2021,Superior Court,Mono County Superior Court,Superior Court,Fiscal Director,False,True,,82183,110133,,112347,0,2118,5041,119506,12545,0,0,21627,34172,2%@62,www.mono.courts.ca.gov,,07/26/2022,Mono,,False,
2021,Superior Court,Mono County Superior Court,Superior Court,IT Systems Administrator,False,True,,80178,107447,,105313,0,0,4840,110153,11573,0,0,26957,38530,2%@62,www.mono.courts.ca.gov,,07/26/2022,Mono,,False,
2021,Superior Court,Mono County Superior Court,Superior Court,Senior Courtroom Clerk,False,True,,52442,70277,,70143,14650,1351,18602,104746,7778,0,0,10912,18690,2.7%@55,www.mono.courts.ca.gov,,07/26/2022,Mono,,False,
2021,Superior Court,Mono County Superior Court,Superior Court,Court Operations Manager,False,True,,84237,112886,,94721,0,0,4840,99561,10369,0,0,21627,31996,2%@62,www.mono.courts.ca.gov,,07/26/2022,Mono,,False,
2021,Superior Court,Mono County Superior Court,Superior Court,Deputy Clerk III,False,True,,40467,55586,,56316,136,0,18806,75258,6321,0,0,11979,18300,2.7%@55,www.mono.courts.ca.gov,,07/26/2022,Mono,,False,
2021,Superior Court,Mono County Superior Court,Superior Court,Deputy Clerk IV,False,True,,40968,54900,,57039,41,0,5426,62506,6399,0,0,14859,21258,2%@62,www.mono.courts.ca.gov,,07/26/2022,Mono,,False,
2021,Superior Court,Mono County Superior Court,Superior Court,Executive Assistant,False,True,,54010,72379,,55500,75,1202,4840,61617,6888,0,0,27648,34536,2%@62,www.mono.courts.ca.gov,,07/26/2022,Mono,,False,
2021,Superior Court,Mono County Superior Court,Superior Court,Fiscal Assistant,False,True,,41992,56273,,52111,1149,1916,4280,59456,5705,0,0,21627,27332,2%@62,www.mono.courts.ca.gov,,07/26/2022,Mono,,False,
2021,Superior Court,Mono County Superior Court,Superior Court,Deputy Clerk III,False,True,,38994,52255,,54265,0,0,4276,58541,5972,0,0,14859,20831,2%@62,www.mono.courts.ca.gov,,07/26/2022,Mono,,False,
2021,Superior Court,Mono County Superior Court,Superior Court,Deputy Clerk III,False,True,,38994,52255,,48340,75,0,6426,54841,5556,0,0,21627,27183,2%@62,www.mono.courts.ca.gov,,07/26/2022,Mono,,False,
2021,Superior Court,Mono County Superior Court,Superior Court,Deputy Clerk II,False,True,,36209,48524,,38550,7,0,4000,42557,4220,0,0,14859,19079,2%@62,www.mono.courts.ca.gov,,07/26/2022,Mono,,False,
2021,Superior Court,Mono County Superior Court,Superior Court,Court Interpreter,False,True,,0,0,,40354,62,0,0,40416,0,0,0,0,0,N/A,www.mono.courts.ca.gov,,07/26/2022,Mono,,False,
2021,Superior Court,Mono County Superior Court,Superior Court,Deputy Clerk II,False,True,,36209,48524,,20911,0,792,4000,25703,2334,0,0,256,2590,2%@62,www.mono.courts.ca.gov,,07/26/2022,Mono,,False,
2021,Superior Court,Mono County Superior Court,Superior Court,Deputy Clerk I,False,True,,34465,46186,,9742,7,361,0,10110,1044,0,0,7834,8878,2%@62,www.mono.courts.ca.gov,,07/26/2022,Mono,,False,
2021,Superior Court,Mono County Superior Court,Superior Court,Part Time,False,True,,0,0,,6791,0,0,0,6791,0,0,0,0,0,N/A,www.mono.courts.ca.gov,,07/26/2022,Mono,,False,
2021,Superior Court,Mono County Superior Court,Superior Court,Part Time,False,True,,0,0,,6708,0,0,0,6708,0,0,0,0,0,N/A,www.mono.courts.ca.gov,,07/26/2022,Mono,,False,
2021,Superior Court,Mono County Superior Court,Superior Court,Part Time,False,True,,0,0,,5581,0,0,0,5581,0,0,0,0,0,N/A,www.mono.courts.ca.gov,,07/26/2022,Mono,,False,
2021,Superior Court,Mono County Superior Court,Superior Court,Part Time,False,True,,0,0,,1814,0,0,0,1814,0,0,0,0,0,N/A,www.mono.courts.ca.gov,,07/26/2022,Mono,,False,

