Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2018,Superior Court,Monterey County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,197924,207424,,208235,0,0,5586,213821,0,0,0,7980,7980,Judicial Retirement System,https://www.monterey.courts.ca.gov/general-information/career-opportunities,,09/24/2019,Monterey,,True,
2018,Superior Court,Monterey County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,197924,207424,,204214,0,0,0,204214,0,0,0,2976,2976,Judicial Retirement System,https://www.monterey.courts.ca.gov/general-information/career-opportunities,,09/24/2019,Monterey,,True,
2018,Superior Court,Monterey County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,197924,207424,,198457,0,0,5352,203809,0,0,0,19920,19920,Judicial Retirement System,https://www.monterey.courts.ca.gov/general-information/career-opportunities,,09/24/2019,Monterey,,True,
2018,Superior Court,Monterey County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,197924,207424,,198026,0,0,5586,203612,0,0,0,19920,19920,Judicial Retirement System,https://www.monterey.courts.ca.gov/general-information/career-opportunities,,09/24/2019,Monterey,,True,
2018,Superior Court,Monterey County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,197924,207424,,201648,0,0,20,201668,0,0,0,7980,7980,Judicial Retirement System,https://www.monterey.courts.ca.gov/general-information/career-opportunities,,09/24/2019,Monterey,,True,
2018,Superior Court,Monterey County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,197924,207424,,201648,0,0,0,201648,0,0,0,7980,7980,Judicial Retirement System,https://www.monterey.courts.ca.gov/general-information/career-opportunities,,09/24/2019,Monterey,,True,
2018,Superior Court,Monterey County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,197924,207424,,201542,0,0,0,201542,0,0,0,7980,7980,Judicial Retirement System,https://www.monterey.courts.ca.gov/general-information/career-opportunities,,09/24/2019,Monterey,,True,
2018,Superior Court,Monterey County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,197924,207424,,199753,0,0,0,199753,0,0,0,15389,15389,Judicial Retirement System,https://www.monterey.courts.ca.gov/general-information/career-opportunities,,09/24/2019,Monterey,,True,
2018,Superior Court,Monterey County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,197924,207424,,199541,0,0,0,199541,0,0,0,15389,15389,Judicial Retirement System,https://www.monterey.courts.ca.gov/general-information/career-opportunities,,09/24/2019,Monterey,,True,
2018,Superior Court,Monterey County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,197924,207424,,198565,0,0,20,198585,0,0,0,19920,19920,Judicial Retirement System,https://www.monterey.courts.ca.gov/general-information/career-opportunities,,09/24/2019,Monterey,,True,
2018,Superior Court,Monterey County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,197924,207424,,198565,0,0,6,198571,0,0,0,19920,19920,Judicial Retirement System,https://www.monterey.courts.ca.gov/general-information/career-opportunities,,09/24/2019,Monterey,,True,
2018,Superior Court,Monterey County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,197924,207424,,198565,0,0,0,198565,0,0,0,19920,19920,Judicial Retirement System,https://www.monterey.courts.ca.gov/general-information/career-opportunities,,09/24/2019,Monterey,,True,
2018,Superior Court,Monterey County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,197924,207424,,198223,0,0,56,198279,0,0,0,19920,19920,Judicial Retirement System,https://www.monterey.courts.ca.gov/general-information/career-opportunities,,09/24/2019,Monterey,,True,
2018,Superior Court,Monterey County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,197924,207424,,198223,0,0,0,198223,0,0,0,19920,19920,Judicial Retirement System,https://www.monterey.courts.ca.gov/general-information/career-opportunities,,09/24/2019,Monterey,,True,
2018,Superior Court,Monterey County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,197924,207424,,197730,0,0,-234,197496,0,0,0,19080,19080,Judicial Retirement System,https://www.monterey.courts.ca.gov/general-information/career-opportunities,,09/24/2019,Monterey,,True,
2018,Superior Court,Monterey County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,197924,207424,,196631,0,0,0,196631,0,0,0,19920,19920,Judicial Retirement System,https://www.monterey.courts.ca.gov/general-information/career-opportunities,,09/24/2019,Monterey,,True,
2018,Superior Court,Monterey County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,197924,207424,,195965,0,0,0,195965,0,0,0,19920,19920,Judicial Retirement System,https://www.monterey.courts.ca.gov/general-information/career-opportunities,,09/24/2019,Monterey,,True,
