Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2019,Superior Court,Napa County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,205101,214601,,213086,0,0,5678,218764,0,0,0,9352,9352,Judicial Retirement System,https://www.napa.courts.ca.gov/,,09/01/2020,Napa,,False,
2019,Superior Court,Napa County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,205101,214601,,199409,0,0,14588,213997,0,0,0,20221,20221,Judicial Retirement System,https://www.napa.courts.ca.gov/,,09/01/2020,Napa,,False,
2019,Superior Court,Napa County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,205101,214601,,206223,0,0,4736,210959,0,0,0,21537,21537,Judicial Retirement System,https://www.napa.courts.ca.gov/,,09/01/2020,Napa,,False,
2019,Superior Court,Napa County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,205101,214601,,199637,0,6891,4285,210813,59,0,0,9490,9549,Judicial Retirement System,https://www.napa.courts.ca.gov/,,09/01/2020,Napa,,False,
2019,Superior Court,Napa County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,205101,214601,,209945,0,0,0,209945,0,0,0,7819,7819,Judicial Retirement System,https://www.napa.courts.ca.gov/,,09/01/2020,Napa,,False,
2019,Superior Court,Napa County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,205101,214601,,205063,0,0,4761,209824,0,0,0,15144,15144,Judicial Retirement System,https://www.napa.courts.ca.gov/,,09/01/2020,Napa,,False,
2019,Superior Court,Napa County Superior Court,Superior Ct Of Ca-Co Of Napa,Court Executive Officer,False,True,,187699,203195,,182604,0,0,12160,194764,16370,0,0,1243,17613,2.0% @ 60,https://www.napa.courts.ca.gov/,,09/01/2020,Napa,,False,
2019,Superior Court,Napa County Superior Court,Superior Ct Of Ca-Co Of Napa,Family Law Facilitator,False,True,,124613,150114,,147620,0,0,4200,151820,13612,0,0,25405,39017,2.5% @ 55,https://www.napa.courts.ca.gov/,,09/01/2020,Napa,,False,
2019,Superior Court,Napa County Superior Court,Superior Ct Of Ca-Co Of Napa,Superior Court Commissioner,False,True,,181750,181750,,134682,0,0,3402,138084,12181,0,0,8031,20212,2.0% @ 60,https://www.napa.courts.ca.gov/,,09/01/2020,Napa,,False,
2019,Superior Court,Napa County Superior Court,Superior Ct Of Ca-Co Of Napa,Chief Information Officer,False,True,,106746,129272,,127105,0,3674,4440,135219,11452,0,0,25405,36857,2.5% @ 55,https://www.napa.courts.ca.gov/,,09/01/2020,Napa,,False,
2019,Superior Court,Napa County Superior Court,Superior Ct Of Ca-Co Of Napa,Court Counsel,False,True,,109554,131955,,130288,0,0,3870,134158,12016,0,0,10527,22543,2.0% @ 60,https://www.napa.courts.ca.gov/,,09/01/2020,Napa,,False,
2019,Superior Court,Napa County Superior Court,Superior Ct Of Ca-Co Of Napa,Chief Financial Officer,False,True,,100610,121576,,119578,0,3455,4440,127473,10775,0,0,19808,30583,2.5% @ 55,https://www.napa.courts.ca.gov/,,09/01/2020,Napa,,False,
2019,Superior Court,Napa County Superior Court,Superior Ct Of Ca-Co Of Napa,Deputy Court Executive Officer,False,True,,97552,118019,,113426,0,3354,4440,121220,10460,0,0,22161,32621,2.5% @ 55,https://www.napa.courts.ca.gov/,,09/01/2020,Napa,,False,
2019,Superior Court,Napa County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,205101,214601,,104782,0,0,10028,114810,0,0,0,0,0,Judicial Retirement System,https://www.napa.courts.ca.gov/,,09/01/2020,Napa,,False,
2019,Superior Court,Napa County Superior Court,Superior Ct Of Ca-Co Of Napa,Deputy Court Executive Officer,False,True,,97552,118019,,109363,0,3354,0,112717,10460,0,0,22161,32621,2.5% @ 55,https://www.napa.courts.ca.gov/,,09/01/2020,Napa,,False,
2019,Superior Court,Napa County Superior Court,Superior Ct Of Ca-Co Of Napa,Senior Technology Analyst,False,True,,90834,109179,,106552,2862,0,1320,110734,9613,0,0,25405,35018,2.5% @ 55,https://www.napa.courts.ca.gov/,,09/01/2020,Napa,,False,
2019,Superior Court,Napa County Superior Court,Superior Ct Of Ca-Co Of Napa,Court Reporter,False,True,,80142,96262,,94338,0,12533,3430,110301,8498,0,0,27403,35901,2.5% @ 55,https://www.napa.courts.ca.gov/,,09/01/2020,Napa,,False,
2019,Superior Court,Napa County Superior Court,Superior Ct Of Ca-Co Of Napa,Court Reporter,False,True,,81349,97698,,96189,0,0,600,96789,8669,0,0,19808,28477,2.5% @ 55,https://www.napa.courts.ca.gov/,,09/01/2020,Napa,,False,
2019,Superior Court,Napa County Superior Court,Superior Ct Of Ca-Co Of Napa,Court Reporter,False,True,,81349,97698,,95591,0,0,600,96191,8669,0,0,19808,28477,2.5% @ 55,https://www.napa.courts.ca.gov/,,09/01/2020,Napa,,False,
2019,Superior Court,Napa County Superior Court,Superior Ct Of Ca-Co Of Napa,Court Interpreter,False,True,,76419,92893,,89314,13,0,176,89503,8003,0,0,25405,33408,2.5% @ 55,https://www.napa.courts.ca.gov/,,09/01/2020,Napa,,False,
2019,Superior Court,Napa County Superior Court,Superior Ct Of Ca-Co Of Napa,Human Resources Analyst,False,True,,71011,85218,,83166,0,1614,4680,89460,7889,0,0,22161,30050,2.5% @ 55,https://www.napa.courts.ca.gov/,,09/01/2020,Napa,,False,
2019,Superior Court,Napa County Superior Court,Superior Ct Of Ca-Co Of Napa,Court Interpreter,False,True,,76419,92893,,84374,0,0,0,84374,8003,0,0,23591,31594,2.5% @ 55,https://www.napa.courts.ca.gov/,,09/01/2020,Napa,,False,
2019,Superior Court,Napa County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,205101,214601,,69837,0,0,11226,81063,0,0,0,2713,2713,Judicial Retirement System,https://www.napa.courts.ca.gov/,,09/01/2020,Napa,,False,
2019,Superior Court,Napa County Superior Court,Superior Ct Of Ca-Co Of Napa,Technology Analyst,False,True,,78208,93704,,76275,116,0,2965,79356,7049,0,0,11766,18815,2.5% @ 55,https://www.napa.courts.ca.gov/,,09/01/2020,Napa,,False,
2019,Superior Court,Napa County Superior Court,Superior Ct Of Ca-Co Of Napa,Court Division Supervisor,False,True,,65666,78333,,77109,0,0,600,77709,6960,0,0,19808,26768,2.5% @ 55,https://www.napa.courts.ca.gov/,,09/01/2020,Napa,,False,
2019,Superior Court,Napa County Superior Court,Superior Ct Of Ca-Co Of Napa,Court Division Supervisor,False,True,,65666,78333,,73006,0,0,600,73606,6594,0,0,25340,31934,2.5% @ 55,https://www.napa.courts.ca.gov/,,09/01/2020,Napa,,False,
2019,Superior Court,Napa County Superior Court,Superior Ct Of Ca-Co Of Napa,Court Division Supervisor,False,True,,65666,78333,,72122,381,0,600,73103,6517,0,0,25405,31922,2.5% @ 55,https://www.napa.courts.ca.gov/,,09/01/2020,Napa,,False,
2019,Superior Court,Napa County Superior Court,Superior Ct Of Ca-Co Of Napa,Technology Analyst,False,True,,78208,93704,,71228,0,0,1320,72548,6408,0,0,25405,31813,2.0% @ 62,https://www.napa.courts.ca.gov/,,09/01/2020,Napa,,False,
2019,Superior Court,Napa County Superior Court,Superior Ct Of Ca-Co Of Napa,Court Administrative Assistant,False,True,,56638,69805,,65547,1834,0,4920,72301,6530,0,0,28464,34994,2.5% @ 55,https://www.napa.courts.ca.gov/,,09/01/2020,Napa,,False,
2019,Superior Court,Napa County Superior Court,Superior Ct Of Ca-Co Of Napa,Court Reporter,False,True,,81349,97698,,71309,0,0,893,72202,7298,0,0,26070,33368,2.5% @ 55,https://www.napa.courts.ca.gov/,,09/01/2020,Napa,,False,
