Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2017,Superior Court,Nevada County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,190542,200042,,193790,0,0,0,193790,650,0,0,19330,19980,Judicial Retirement System,http://nccourt.net/geninfo/employment.shtml,,07/31/2018,Nevada,,True,
2017,Superior Court,Nevada County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,190542,200042,,189595,0,0,0,189595,650,0,0,14995,15645,Judicial Retirement System,http://nccourt.net/geninfo/employment.shtml,,07/31/2018,Nevada,,True,
2017,Superior Court,Nevada County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,190542,200042,,189488,0,0,0,189488,650,0,0,19424,20074,Judicial Retirement System,http://nccourt.net/geninfo/employment.shtml,,07/31/2018,Nevada,,True,
2017,Superior Court,Nevada County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,190542,200042,,187280,0,0,0,187280,650,0,0,19424,20074,Judicial Retirement System,http://nccourt.net/geninfo/employment.shtml,,07/31/2018,Nevada,,True,
2017,Superior Court,Nevada County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,190542,200042,,187697,0,0,-662,187035,650,0,0,19424,20074,Judicial Retirement System,http://nccourt.net/geninfo/employment.shtml,,07/31/2018,Nevada,,True,
2017,Superior Court,Nevada County Superior Court,Executive Office,Executive Officer,False,True,,139888,170035,,166434,,,18019,184453,56522,3012,0,0,59534,2.7%@55,http://nccourt.net/geninfo/employment.shtml,,07/31/2018,Nevada,,True,
2017,Superior Court,Nevada County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,190542,200042,,184656,0,0,-662,183994,650,0,0,19424,20074,Judicial Retirement System,http://nccourt.net/geninfo/employment.shtml,,07/31/2018,Nevada,,True,
2017,Superior Court,Nevada County Superior Court,Human Resources,Dir. Human Resources,False,True,,94764,115186,,114186,,6645,18446,139277,38223,,0,0,38223,2.7%@55,http://nccourt.net/geninfo/employment.shtml,,07/31/2018,Nevada,,True,
2017,Superior Court,Nevada County Superior Court,Public Law Center,Public Law Center Dir,False,True,,101911,123971,,121281,,,10808,132089,41214,,0,8372,49586,2.7%@55,http://nccourt.net/geninfo/employment.shtml,,07/31/2018,Nevada,,True,
2017,Superior Court,Nevada County Superior Court,Research Attorney,Research Attorney,False,True,,101911,123971,,123190,,,7471,130661,40135,,0,8372,48507,2.7%@55,http://nccourt.net/geninfo/employment.shtml,,07/31/2018,Nevada,,True,
2017,Superior Court,Nevada County Superior Court,Family Court,Family Court Services Dir.,False,True,,92689,112664,,110159,,,7190,117349,36474,,0,8372,44846,2.7%@55,http://nccourt.net/geninfo/employment.shtml,,07/31/2018,Nevada,,True,
2017,Superior Court,Nevada County Superior Court,Operations,Operations Director,False,True,,94764,115186,,97747,,,10567,108314,33255,,0,8372,41627,2.7%@55,http://nccourt.net/geninfo/employment.shtml,,07/31/2018,Nevada,,True,
2017,Superior Court,Nevada County Superior Court,Security,Information Tech Dir.,False,True,,94764,115186,,95338,,,11423,106761,38227,,0,8372,46599,2.7%@55,http://nccourt.net/geninfo/employment.shtml,,07/31/2018,Nevada,,True,
2017,Superior Court,Nevada County Superior Court,Information Tech.,System Administrator,False,True,,79371,96477,,84660,,,2412,87072,31206,,0,16922,48128,2.7%@55,http://nccourt.net/geninfo/employment.shtml,,07/31/2018,Nevada,,True,
2017,Superior Court,Nevada County Superior Court,Judges & Courtroom,Commissioner,False,True,,170035,170035,,81201,,,4504,85705,31081,,0,4609,35690,2%@62,http://nccourt.net/geninfo/employment.shtml,,07/31/2018,Nevada,,True,
2017,Superior Court,Nevada County Superior Court,Civil,Supervisor,False,True,,52980,64397,,63798,,,15905,79703,21370,,0,0,21370,2.7%@55,http://nccourt.net/geninfo/employment.shtml,,07/31/2018,Nevada,,True,
2017,Superior Court,Nevada County Superior Court,Court Reporter,Court Reporter,False,True,,61303,74515,,74515,,,3963,78478,24124,,0,0,24124,2.7%@55,http://nccourt.net/geninfo/employment.shtml,,07/31/2018,Nevada,,True,
2017,Superior Court,Nevada County Superior Court,Court Reporter,Court Reporter,False,True,,61303,74515,,73453,,,3555,77008,24124,,0,2411,26535,2.7%@55,http://nccourt.net/geninfo/employment.shtml,,07/31/2018,Nevada,,True,
2017,Superior Court,Nevada County Superior Court,Human Resources,Payroll & Benefits Coordinator.,False,True,,46310,56290,,57746,,,1407,59153,18134,,0,0,18134,2%@62,http://nccourt.net/geninfo/employment.shtml,,07/31/2018,Nevada,,True,
2017,Superior Court,Nevada County Superior Court,Judicial,Judicial Asst.,False,True,,46310,56290,,56150,,,1407,57557,18234,,0,10187,28421,2.7%@55,http://nccourt.net/geninfo/employment.shtml,,07/31/2018,Nevada,,True,
2017,Superior Court,Nevada County Superior Court,Judicial,Judicial Asst.,False,True,,46310,56290,,49961,,,3507,53468,16218,,0,0,16218,2.7%@55,http://nccourt.net/geninfo/employment.shtml,,07/31/2018,Nevada,,True,
2017,Superior Court,Nevada County Superior Court,Truckee,Collections,False,True,,36688,44595,,45975,,1361,6132,53468,13159,,0,0,13159,2%@60,http://nccourt.net/geninfo/employment.shtml,,07/31/2018,Nevada,,True,
2017,Superior Court,Nevada County Superior Court,Civil,Court Services Assistant III,False,True,,36688,44595,,50715,,,1935,52650,16862,,0,11684,28546,2.7%@55,http://nccourt.net/geninfo/employment.shtml,,07/31/2018,Nevada,,True,
2017,Superior Court,Nevada County Superior Court,Truckee,Court Services Assistant II,False,True,,36688,44595,,45477,,,4184,49661,15357,,0,9547,24904,2%@62,http://nccourt.net/geninfo/employment.shtml,,07/31/2018,Nevada,,True,
2017,Superior Court,Nevada County Superior Court,Criminal,Court Operations Supervisor,False,True,,52980,64397,,43873,,,5233,49106,16487,,0,6991,23478,2%@60,http://nccourt.net/geninfo/employment.shtml,,07/31/2018,Nevada,,True,
