Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2020,Superior Court,Orange County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,205101,214601,,191925,0,110164,10038,312127,11616,0,3076,20632,35324,Judicial Retirement System,http://www.occourts.org/employment/,,07/27/2021,Orange,,False,
2020,Superior Court,Orange County Superior Court,Executive,Superior Court Chief Executive Officer,False,True,,0,0,,240902,0,9615,5065,255582,17786,0,0,30336,48122,1.62% @ 65,http://www.occourts.org/employment/,,07/27/2021,Orange,,False,
2020,Superior Court,Orange County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,205101,214601,,219606,0,0,12565,232171,0,0,0,20216,20216,Judicial Retirement System,http://www.occourts.org/employment/,,07/27/2021,Orange,,False,
2020,Superior Court,Orange County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,205101,214601,,214530,0,0,14580,229110,0,0,0,16308,16308,Judicial Retirement System,http://www.occourts.org/employment/,,07/27/2021,Orange,,False,
2020,Superior Court,Orange County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,205101,214601,,213305,0,0,12667,225972,0,0,0,16308,16308,Judicial Retirement System,http://www.occourts.org/employment/,,07/27/2021,Orange,,False,
2020,Superior Court,Orange County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,205101,214601,,205730,0,0,19591,225321,0,0,0,16308,16308,Judicial Retirement System,http://www.occourts.org/employment/,,07/27/2021,Orange,,False,
2020,Superior Court,Orange County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,205101,214601,,205730,0,0,19247,224977,0,0,0,16308,16308,Judicial Retirement System,http://www.occourts.org/employment/,,07/27/2021,Orange,,False,
2020,Superior Court,Orange County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,205101,214601,,205933,0,0,17699,223632,0,0,0,16308,16308,Judicial Retirement System,http://www.occourts.org/employment/,,07/27/2021,Orange,,False,
2020,Superior Court,Orange County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,205101,214601,,205730,0,0,17871,223601,0,0,0,16308,16308,Judicial Retirement System,http://www.occourts.org/employment/,,07/27/2021,Orange,,False,
2020,Superior Court,Orange County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,205101,214601,,203181,0,0,19548,222729,0,0,0,20244,20244,Judicial Retirement System,http://www.occourts.org/employment/,,07/27/2021,Orange,,False,
