Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2018,Superior Court,Placer County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,197924,207424,,203710,0,0,0,203710,0,,,15389,15389,Judicial Retirement System,https://www.placer.courts.ca.gov/general-information/employment,,09/24/2019,Placer,,False,
2018,Superior Court,Placer County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,197924,207424,,201731,0,0,0,201731,0,,,7980,7980,Judicial Retirement System,https://www.placer.courts.ca.gov/general-information/employment,,09/24/2019,Placer,,False,
2018,Superior Court,Placer County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,197924,207424,,201543,0,0,0,201543,0,,,7980,7980,Judicial Retirement System,https://www.placer.courts.ca.gov/general-information/employment,,09/24/2019,Placer,,False,
2018,Superior Court,Placer County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,197924,207424,,199955,0,0,-64,199891,0,,,15467,15467,Judicial Retirement System,https://www.placer.courts.ca.gov/general-information/employment,,09/24/2019,Placer,,False,
2018,Superior Court,Placer County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,197924,207424,,199704,0,0,0,199704,0,,,15389,15389,Judicial Retirement System,https://www.placer.courts.ca.gov/general-information/employment,,09/24/2019,Placer,,False,
2018,Superior Court,Placer County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,197924,207424,,198565,0,0,0,198565,0,,,19920,19920,Judicial Retirement System,https://www.placer.courts.ca.gov/general-information/employment,,09/24/2019,Placer,,False,
2018,Superior Court,Placer County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,197924,207424,,198255,0,0,0,198255,0,,,19827,19827,Judicial Retirement System,https://www.placer.courts.ca.gov/general-information/employment,,09/24/2019,Placer,,False,
2018,Superior Court,Placer County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,197924,207424,,198224,0,0,0,198224,0,,,19920,19920,Judicial Retirement System,https://www.placer.courts.ca.gov/general-information/employment,,09/24/2019,Placer,,False,
2018,Superior Court,Placer County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,197924,207424,,196301,0,0,0,196301,0,,,19920,19920,Judicial Retirement System,https://www.placer.courts.ca.gov/general-information/employment,,09/24/2019,Placer,,False,
2018,Superior Court,Placer County Superior Court,Placer County Superior Court,Court Executive Officer,False,True,,192421,192421,,192272,0,0,0,192272,17873,0,0,24939,42812,2.5%@55,https://www.placer.courts.ca.gov/general-information/employment,,09/24/2019,Placer,,False,
2018,Superior Court,Placer County Superior Court,Placer County Superior Court,Commissioner,False,True,,170040,171538,,171538,0,0,0,171538,16042,0,0,27941,43983,2.5%@55,https://www.placer.courts.ca.gov/general-information/employment,,09/24/2019,Placer,,False,
2018,Superior Court,Placer County Superior Court,Placer County Superior Court,Commissioner,False,True,,170040,171538,,171538,0,0,0,171538,11465,0,0,21680,33145,2%@62,https://www.placer.courts.ca.gov/general-information/employment,,09/24/2019,Placer,,False,
2018,Superior Court,Placer County Superior Court,Placer County Superior Court,Commissioner,False,True,,170040,171538,,170338,0,0,0,170338,16042,0,0,21680,37722,2.5%@55,https://www.placer.courts.ca.gov/general-information/employment,,09/24/2019,Placer,,False,
2018,Superior Court,Placer County Superior Court,Placer County Superior Court,Family Law Facilitator,False,True,,92310,148198,,148198,0,7503,2801,158502,14429,0,0,28272,42701,2.5%@55,https://www.placer.courts.ca.gov/general-information/employment,,09/24/2019,Placer,,False,
2018,Superior Court,Placer County Superior Court,Placer County Superior Court,Assistant Court Executive Officer,False,True,,127046,167294,,147359,0,0,6957,154316,14347,0,0,19382,33729,2%@55,https://www.placer.courts.ca.gov/general-information/employment,,09/24/2019,Placer,,False,
2018,Superior Court,Placer County Superior Court,Placer County Superior Court,Senior Legal Research Attorney,False,True,,111384,146661,,145977,0,0,1000,146977,13560,0,0,11276,24836,2.5%@55,https://www.placer.courts.ca.gov/general-information/employment,,09/24/2019,Placer,,False,
2018,Superior Court,Placer County Superior Court,Placer County Superior Court,Information Technology Director,False,True,,105394,138819,,135677,0,2670,7702,146049,12753,0,0,860,13613,2.5%@55,https://www.placer.courts.ca.gov/general-information/employment,,09/24/2019,Placer,,False,
2018,Superior Court,Placer County Superior Court,Placer County Superior Court,Senior Legal Research Attorney,False,True,,111384,146661,,128819,0,4070,1000,133889,12059,0,0,24939,36998,2.5%@55,https://www.placer.courts.ca.gov/general-information/employment,,09/24/2019,Placer,,False,
2018,Superior Court,Placer County Superior Court,Placer County Superior Court,Senior Legal Research Attorney,False,True,,111384,146661,,130934,0,0,1000,131934,12315,0,0,25620,37935,2%@55,https://www.placer.courts.ca.gov/general-information/employment,,09/24/2019,Placer,,False,
2018,Superior Court,Placer County Superior Court,Placer County Superior Court,Family Court Services Director,False,True,,92310,121534,,113539,0,5645,1852,121036,10732,0,0,19382,30114,2%@55,https://www.placer.courts.ca.gov/general-information/employment,,09/24/2019,Placer,,False,
2018,Superior Court,Placer County Superior Court,Placer County Superior Court,Systems Network Engineer,False,True,,94099,123926,,118047,0,0,1000,119047,11070,0,0,24939,36009,2.5%@55,https://www.placer.courts.ca.gov/general-information/employment,,09/24/2019,Placer,,False,
2018,Superior Court,Placer County Superior Court,Placer County Superior Court,Information Technology Specialist,False,True,,74485,105061,,99792,3183,2020,13298,118293,10332,0,0,24865,35197,2.5%@55,https://www.placer.courts.ca.gov/general-information/employment,,09/24/2019,Placer,,False,
2018,Superior Court,Placer County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,197924,207424,,114729,0,0,0,114729,0,,,8977,8977,Judicial Retirement System,https://www.placer.courts.ca.gov/general-information/employment,,09/24/2019,Placer,,False,
2018,Superior Court,Placer County Superior Court,Placer County Superior Court,Unit Manager 2,False,True,,76274,104286,,104285,0,5141,3648,113074,9933,0,0,19382,29315,2.5%@55,https://www.placer.courts.ca.gov/general-information/employment,,09/24/2019,Placer,,False,
2018,Superior Court,Placer County Superior Court,Placer County Superior Court,Operations Director,False,True,,88046,115918,,105433,0,3224,3437,112094,10020,0,0,10384,20404,2.5%@55,https://www.placer.courts.ca.gov/general-information/employment,,09/24/2019,Placer,,False,
2018,Superior Court,Placer County Superior Court,Placer County Superior Court,Commissioner,False,True,,170040,170040,,98747,0,10335,0,109082,9128,0,0,16765,25893,2%@55,https://www.placer.courts.ca.gov/general-information/employment,,09/24/2019,Placer,,False,
2018,Superior Court,Placer County Superior Court,Placer County Superior Court,Executive Assistant,False,True,,68432,90126,,88781,65,0,9916,98762,9166,0,0,24939,34105,2.5%@55,https://www.placer.courts.ca.gov/general-information/employment,,09/24/2019,Placer,,False,
2018,Superior Court,Placer County Superior Court,Placer County Superior Court,Human Resources Manager,False,True,,87942,115814,,91804,0,0,2106,93910,9188,0,0,24939,34127,2%@55,https://www.placer.courts.ca.gov/general-information/employment,,09/24/2019,Placer,,False,
2018,Superior Court,Placer County Superior Court,Placer County Superior Court,Fiscal Services Manager,False,True,,87942,115814,,88604,0,161,2392,91157,8374,0,0,27941,36315,2.5%@55,https://www.placer.courts.ca.gov/general-information/employment,,09/24/2019,Placer,,False,
2018,Superior Court,Placer County Superior Court,Placer County Superior Court,Unit Manager 2,False,True,,76274,100402,,80508,0,0,10393,90901,7951,0,0,10121,18072,2%@55,https://www.placer.courts.ca.gov/general-information/employment,,09/24/2019,Placer,,False,
2018,Superior Court,Placer County Superior Court,Placer County Superior Court,Unit Manager 2,False,True,,76274,100402,,87190,0,0,2020,89210,8299,0,0,19382,27681,2%@62,https://www.placer.courts.ca.gov/general-information/employment,,09/24/2019,Placer,,False,
2018,Superior Court,Placer County Superior Court,Placer County Superior Court,Courtroom Clerk,False,True,,54309,76606,,69439,1811,0,17467,88717,7795,0,0,19309,27104,2.5%@55,https://www.placer.courts.ca.gov/general-information/employment,,09/24/2019,Placer,,False,
2018,Superior Court,Placer County Superior Court,Placer County Superior Court,Senior Court Clerk,False,True,,62962,88837,,80242,546,4093,3630,88511,7618,0,0,19309,26927,2.5%@55,https://www.placer.courts.ca.gov/general-information/employment,,09/24/2019,Placer,,False,
2018,Superior Court,Placer County Superior Court,Placer County Superior Court,Interpreter Coordinator,False,True,,61402,86632,,76318,446,0,11641,88405,8174,0,0,24865,33039,2.5%@55,https://www.placer.courts.ca.gov/general-information/employment,,09/24/2019,Placer,,False,
2018,Superior Court,Placer County Superior Court,Placer County Superior Court,Paralegal 2,False,True,,64501,90979,,82195,41,1633,3645,87514,7800,0,0,24865,32665,2.5%@55,https://www.placer.courts.ca.gov/general-information/employment,,09/24/2019,Placer,,False,
2018,Superior Court,Placer County Superior Court,Placer County Superior Court,Senior Court Clerk,False,True,,62962,88837,,74981,2747,0,8845,86573,7600,0,0,19309,26909,2.5%@55,https://www.placer.courts.ca.gov/general-information/employment,,09/24/2019,Placer,,False,
2018,Superior Court,Placer County Superior Court,Placer County Superior Court,Information Technology Analyst,False,True,,80829,106454,,74057,5807,250,3320,83434,7253,0,0,10068,17321,2%@62,https://www.placer.courts.ca.gov/general-information/employment,,09/24/2019,Placer,,False,
2018,Superior Court,Placer County Superior Court,Placer County Superior Court,Principal Court Services Analyst,False,True,,76274,100402,,80179,0,0,1935,82114,7535,0,0,10121,17656,2%@62,https://www.placer.courts.ca.gov/general-information/employment,,09/24/2019,Placer,,False,
2018,Superior Court,Placer County Superior Court,Placer County Superior Court,HR Technician 2,False,True,,57970,76357,,71376,563,3420,6496,81855,7364,0,0,21680,29044,2.5%@55,https://www.placer.courts.ca.gov/general-information/employment,,09/24/2019,Placer,,False,
2018,Superior Court,Placer County Superior Court,Placer County Superior Court,Account Technician Conf,False,True,,57970,76357,,74098,334,0,6624,81056,7531,0,0,24939,32470,2.5%@55,https://www.placer.courts.ca.gov/general-information/employment,,09/24/2019,Placer,,False,
2018,Superior Court,Placer County Superior Court,Placer County Superior Court,Self Help Attorney,False,True,,79227,104333,,79950,0,0,1000,80950,7889,0,0,21960,29849,2%@62,https://www.placer.courts.ca.gov/general-information/employment,,09/24/2019,Placer,,False,
2018,Superior Court,Placer County Superior Court,Placer County Superior Court,Information Technology Analyst,False,True,,80829,106454,,79907,0,0,1000,80907,7514,0,0,19382,26896,2%@62,https://www.placer.courts.ca.gov/general-information/employment,,09/24/2019,Placer,,False,
2018,Superior Court,Placer County Superior Court,Placer County Superior Court,Courtroom Clerk,False,True,,54309,76606,,57192,64,0,21575,78831,7148,0,0,21607,28755,2.5%@55,https://www.placer.courts.ca.gov/general-information/employment,,09/24/2019,Placer,,False,
2018,Superior Court,Placer County Superior Court,Placer County Superior Court,Interpreter Full Time,False,True,,76794,76794,,76689,1616,329,106,78740,7337,0,0,24865,32202,2%@62,https://www.placer.courts.ca.gov/general-information/employment,,09/24/2019,Placer,,False,
2018,Superior Court,Placer County Superior Court,Placer County Superior Court,Courtroom Clerk,False,True,,54309,76606,,65139,212,0,13041,78392,7095,0,0,27867,34962,2.5%@55,https://www.placer.courts.ca.gov/general-information/employment,,09/24/2019,Placer,,False,
2018,Superior Court,Placer County Superior Court,Placer County Superior Court,Senior Court Clerk,False,True,,62962,88837,,75195,102,0,3000,78297,7090,0,0,24865,31955,2.5%@55,https://www.placer.courts.ca.gov/general-information/employment,,09/24/2019,Placer,,False,
2018,Superior Court,Placer County Superior Court,Placer County Superior Court,Unit Manager 1,False,True,,69389,91395,,75797,0,203,1891,77891,7124,0,0,10118,17242,2.5%@55,https://www.placer.courts.ca.gov/general-information/employment,,09/24/2019,Placer,,False,
2018,Superior Court,Placer County Superior Court,Placer County Superior Court,Courtroom Clerk,False,True,,54309,76606,,73075,195,0,3000,76270,7035,0,0,21886,28921,2.5%@55,https://www.placer.courts.ca.gov/general-information/employment,,09/24/2019,Placer,,False,
2018,Superior Court,Placer County Superior Court,Placer County Superior Court,Courtroom Clerk,False,True,,54309,76606,,72018,878,0,3000,75896,6795,0,0,24865,31660,2.5%@55,https://www.placer.courts.ca.gov/general-information/employment,,09/24/2019,Placer,,False,
2018,Superior Court,Placer County Superior Court,Placer County Superior Court,Courtroom Clerk,False,True,,54309,76606,,68788,572,5,6082,75447,6812,0,0,19309,26121,2.5%@55,https://www.placer.courts.ca.gov/general-information/employment,,09/24/2019,Placer,,False,
2018,Superior Court,Placer County Superior Court,Placer County Superior Court,Unit Manager 1,False,True,,69389,91395,,73551,0,0,1840,75391,6911,0,0,11276,18187,2%@55,https://www.placer.courts.ca.gov/general-information/employment,,09/24/2019,Placer,,False,
2018,Superior Court,Placer County Superior Court,Placer County Superior Court,Courtroom Clerk,False,True,,54309,76606,,70786,54,468,3850,75158,6872,0,0,21886,28758,2.5%@55,https://www.placer.courts.ca.gov/general-information/employment,,09/24/2019,Placer,,False,
2018,Superior Court,Placer County Superior Court,Placer County Superior Court,Courtroom Clerk,False,True,,54309,76606,,66353,1143,0,7374,74870,7061,0,0,28199,35260,2.5%@55,https://www.placer.courts.ca.gov/general-information/employment,,09/24/2019,Placer,,False,
2018,Superior Court,Placer County Superior Court,Placer County Superior Court,Courtroom Clerk,False,True,,54309,76606,,68750,600,0,3818,73168,6567,0,0,19309,25876,2.5%@55,https://www.placer.courts.ca.gov/general-information/employment,,09/24/2019,Placer,,False,
2018,Superior Court,Placer County Superior Court,Placer County Superior Court,Courtroom Clerk,False,True,,54309,76606,,69424,159,499,3000,73082,6451,0,0,10047,16498,2%@55,https://www.placer.courts.ca.gov/general-information/employment,,09/24/2019,Placer,,False,
2018,Superior Court,Placer County Superior Court,Placer County Superior Court,Court Clerk 3,False,True,,46904,66206,,62725,7,1230,8227,72189,6313,0,0,10047,16360,2.5%@55,https://www.placer.courts.ca.gov/general-information/employment,,09/24/2019,Placer,,False,
2018,Superior Court,Placer County Superior Court,Placer County Superior Court,Senior Court Clerk,False,True,,62962,88837,,67775,1367,0,3000,72142,6646,0,0,21607,28253,2.5%@55,https://www.placer.courts.ca.gov/general-information/employment,,09/24/2019,Placer,,False,
2018,Superior Court,Placer County Superior Court,Placer County Superior Court,Paralegal 2,False,True,,64501,90979,,67445,52,1375,3000,71872,6510,0,0,19309,25819,2.5%@55,https://www.placer.courts.ca.gov/general-information/employment,,09/24/2019,Placer,,False,
2018,Superior Court,Placer County Superior Court,Placer County Superior Court,Courtroom Clerk,False,True,,54309,76606,,59449,22,0,11709,71180,6037,0,0,24865,30902,2.5%@55,https://www.placer.courts.ca.gov/general-information/employment,,09/24/2019,Placer,,False,
2018,Superior Court,Placer County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,197924,207424,,71495,0,0,-379,71116,0,,,8290,8290,Judicial Retirement System,https://www.placer.courts.ca.gov/general-information/employment,,09/24/2019,Placer,,False,
2018,Superior Court,Placer County Superior Court,Placer County Superior Court,Senior Court Clerk,False,True,,62962,88837,,67281,397,0,3000,70678,6356,0,0,24865,31221,2.5%@55,https://www.placer.courts.ca.gov/general-information/employment,,09/24/2019,Placer,,False,
2018,Superior Court,Placer County Superior Court,Placer County Superior Court,Court Services Analyst 1,False,True,,65166,85842,,69490,0,0,1000,70490,6456,0,0,10121,16577,2%@62,https://www.placer.courts.ca.gov/general-information/employment,,09/24/2019,Placer,,False,
2018,Superior Court,Placer County Superior Court,Placer County Superior Court,Senior Court Clerk,False,True,,62962,88837,,67459,0,13,3000,70472,6372,0,0,24865,31237,2.5%@55,https://www.placer.courts.ca.gov/general-information/employment,,09/24/2019,Placer,,False,
2018,Superior Court,Placer County Superior Court,Placer County Superior Court,Unit Manager 2,False,True,,76274,100402,,67588,0,0,1534,69122,6424,0,0,24883,31307,2%@62,https://www.placer.courts.ca.gov/general-information/employment,,09/24/2019,Placer,,False,
2018,Superior Court,Placer County Superior Court,Placer County Superior Court,Court Clerk 3,False,True,,46904,66206,,61329,0,0,7684,69013,6238,0,0,24865,31103,2.5%@55,https://www.placer.courts.ca.gov/general-information/employment,,09/24/2019,Placer,,False,
2018,Superior Court,Placer County Superior Court,Placer County Superior Court,Courtroom Clerk,False,True,,54309,76606,,59287,320,41,9054,68702,6202,0,0,24865,31067,2%@55,https://www.placer.courts.ca.gov/general-information/employment,,09/24/2019,Placer,,False,
2018,Superior Court,Placer County Superior Court,Placer County Superior Court,Court Clerk 4,False,True,,50565,71323,,65581,12,0,3000,68593,6199,0,0,19835,26034,2.5%@55,https://www.placer.courts.ca.gov/general-information/employment,,09/24/2019,Placer,,False,
2018,Superior Court,Placer County Superior Court,Placer County Superior Court,Court Clerk 3,False,True,,46904,66206,,58565,86,0,9750,68401,6160,0,0,25363,31523,2.5%@55,https://www.placer.courts.ca.gov/general-information/employment,,09/24/2019,Placer,,False,
2018,Superior Court,Placer County Superior Court,Placer County Superior Court,Court Clerk 4,False,True,,50565,71323,,65273,0,0,3000,68273,6117,0,0,11349,17466,2.5%@55,https://www.placer.courts.ca.gov/general-information/employment,,09/24/2019,Placer,,False,
2018,Superior Court,Placer County Superior Court,Placer County Superior Court,Court Clerk 3,False,True,,46904,66206,,59475,457,0,8078,68010,6102,0,0,19309,25411,2.5%@55,https://www.placer.courts.ca.gov/general-information/employment,,09/24/2019,Placer,,False,
2018,Superior Court,Placer County Superior Court,Placer County Superior Court,Court Clerk 3,False,True,,46904,66206,,62896,0,1273,3000,67169,6078,0,0,28199,34277,2.5%@55,https://www.placer.courts.ca.gov/general-information/employment,,09/24/2019,Placer,,False,
2018,Superior Court,Placer County Superior Court,Placer County Superior Court,Account Clerk Journey,False,True,,49795,70262,,63747,177,0,3000,66924,6027,0,0,24865,30892,2.5%@55,https://www.placer.courts.ca.gov/general-information/employment,,09/24/2019,Placer,,False,
2018,Superior Court,Placer County Superior Court,Placer County Superior Court,Support Services Assistant 2,False,True,,46904,66206,,58612,56,0,7739,66407,5991,0,0,21607,27598,2.5%@55,https://www.placer.courts.ca.gov/general-information/employment,,09/24/2019,Placer,,False,
2018,Superior Court,Placer County Superior Court,Placer County Superior Court,Courtroom Clerk,False,True,,54309,76606,,61376,885,28,3000,65289,5972,0,0,28199,34171,2%@55,https://www.placer.courts.ca.gov/general-information/employment,,09/24/2019,Placer,,False,
2018,Superior Court,Placer County Superior Court,Placer County Superior Court,Account Clerk Journey,False,True,,49795,70262,,56835,14,86,8100,65035,5284,0,0,786,6070,2%@55,https://www.placer.courts.ca.gov/general-information/employment,,09/24/2019,Placer,,False,
2018,Superior Court,Placer County Superior Court,Placer County Superior Court,Court Clerk 3,False,True,,46904,66206,,60339,362,1188,3000,64889,5606,0,0,11203,16809,2.5%@55,https://www.placer.courts.ca.gov/general-information/employment,,09/24/2019,Placer,,False,
2018,Superior Court,Placer County Superior Court,Placer County Superior Court,Courtroom Clerk,False,True,,54309,76606,,60891,519,23,3000,64433,5675,0,0,23846,29521,2%@62,https://www.placer.courts.ca.gov/general-information/employment,,09/24/2019,Placer,,False,
2018,Superior Court,Placer County Superior Court,Placer County Superior Court,Court Clerk 3,False,True,,46904,66206,,56745,0,0,7340,64085,5780,0,0,24865,30645,2.5%@55,https://www.placer.courts.ca.gov/general-information/employment,,09/24/2019,Placer,,False,
2018,Superior Court,Placer County Superior Court,Placer County Superior Court,Support Services Assistant 2,False,True,,46904,66206,,56215,0,0,7769,63984,5757,0,0,19835,25592,2.5%@55,https://www.placer.courts.ca.gov/general-information/employment,,09/24/2019,Placer,,False,
2018,Superior Court,Placer County Superior Court,Placer County Superior Court,Court Clerk 3,False,True,,46904,66206,,59864,688,0,3000,63552,5666,0,0,25547,31213,2.5%@55,https://www.placer.courts.ca.gov/general-information/employment,,09/24/2019,Placer,,False,
2018,Superior Court,Placer County Superior Court,Placer County Superior Court,Courtroom Clerk,False,True,,54309,76606,,59033,937,212,3000,63182,5575,0,0,24865,30440,2%@55,https://www.placer.courts.ca.gov/general-information/employment,,09/24/2019,Placer,,False,
2018,Superior Court,Placer County Superior Court,Placer County Superior Court,Courtroom Clerk,False,True,,54309,76606,,59528,641,4,3000,63173,5575,0,0,19309,24884,2%@55,https://www.placer.courts.ca.gov/general-information/employment,,09/24/2019,Placer,,False,
2018,Superior Court,Placer County Superior Court,Placer County Superior Court,Court Clerk 3,False,True,,46904,66206,,59685,325,0,3000,63010,5674,0,0,24865,30539,2.5%@55,https://www.placer.courts.ca.gov/general-information/employment,,09/24/2019,Placer,,False,
2018,Superior Court,Placer County Superior Court,Placer County Superior Court,Court Clerk 3,False,True,,46904,66206,,59951,0,0,3000,62951,5674,0,0,19309,24983,2.5%@55,https://www.placer.courts.ca.gov/general-information/employment,,09/24/2019,Placer,,False,
2018,Superior Court,Placer County Superior Court,Placer County Superior Court,Account Technician Conf,False,True,,57970,76357,,61283,186,0,1000,62469,5805,0,0,24939,30744,2%@55,https://www.placer.courts.ca.gov/general-information/employment,,09/24/2019,Placer,,False,
2018,Superior Court,Placer County Superior Court,Placer County Superior Court,Court Clerk 3,False,True,,46904,66206,,58442,962,0,3000,62404,5527,0,0,21607,27134,2.5%@55,https://www.placer.courts.ca.gov/general-information/employment,,09/24/2019,Placer,,False,
2018,Superior Court,Placer County Superior Court,Placer County Superior Court,Court Clerk 4,False,True,,50565,71323,,58488,176,248,3000,61912,5560,0,0,24865,30425,2.5%@55,https://www.placer.courts.ca.gov/general-information/employment,,09/24/2019,Placer,,False,
2018,Superior Court,Placer County Superior Court,Placer County Superior Court,Court Clerk 3,False,True,,46904,66206,,57884,288,26,3238,61436,5674,0,0,28199,33873,2.5%@55,https://www.placer.courts.ca.gov/general-information/employment,,09/24/2019,Placer,,False,
2018,Superior Court,Placer County Superior Court,Placer County Superior Court,Court Clerk 3,False,True,,46904,66206,,57967,0,0,3000,60967,5474,0,0,19309,24783,2.5%@55,https://www.placer.courts.ca.gov/general-information/employment,,09/24/2019,Placer,,False,
2018,Superior Court,Placer County Superior Court,Placer County Superior Court,Court Clerk 4,False,True,,50565,71323,,57257,231,29,3231,60748,5467,0,0,24865,30332,2%@55,https://www.placer.courts.ca.gov/general-information/employment,,09/24/2019,Placer,,False,
2018,Superior Court,Placer County Superior Court,Placer County Superior Court,Information Technology Specialist,False,True,,74485,105061,,54821,978,0,3000,58799,5165,0,0,22823,27988,2%@62,https://www.placer.courts.ca.gov/general-information/employment,,09/24/2019,Placer,,False,
2018,Superior Court,Placer County Superior Court,Placer County Superior Court,Administrative Assistant 2,False,True,,54371,71573,,57420,294,0,1000,58714,5466,0,0,19382,24848,2%@62,https://www.placer.courts.ca.gov/general-information/employment,,09/24/2019,Placer,,False,
2018,Superior Court,Placer County Superior Court,Placer County Superior Court,Custodian,False,True,,41600,58656,,38002,500,13867,5951,58320,3872,0,0,18150,22022,2.5%@55,https://www.placer.courts.ca.gov/general-information/employment,,09/24/2019,Placer,,False,
2018,Superior Court,Placer County Superior Court,Placer County Superior Court,Interpreter Part Time,False,True,,76794,76794,,56491,95,452,81,57119,5250,0,0,9201,14451,2%@55,https://www.placer.courts.ca.gov/general-information/employment,,09/24/2019,Placer,,False,
2018,Superior Court,Placer County Superior Court,Placer County Superior Court,Courtroom Clerk,False,True,,54309,76606,,51330,1813,5,3000,56148,5374,0,0,24865,30239,2%@55,https://www.placer.courts.ca.gov/general-information/employment,,09/24/2019,Placer,,False,
2018,Superior Court,Placer County Superior Court,Placer County Superior Court,Court Clerk 2,False,True,,42536,60008,,44198,0,0,11634,55832,4508,0,0,10310,14818,2%@62,https://www.placer.courts.ca.gov/general-information/employment,,09/24/2019,Placer,,False,
2018,Superior Court,Placer County Superior Court,Placer County Superior Court,Unit Manager 1,False,True,,69389,91395,,54456,0,0,1346,55802,5183,0,0,7711,12894,2%@62,https://www.placer.courts.ca.gov/general-information/employment,,09/24/2019,Placer,,False,
2018,Superior Court,Placer County Superior Court,Placer County Superior Court,Courtroom Clerk,False,True,,54309,76606,,52127,353,0,3000,55480,4948,0,0,25547,30495,2%@62,https://www.placer.courts.ca.gov/general-information/employment,,09/24/2019,Placer,,False,
2018,Superior Court,Placer County Superior Court,Placer County Superior Court,Court Clerk 3,False,True,,46904,66206,,49684,0,1116,3000,53800,4715,0,0,24865,29580,2%@55,https://www.placer.courts.ca.gov/general-information/employment,,09/24/2019,Placer,,False,
2018,Superior Court,Placer County Superior Court,Placer County Superior Court,Court Clerk 2,False,True,,42536,60008,,42344,744,31,8100,51219,3934,0,0,87,4021,2%@62,https://www.placer.courts.ca.gov/general-information/employment,,09/24/2019,Placer,,False,
2018,Superior Court,Placer County Superior Court,Placer County Superior Court,Support Services Assistant 2,False,True,,46904,66206,,47939,26,0,3000,50965,4453,0,0,10310,14763,2%@62,https://www.placer.courts.ca.gov/general-information/employment,,09/24/2019,Placer,,False,
2018,Superior Court,Placer County Superior Court,Placer County Superior Court,Court Clerk 3,False,True,,46904,66206,,45638,539,0,4413,50590,4498,0,0,24865,29363,2%@62,https://www.placer.courts.ca.gov/general-information/employment,,09/24/2019,Placer,,False,
2018,Superior Court,Placer County Superior Court,Placer County Superior Court,Court Clerk 3,False,True,,46904,66206,,46559,11,6,3369,49945,4465,0,0,19309,23774,2%@62,https://www.placer.courts.ca.gov/general-information/employment,,09/24/2019,Placer,,False,
