Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2016,Superior Court,Plumas County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,182112,191612,,186527,0,0,0,186527,0,,,14996,14996,Judicial Retirement System,http://www.plumascourt.ca.gov/index.htm,,07/25/2017,Plumas,,,
2016,Superior Court,Plumas County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,182112,191612,,185386,0,0,0,185386,0,,,14996,14996,Judicial Retirement System,http://www.plumascourt.ca.gov/index.htm,,07/25/2017,Plumas,,,
2016,Superior Court,Plumas County Superior Court,Administration,Court Executive Officer,False,True,,93000,124915,,120077,0,0,0,120077,22452,0,0,9745,32197,2%@55,http://www.plumascourt.ca.gov/index.htm,,07/25/2017,Plumas,,,
2016,Superior Court,Plumas County Superior Court,Court Services,Supervisor 1,False,True,,40976,75734,,75666,0,0,0,75666,14147,0,0,16200,30347,2%@55,http://www.plumascourt.ca.gov/index.htm,,07/25/2017,Plumas,,,
2016,Superior Court,Plumas County Superior Court,Court Services,Court Reporter Coordinator,False,True,,54538,87568,,71813,0,0,0,71813,14472,0,0,16200,30672,2%@55,http://www.plumascourt.ca.gov/index.htm,,07/25/2017,Plumas,,,
2016,Superior Court,Plumas County Superior Court,Court Services,Supervisor 1,False,True,,40976,75734,,66401,0,0,0,66401,12830,0,0,9745,22575,2%@55,http://www.plumascourt.ca.gov/index.htm,,07/25/2017,Plumas,,,
2016,Superior Court,Plumas County Superior Court,Court Services,Court Specialist,False,True,,40142,65499,,60678,0,0,0,60678,11419,0,0,9745,21164,2%@55,http://www.plumascourt.ca.gov/index.htm,,07/25/2017,Plumas,,,
2016,Superior Court,Plumas County Superior Court,Court Services,Court Clerk 2,False,True,,36495,59571,,51513,0,0,0,51513,9883,0,0,16200,26083,2%@55,http://www.plumascourt.ca.gov/index.htm,,07/25/2017,Plumas,,,
2016,Superior Court,Plumas County Superior Court,Court Services,Court Clerk 2,False,True,,36495,59571,,39929,0,4847,0,44776,7812,0,0,8117,15929,2%@55,http://www.plumascourt.ca.gov/index.htm,,07/25/2017,Plumas,,,
2016,Superior Court,Plumas County Superior Court,Court Services,Court Clerk 2,False,True,,36495,59571,,43198,0,0,0,43198,9737,0,0,19320,29057,2%@55,http://www.plumascourt.ca.gov/index.htm,,07/25/2017,Plumas,,,
2016,Superior Court,Plumas County Superior Court,Finance,Fiscal Manager,False,True,,40976,75734,,37058,0,0,0,37058,8511,0,0,19320,27831,2%@62,http://www.plumascourt.ca.gov/index.htm,,07/25/2017,Plumas,,,
2016,Superior Court,Plumas County Superior Court,Court Services,Court Clerk 2,False,True,,36495,59571,,33564,0,0,0,33564,7544,0,0,17710,25254,2%@55,http://www.plumascourt.ca.gov/index.htm,,07/25/2017,Plumas,,,

