Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2021,Superior Court,Riverside County Superior Court,Executive,Court Executive Officer,False,True,,264201,264201,,249936,0,10162,18967,279065,20540,0,9750,186,30476,2% @ 62,http://www.riverside.courts.ca.gov/,,07/26/2022,Riverside,,True,
2021,Superior Court,Riverside County Superior Court,Civil Operations & Desert Region,Deputy Executive Officer Operations,False,True,,131355,178510,,169756,0,56011,1674,227441,28863,0,1300,9647,39810,3% @ 60,http://www.riverside.courts.ca.gov/,,07/26/2022,Riverside,,True,
2021,Superior Court,Riverside County Superior Court,Judges,Presiding Superior Court Judge,True,True,,225074,225074,,214470,0,0,8418,222888,0,0,0,20797,20797,3.75% @ 65,http://www.riverside.courts.ca.gov/,,07/26/2022,Riverside,,True,
2021,Superior Court,Riverside County Superior Court,Judges,Superior Court Judge,True,True,,225074,225074,,219401,0,0,358,219759,0,0,0,99,99,3.75% @ 65,http://www.riverside.courts.ca.gov/,,07/26/2022,Riverside,,True,
2021,Superior Court,Riverside County Superior Court,Judges,Superior Court Judge,True,True,,225074,225074,,219401,0,0,0,219401,0,0,0,99,99,3.75% @ 65,http://www.riverside.courts.ca.gov/,,07/26/2022,Riverside,,True,
2021,Superior Court,Riverside County Superior Court,Judges,Superior Court Judge,True,True,,225074,225074,,219401,0,0,0,219401,0,0,0,99,99,3.75% @ 65,http://www.riverside.courts.ca.gov/,,07/26/2022,Riverside,,True,
2021,Superior Court,Riverside County Superior Court,Judges,Superior Court Judge,True,True,,225074,225074,,219401,0,0,0,219401,0,0,0,0,0,3.75% @ 65,http://www.riverside.courts.ca.gov/,,07/26/2022,Riverside,,True,
2021,Superior Court,Riverside County Superior Court,Judges,Superior Court Judge,True,True,,225074,225074,,219153,0,0,0,219153,0,0,0,13135,13135,3.75% @ 65,http://www.riverside.courts.ca.gov/,,07/26/2022,Riverside,,True,
2021,Superior Court,Riverside County Superior Court,Judges,Superior Court Judge,True,True,,225074,225074,,219074,0,0,0,219074,0,0,0,99,99,3.75% @ 65,http://www.riverside.courts.ca.gov/,,07/26/2022,Riverside,,True,
2021,Superior Court,Riverside County Superior Court,Judges,Superior Court Judge,True,True,,225074,225074,,218993,0,0,0,218993,0,0,0,18097,18097,3.75% @ 65,http://www.riverside.courts.ca.gov/,,07/26/2022,Riverside,,True,
2021,Superior Court,Riverside County Superior Court,Judges,Superior Court Judge,True,True,,225074,225074,,213689,0,0,5052,218741,0,0,7982,16048,24030,3.75% @ 65,http://www.riverside.courts.ca.gov/,,07/26/2022,Riverside,,True,
2021,Superior Court,Riverside County Superior Court,Judges,Superior Court Judge,True,True,,225074,225074,,218666,0,0,0,218666,0,0,0,18097,18097,3.75% @ 65,http://www.riverside.courts.ca.gov/,,07/26/2022,Riverside,,True,
2021,Superior Court,Riverside County Superior Court,Judges,Superior Court Judge,True,True,,225074,225074,,218493,0,0,0,218493,0,0,0,18097,18097,3.75% @ 65,http://www.riverside.courts.ca.gov/,,07/26/2022,Riverside,,True,
2021,Superior Court,Riverside County Superior Court,Judges,Superior Court Judge,True,True,,225074,225074,,216740,0,0,0,216740,0,0,0,8361,8361,3.75% @ 65,http://www.riverside.courts.ca.gov/,,07/26/2022,Riverside,,True,
2021,Superior Court,Riverside County Superior Court,Judges,Superior Court Judge,True,True,,225074,225074,,216740,0,0,0,216740,0,0,0,8361,8361,3.75% @ 65,http://www.riverside.courts.ca.gov/,,07/26/2022,Riverside,,True,
2021,Superior Court,Riverside County Superior Court,Judges,Superior Court Judge,True,True,,225074,225074,,216699,0,0,0,216699,0,0,0,13816,13816,3.75% @ 65,http://www.riverside.courts.ca.gov/,,07/26/2022,Riverside,,True,
2021,Superior Court,Riverside County Superior Court,Judges,Superior Court Judge,True,True,,225074,225074,,216658,0,0,0,216658,0,0,0,8303,8303,3.75% @ 65,http://www.riverside.courts.ca.gov/,,07/26/2022,Riverside,,True,
2021,Superior Court,Riverside County Superior Court,Judges,Superior Court Judge,True,True,,225074,225074,,216651,0,0,0,216651,0,0,0,99,99,3.75% @ 65,http://www.riverside.courts.ca.gov/,,07/26/2022,Riverside,,True,
2021,Superior Court,Riverside County Superior Court,Judges,Superior Court Judge,True,True,,225074,225074,,216638,0,0,0,216638,0,0,0,8361,8361,3.75% @ 65,http://www.riverside.courts.ca.gov/,,07/26/2022,Riverside,,True,
