Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2016,Superior Court,Sacramento County Superior Court,Legal Research Division,Chief Counsel,False,True,,139758,154065,,190286,0,7466,14810,212562,64671,0,0,2967,67638,2% @ 55.5,https://saccourt.ca.gov/general/personnel-administration.aspx,,07/25/2017,Sacramento,,,
2016,Superior Court,Sacramento County Superior Court,Family Law Juvenile Dependency Referees,Juvenile Referee,False,True,,162870,162870,,128608,0,63959,4372,196939,40587,0,0,8244,48831,2% @ 55.5,https://saccourt.ca.gov/general/personnel-administration.aspx,,07/25/2017,Sacramento,,,
2016,Superior Court,Sacramento County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,182112,191612,,194283,0,0,-224,194059,0,0,0,19458,19458,Judicial Retirement System,https://saccourt.ca.gov/general/personnel-administration.aspx,,07/25/2017,Sacramento,,,
2016,Superior Court,Sacramento County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,182112,191612,,191219,0,0,1500,192719,0,0,0,2947,2947,Judicial Retirement System,https://saccourt.ca.gov/general/personnel-administration.aspx,,07/25/2017,Sacramento,,,
2016,Superior Court,Sacramento County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,182112,191612,,191792,0,0,0,191792,0,0,0,1804,1804,Judicial Retirement System,https://saccourt.ca.gov/general/personnel-administration.aspx,,07/25/2017,Sacramento,,,
2016,Superior Court,Sacramento County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,182112,191612,,191512,0,0,0,191512,0,0,0,2069,2069,Judicial Retirement System,https://saccourt.ca.gov/general/personnel-administration.aspx,,07/25/2017,Sacramento,,,
2016,Superior Court,Sacramento County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,182112,191612,,191343,0,0,0,191343,0,0,0,2576,2576,Judicial Retirement System,https://saccourt.ca.gov/general/personnel-administration.aspx,,07/25/2017,Sacramento,,,
2016,Superior Court,Sacramento County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,182112,191612,,191219,0,0,0,191219,0,0,0,2947,2947,Judicial Retirement System,https://saccourt.ca.gov/general/personnel-administration.aspx,,07/25/2017,Sacramento,,,
2016,Superior Court,Sacramento County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,182112,191612,,191037,0,0,0,191037,0,0,0,2856,2856,Judicial Retirement System,https://saccourt.ca.gov/general/personnel-administration.aspx,,07/25/2017,Sacramento,,,
2016,Superior Court,Sacramento County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,182112,191612,,189714,0,0,0,189714,0,0,0,1320,1320,Judicial Retirement System,https://saccourt.ca.gov/general/personnel-administration.aspx,,07/25/2017,Sacramento,,,
2016,Superior Court,Sacramento County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,182112,191612,,189683,0,0,0,189683,0,0,0,1411,1411,Judicial Retirement System,https://saccourt.ca.gov/general/personnel-administration.aspx,,07/25/2017,Sacramento,,,
2016,Superior Court,Sacramento County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,182112,191612,,189182,0,0,44,189226,0,0,0,2947,2947,Judicial Retirement System,https://saccourt.ca.gov/general/personnel-administration.aspx,,07/25/2017,Sacramento,,,
2016,Superior Court,Sacramento County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,182112,191612,,189030,0,0,8,189038,0,0,0,1804,1804,Judicial Retirement System,https://saccourt.ca.gov/general/personnel-administration.aspx,,07/25/2017,Sacramento,,,
2016,Superior Court,Sacramento County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,182112,191612,,189030,0,0,0,189030,0,0,0,8204,8204,Judicial Retirement System,https://saccourt.ca.gov/general/personnel-administration.aspx,,07/25/2017,Sacramento,,,
2016,Superior Court,Sacramento County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,182112,191612,,188963,0,0,0,188963,0,0,0,1411,1411,Judicial Retirement System,https://saccourt.ca.gov/general/personnel-administration.aspx,,07/25/2017,Sacramento,,,
2016,Superior Court,Sacramento County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,182112,191612,,188533,0,0,0,188533,0,0,0,7753,7753,Judicial Retirement System,https://saccourt.ca.gov/general/personnel-administration.aspx,,07/25/2017,Sacramento,,,
2016,Superior Court,Sacramento County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,182112,191612,,188276,0,0,0,188276,0,0,0,8204,8204,Judicial Retirement System,https://saccourt.ca.gov/general/personnel-administration.aspx,,07/25/2017,Sacramento,,,
