Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2017,Superior Court,San Benito County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,190542,200042,,187164,0,0,7500,194664,0,0,0,14869,14869,Judicial Retirement System,https://www.sanbenito.courts.ca.gov/general-information/human-resources,,07/31/2018,San Benito,,False,
2017,Superior Court,San Benito County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,190542,200042,,184071,0,0,7500,191571,0,0,0,14995,14995,Judicial Retirement System,https://www.sanbenito.courts.ca.gov/general-information/human-resources,,07/31/2018,San Benito,,False,
2017,Superior Court,San Benito County Superior Court,Administration,CEO,False,True,,116028,127920,,122243,0,0,0,122243,16651,0,0,7932,24583,2%@55,https://www.sanbenito.courts.ca.gov/general-information/human-resources,,07/31/2018,San Benito,,False,
2017,Superior Court,San Benito County Superior Court,Fiscal,Fiscal Manager,False,True,,76056,97568,,93536,0,2650,0,96186,12778,0,0,17772,30550,2%@55,https://www.sanbenito.courts.ca.gov/general-information/human-resources,,07/31/2018,San Benito,,False,
2017,Superior Court,San Benito County Superior Court,Administration,Court Manager,False,True,,76056,97568,,86808,0,1000,0,87808,12656,0,0,17772,30428,2%@55,https://www.sanbenito.courts.ca.gov/general-information/human-resources,,07/31/2018,San Benito,,False,
2017,Superior Court,San Benito County Superior Court,Information Technology,Technology Analyst,False,True,,63444,81500,,75468,0,500,0,75968,10562,0,0,13932,24494,2%@55,https://www.sanbenito.courts.ca.gov/general-information/human-resources,,07/31/2018,San Benito,,False,
2017,Superior Court,San Benito County Superior Court,Family Court Services,Family Law Facilitator,False,True,,65478,79485,,75032,0,500,0,75532,10347,0,0,13932,24279,2%@55,https://www.sanbenito.courts.ca.gov/general-information/human-resources,,07/31/2018,San Benito,,False,
2017,Superior Court,San Benito County Superior Court,Judges Courtroom Support,Court Reporter,False,True,,74374,78632,,70957,0,0,0,70957,9971,0,0,13932,23903,2%@62,https://www.sanbenito.courts.ca.gov/general-information/human-resources,,07/31/2018,San Benito,,False,
2017,Superior Court,San Benito County Superior Court,Family Court Services,Family Court Mediator,False,True,,52559,70900,,69212,0,500,0,69712,9180,0,0,7932,17112,2%@55,https://www.sanbenito.courts.ca.gov/general-information/human-resources,,07/31/2018,San Benito,,False,
2017,Superior Court,San Benito County Superior Court,Civil,Supervising Court Clerk,False,True,,52224,67248,,66508,0,500,0,67008,8688,0,0,9027,17715,2%@55,https://www.sanbenito.courts.ca.gov/general-information/human-resources,,07/31/2018,San Benito,,False,
2017,Superior Court,San Benito County Superior Court,Criminal/Traffic,Supervising Court Clerk,False,True,,52224,66648,,65568,0,500,900,66968,8804,0,0,7932,16736,2%@55,https://www.sanbenito.courts.ca.gov/general-information/human-resources,,07/31/2018,San Benito,,False,
2017,Superior Court,San Benito County Superior Court,Human Resources,Human Resource Analyst,False,True,,52228,67148,,65395,0,500,0,65895,8690,0,0,1500,10190,2%@55,https://www.sanbenito.courts.ca.gov/general-information/human-resources,,07/31/2018,San Benito,,False,
2017,Superior Court,San Benito County Superior Court,Fiscal,Account Technician,False,True,,45588,58676,,54541,0,500,0,55041,7585,0,0,13392,20977,2%@55,https://www.sanbenito.courts.ca.gov/general-information/human-resources,,07/31/2018,San Benito,,False,
2017,Superior Court,San Benito County Superior Court,Family Court Services,Commissioner,False,True,,47000,51012,,48516,0,0,0,48516,6395,0,0,0,6395,2%@55,https://www.sanbenito.courts.ca.gov/general-information/human-resources,,07/31/2018,San Benito,,False,
2017,Superior Court,San Benito County Superior Court,Civil,Senior Court Clerk,False,True,,41188,51288,,47451,0,0,0,47451,6665,0,0,13932,20597,2%@55,https://www.sanbenito.courts.ca.gov/general-information/human-resources,,07/31/2018,San Benito,,False,
2017,Superior Court,San Benito County Superior Court,Criminal/Traffic,Senior Court Clerk,False,True,,40188,51288,,44469,0,0,900,45369,6568,0,0,13392,19960,2%@55,https://www.sanbenito.courts.ca.gov/general-information/human-resources,,07/31/2018,San Benito,,False,
2017,Superior Court,San Benito County Superior Court,Criminal/Traffic,Court Clerk,False,True,,35568,45384,,44217,0,0,0,44217,5938,0,0,7932,13870,2%@55,https://www.sanbenito.courts.ca.gov/general-information/human-resources,,07/31/2018,San Benito,,False,
2017,Superior Court,San Benito County Superior Court,Criminal/Traffic,Senior Court Clerk,False,True,,40188,51288,,43614,0,0,0,43614,6563,0,0,17772,24335,2%@55,https://www.sanbenito.courts.ca.gov/general-information/human-resources,,07/31/2018,San Benito,,False,
2017,Superior Court,San Benito County Superior Court,Criminal/Traffic,Court Clerk,False,True,,35568,45384,,43055,0,0,0,43055,5598,0,0,1728,7326,2%@55,https://www.sanbenito.courts.ca.gov/general-information/human-resources,,07/31/2018,San Benito,,False,
2017,Superior Court,San Benito County Superior Court,Civil,Court Clerk,False,True,,35568,45384,,41183,0,0,900,42083,5938,0,0,17772,23710,2%@55,https://www.sanbenito.courts.ca.gov/general-information/human-resources,,07/31/2018,San Benito,,False,
2017,Superior Court,San Benito County Superior Court,Criminal/Traffic,Court Clerk,False,True,,35568,45384,,41120,0,0,0,41120,5816,0,0,7932,13748,2%@55,https://www.sanbenito.courts.ca.gov/general-information/human-resources,,07/31/2018,San Benito,,False,
2017,Superior Court,San Benito County Superior Court,Criminal/Traffic,Legal Process Clerk II,False,True,,33072,42204,,39388,0,0,900,40288,5528,0,0,7932,13460,2%@55,https://www.sanbenito.courts.ca.gov/general-information/human-resources,,07/31/2018,San Benito,,False,
2017,Superior Court,San Benito County Superior Court,Criminal/Traffic,Legal Process Clerk I,False,True,,31488,40212,,39132,0,0,0,39132,4923,0,0,1500,6423,2%@55,https://www.sanbenito.courts.ca.gov/general-information/human-resources,,07/31/2018,San Benito,,False,
2017,Superior Court,San Benito County Superior Court,Criminal/Traffic,Legal Process Clerk II,False,True,,33072,42204,,38696,0,0,0,38696,5255,0,0,7932,13187,2%@55,https://www.sanbenito.courts.ca.gov/general-information/human-resources,,07/31/2018,San Benito,,False,
2017,Superior Court,San Benito County Superior Court,Civil,Court Clerk,False,True,,35568,45384,,37883,0,0,0,37883,5773,0,0,17772,23545,2%@55,https://www.sanbenito.courts.ca.gov/general-information/human-resources,,07/31/2018,San Benito,,False,
2017,Superior Court,San Benito County Superior Court,Criminal/Traffic,Legal Process Clerk I,False,True,,31488,40212,,29285,0,0,900,30185,4014,0,0,13392,17406,2%@62,https://www.sanbenito.courts.ca.gov/general-information/human-resources,,07/31/2018,San Benito,,False,
2017,Superior Court,San Benito County Superior Court,Civil,Legal Process Clerk I,False,True,,31488,40212,,10016,0,489,0,10505,1722,0,0,4644,6366,2%@62,https://www.sanbenito.courts.ca.gov/general-information/human-resources,,07/31/2018,San Benito,,False,
2017,Superior Court,San Benito County Superior Court,Civil,Legal Process Clerk I,False,True,,31488,40212,,7516,0,289,0,7805,1399,0,0,1983,3382,2%@62,https://www.sanbenito.courts.ca.gov/general-information/human-resources,,07/31/2018,San Benito,,False,

