Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2019,Superior Court,San Diego County Superior Court,Superior Court,Executive Officer,False,True,,118373,355098,,210575,0,0,18504,229079,109851,0,0,12051,121902,3% @ 60,https://www.governmentjobs.com/careers/sdcourt,,09/01/2020,San Diego,,True,
2019,Superior Court,San Diego County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,205101,214601,,217173,0,0,9753,226926,0,,,8041,8041,Judicial Retirement System,https://www.governmentjobs.com/careers/sdcourt,,09/01/2020,San Diego,,True,
2019,Superior Court,San Diego County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,205101,214601,,212517,0,0,10030,222547,0,,,20101,20101,Judicial Retirement System,https://www.governmentjobs.com/careers/sdcourt,,09/01/2020,San Diego,,True,
2019,Superior Court,San Diego County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,205101,214601,,201886,0,0,20233,222119,0,,,20101,20101,Judicial Retirement System,https://www.governmentjobs.com/careers/sdcourt,,09/01/2020,San Diego,,True,
2019,Superior Court,San Diego County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,205101,214601,,211774,0,0,10028,221802,0,,,1805,1805,Judicial Retirement System,https://www.governmentjobs.com/careers/sdcourt,,09/01/2020,San Diego,,True,
2019,Superior Court,San Diego County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,205101,214601,,211192,0,0,10030,221222,0,,,2977,2977,Judicial Retirement System,https://www.governmentjobs.com/careers/sdcourt,,09/01/2020,San Diego,,True,
2019,Superior Court,San Diego County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,205101,214601,,211192,0,0,10028,221220,0,,,2977,2977,Judicial Retirement System,https://www.governmentjobs.com/careers/sdcourt,,09/01/2020,San Diego,,True,
2019,Superior Court,San Diego County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,205101,214601,,211147,0,0,9059,220206,0,,,2474,2474,Judicial Retirement System,https://www.governmentjobs.com/careers/sdcourt,,09/01/2020,San Diego,,True,
2019,Superior Court,San Diego County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,205101,214601,,209687,0,0,10030,219717,0,,,19871,19871,Judicial Retirement System,https://www.governmentjobs.com/careers/sdcourt,,09/01/2020,San Diego,,True,
2019,Superior Court,San Diego County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,205101,214601,,209912,0,0,9795,219707,0,,,20008,20008,Judicial Retirement System,https://www.governmentjobs.com/careers/sdcourt,,09/01/2020,San Diego,,True,
2019,Superior Court,San Diego County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,205101,214601,,209656,0,0,10028,219684,0,,,16799,16799,Judicial Retirement System,https://www.governmentjobs.com/careers/sdcourt,,09/01/2020,San Diego,,True,
2019,Superior Court,San Diego County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,205101,214601,,209611,0,0,10028,219639,0,,,8062,8062,Judicial Retirement System,https://www.governmentjobs.com/careers/sdcourt,,09/01/2020,San Diego,,True,
2019,Superior Court,San Diego County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,205101,214601,,209336,0,0,10030,219366,0,,,601,601,Judicial Retirement System,https://www.governmentjobs.com/careers/sdcourt,,09/01/2020,San Diego,,True,
2019,Superior Court,San Diego County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,205101,214601,,209314,0,0,10030,219344,0,,,19963,19963,Judicial Retirement System,https://www.governmentjobs.com/careers/sdcourt,,09/01/2020,San Diego,,True,
2019,Superior Court,San Diego County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,205101,214601,,210094,0,0,9142,219236,0,,,19049,19049,Judicial Retirement System,https://www.governmentjobs.com/careers/sdcourt,,09/01/2020,San Diego,,True,
2019,Superior Court,San Diego County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,205101,214601,,208875,0,0,10030,218905,0,,,8041,8041,Judicial Retirement System,https://www.governmentjobs.com/careers/sdcourt,,09/01/2020,San Diego,,True,
2019,Superior Court,San Diego County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,205101,214601,,208661,0,0,10028,218689,0,,,8502,8502,Judicial Retirement System,https://www.governmentjobs.com/careers/sdcourt,,09/01/2020,San Diego,,True,
2019,Superior Court,San Diego County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,205101,214601,,208553,0,0,10030,218583,0,,,19049,19049,Judicial Retirement System,https://www.governmentjobs.com/careers/sdcourt,,09/01/2020,San Diego,,True,
2019,Superior Court,San Diego County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,205101,214601,,207874,0,0,10028,217902,0,,,8378,8378,Judicial Retirement System,https://www.governmentjobs.com/careers/sdcourt,,09/01/2020,San Diego,,True,
2019,Superior Court,San Diego County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,205101,214601,,207787,0,0,10028,217815,0,,,8041,8041,Judicial Retirement System,https://www.governmentjobs.com/careers/sdcourt,,09/01/2020,San Diego,,True,
2019,Superior Court,San Diego County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,205101,214601,,207253,0,0,10030,217283,0,,,15534,15534,Judicial Retirement System,https://www.governmentjobs.com/careers/sdcourt,,09/01/2020,San Diego,,True,
2019,Superior Court,San Diego County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,205101,214601,,207253,0,0,10028,217281,0,,,15534,15534,Judicial Retirement System,https://www.governmentjobs.com/careers/sdcourt,,09/01/2020,San Diego,,True,
2019,Superior Court,San Diego County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,205101,214601,,207253,0,0,10028,217281,0,,,15534,15534,Judicial Retirement System,https://www.governmentjobs.com/careers/sdcourt,,09/01/2020,San Diego,,True,
2019,Superior Court,San Diego County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,205101,214601,,207401,0,0,9832,217233,0,,,8881,8881,Judicial Retirement System,https://www.governmentjobs.com/careers/sdcourt,,09/01/2020,San Diego,,True,
2019,Superior Court,San Diego County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,205101,214601,,207006,0,0,10030,217036,0,,,19963,19963,Judicial Retirement System,https://www.governmentjobs.com/careers/sdcourt,,09/01/2020,San Diego,,True,
2019,Superior Court,San Diego County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,205101,214601,,207006,0,0,10028,217034,0,,,19963,19963,Judicial Retirement System,https://www.governmentjobs.com/careers/sdcourt,,09/01/2020,San Diego,,True,
2019,Superior Court,San Diego County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,205101,214601,,206696,0,0,10041,216737,0,,,1378,1378,Judicial Retirement System,https://www.governmentjobs.com/careers/sdcourt,,09/01/2020,San Diego,,True,
2019,Superior Court,San Diego County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,205101,214601,,206420,0,0,10167,216587,0,,,11788,11788,Judicial Retirement System,https://www.governmentjobs.com/careers/sdcourt,,09/01/2020,San Diego,,True,
2019,Superior Court,San Diego County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,205101,214601,,206397,0,0,10030,216427,0,,,15410,15410,Judicial Retirement System,https://www.governmentjobs.com/careers/sdcourt,,09/01/2020,San Diego,,True,
2019,Superior Court,San Diego County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,205101,214601,,205900,0,0,10028,215928,0,,,15534,15534,Judicial Retirement System,https://www.governmentjobs.com/careers/sdcourt,,09/01/2020,San Diego,,True,
2019,Superior Court,San Diego County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,205101,214601,,205900,0,0,10028,215928,0,,,15534,15534,Judicial Retirement System,https://www.governmentjobs.com/careers/sdcourt,,09/01/2020,San Diego,,True,
2019,Superior Court,San Diego County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,205101,214601,,205900,0,0,10028,215928,0,,,15534,15534,Judicial Retirement System,https://www.governmentjobs.com/careers/sdcourt,,09/01/2020,San Diego,,True,
2019,Superior Court,San Diego County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,205101,214601,,205900,0,0,10028,215928,0,,,15534,15534,Judicial Retirement System,https://www.governmentjobs.com/careers/sdcourt,,09/01/2020,San Diego,,True,
2019,Superior Court,San Diego County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,205101,214601,,205900,0,0,10028,215928,0,,,15534,15534,Judicial Retirement System,https://www.governmentjobs.com/careers/sdcourt,,09/01/2020,San Diego,,True,
2019,Superior Court,San Diego County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,205101,214601,,209656,0,0,6239,215895,0,,,16799,16799,Judicial Retirement System,https://www.governmentjobs.com/careers/sdcourt,,09/01/2020,San Diego,,True,
2019,Superior Court,San Diego County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,205101,214601,,205757,0,0,10030,215787,0,,,7984,7984,Judicial Retirement System,https://www.governmentjobs.com/careers/sdcourt,,09/01/2020,San Diego,,True,
2019,Superior Court,San Diego County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,205101,214601,,205687,0,0,10030,215717,0,,,15534,15534,Judicial Retirement System,https://www.governmentjobs.com/careers/sdcourt,,09/01/2020,San Diego,,True,
2019,Superior Court,San Diego County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,205101,214601,,205687,0,0,10028,215715,0,,,15534,15534,Judicial Retirement System,https://www.governmentjobs.com/careers/sdcourt,,09/01/2020,San Diego,,True,
