Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2019,Superior Court,San Francisco Superior Court,Trial Courts,Court Executive Officer,False,True,,170924,229034,,229034,0,8809,0,237843,44581,0,0,31692,76273,Many Formulas,http://www.sfsuperiorcourt.org/general-info/hr,,09/01/2020,San Francisco,,False,
2019,Superior Court,San Francisco Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,205101,214601,,209558,0,0,10028,219586,0,0,0,4363,4363,Judicial Retirement System,http://www.sfsuperiorcourt.org/general-info/hr,,09/01/2020,San Francisco,,False,
2019,Superior Court,San Francisco Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,205101,214601,,211632,0,0,7934,219566,0,0,0,28291,28291,Judicial Retirement System,http://www.sfsuperiorcourt.org/general-info/hr,,09/01/2020,San Francisco,,False,
2019,Superior Court,San Francisco Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,205101,214601,,209401,0,0,10028,219429,0,0,0,23904,23904,Judicial Retirement System,http://www.sfsuperiorcourt.org/general-info/hr,,09/01/2020,San Francisco,,False,
2019,Superior Court,San Francisco Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,205101,214601,,210202,0,0,9059,219261,0,0,0,27704,27704,Judicial Retirement System,http://www.sfsuperiorcourt.org/general-info/hr,,09/01/2020,San Francisco,,False,
2019,Superior Court,San Francisco Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,205101,214601,,207562,0,0,10028,217590,0,0,0,22616,22616,Judicial Retirement System,http://www.sfsuperiorcourt.org/general-info/hr,,09/01/2020,San Francisco,,False,
2019,Superior Court,San Francisco Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,205101,214601,,209278,0,0,7892,217170,0,0,0,38888,38888,Judicial Retirement System,http://www.sfsuperiorcourt.org/general-info/hr,,09/01/2020,San Francisco,,False,
2019,Superior Court,San Francisco Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,205101,214601,,206766,0,0,10028,216794,0,0,0,25590,25590,Judicial Retirement System,http://www.sfsuperiorcourt.org/general-info/hr,,09/01/2020,San Francisco,,False,
2019,Superior Court,San Francisco Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,205101,214601,,206517,0,0,10028,216545,0,0,0,19075,19075,Judicial Retirement System,http://www.sfsuperiorcourt.org/general-info/hr,,09/01/2020,San Francisco,,False,
2019,Superior Court,San Francisco Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,205101,214601,,206181,0,0,10028,216209,0,0,0,21599,21599,Judicial Retirement System,http://www.sfsuperiorcourt.org/general-info/hr,,09/01/2020,San Francisco,,False,
2019,Superior Court,San Francisco Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,205101,214601,,206181,0,0,10028,216209,0,0,0,12487,12487,Judicial Retirement System,http://www.sfsuperiorcourt.org/general-info/hr,,09/01/2020,San Francisco,,False,
2019,Superior Court,San Francisco Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,205101,214601,,206181,0,0,10028,216209,0,0,0,11918,11918,Judicial Retirement System,http://www.sfsuperiorcourt.org/general-info/hr,,09/01/2020,San Francisco,,False,
