Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2019,Superior Court,San Joaquin County Superior Court,Executive Office,Court Executive Officer,False,True,,158182,192272,,224999,0,7395,5099,237493,105494,0,9867,0,115361,2%@55.5,https://www.sjcourts.org/,,09/01/2020,San Joaquin,,False,
2019,Superior Court,San Joaquin County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,205101,214601,,212093,0,0,10042,222135,0,,,19242,19242,Judicial Retirement System,https://www.sjcourts.org/,,09/01/2020,San Joaquin,,False,
2019,Superior Court,San Joaquin County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,205101,214601,,208357,0,0,10028,218385,0,,,7565,7565,Judicial Retirement System,https://www.sjcourts.org/,,09/01/2020,San Joaquin,,False,
2019,Superior Court,San Joaquin County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,205101,214601,,207787,0,0,10028,217815,0,,,8041,8041,Judicial Retirement System,https://www.sjcourts.org/,,09/01/2020,San Joaquin,,False,
2019,Superior Court,San Joaquin County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,205101,214601,,207634,0,0,10030,217664,0,,,8502,8502,Judicial Retirement System,https://www.sjcourts.org/,,09/01/2020,San Joaquin,,False,
2019,Superior Court,San Joaquin County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,205101,214601,,206970,0,0,10192,217162,0,,,16420,16420,Judicial Retirement System,https://www.sjcourts.org/,,09/01/2020,San Joaquin,,False,
2019,Superior Court,San Joaquin County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,205101,214601,,207041,0,0,10028,217069,0,,,15534,15534,Judicial Retirement System,https://www.sjcourts.org/,,09/01/2020,San Joaquin,,False,
2019,Superior Court,San Joaquin County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,205101,214601,,206299,0,0,10030,216329,0,,,15913,15913,Judicial Retirement System,https://www.sjcourts.org/,,09/01/2020,San Joaquin,,False,
2019,Superior Court,San Joaquin County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,205101,214601,,206299,0,0,10028,216327,0,,,15913,15913,Judicial Retirement System,https://www.sjcourts.org/,,09/01/2020,San Joaquin,,False,
2019,Superior Court,San Joaquin County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,205101,214601,,206254,0,0,10028,216282,0,,,15410,15410,Judicial Retirement System,https://www.sjcourts.org/,,09/01/2020,San Joaquin,,False,
2019,Superior Court,San Joaquin County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,205101,214601,,206214,0,0,10030,216244,0,,,20101,20101,Judicial Retirement System,https://www.sjcourts.org/,,09/01/2020,San Joaquin,,False,
2019,Superior Court,San Joaquin County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,205101,214601,,207041,0,0,9142,216183,0,,,15534,15534,Judicial Retirement System,https://www.sjcourts.org/,,09/01/2020,San Joaquin,,False,
2019,Superior Court,San Joaquin County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,205101,214601,,205687,0,0,10028,215715,0,,,15534,15534,Judicial Retirement System,https://www.sjcourts.org/,,09/01/2020,San Joaquin,,False,
2019,Superior Court,San Joaquin County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,205101,214601,,205078,0,0,10030,215108,0,,,15534,15534,Judicial Retirement System,https://www.sjcourts.org/,,09/01/2020,San Joaquin,,False,
