Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2015,Superior Court,San Luis Obispo County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,179541,189041,,185205,0,0,20482,205687,0,0,0,15137,15137,Judicial Retirement System,https://www.slo.courts.ca.gov/general-information/employment,,07/26/2016,San Luis Obispo,,,
2015,Superior Court,San Luis Obispo County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,179541,189041,,186633,0,0,18296,204929,0,0,0,25983,25983,Judicial Retirement System,https://www.slo.courts.ca.gov/general-information/employment,,07/26/2016,San Luis Obispo,,,
2015,Superior Court,San Luis Obispo County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,179541,189041,,185963,0,0,18072,204035,0,0,0,14680,14680,Judicial Retirement System,https://www.slo.courts.ca.gov/general-information/employment,,07/26/2016,San Luis Obispo,,,
2015,Superior Court,San Luis Obispo County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,179541,189041,,183571,0,0,20146,203717,0,0,0,21892,21892,Judicial Retirement System,https://www.slo.courts.ca.gov/general-information/employment,,07/26/2016,San Luis Obispo,,,
2015,Superior Court,San Luis Obispo County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,179541,189041,,183372,0,0,19037,202409,0,0,0,26072,26072,Judicial Retirement System,https://www.slo.courts.ca.gov/general-information/employment,,07/26/2016,San Luis Obispo,,,
2015,Superior Court,San Luis Obispo County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,179541,189041,,182532,0,0,19712,202244,0,0,0,26072,26072,Judicial Retirement System,https://www.slo.courts.ca.gov/general-information/employment,,07/26/2016,San Luis Obispo,,,
2015,Superior Court,San Luis Obispo County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,179541,189041,,187933,0,0,14180,202113,0,0,0,9676,9676,Judicial Retirement System,https://www.slo.courts.ca.gov/general-information/employment,,07/26/2016,San Luis Obispo,,,
2015,Superior Court,San Luis Obispo County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,179541,189041,,183295,0,0,18614,201909,0,0,0,24808,24808,Judicial Retirement System,https://www.slo.courts.ca.gov/general-information/employment,,07/26/2016,San Luis Obispo,,,
2015,Superior Court,San Luis Obispo County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,179541,189041,,183926,0,0,17474,201400,0,0,0,21486,21486,Judicial Retirement System,https://www.slo.courts.ca.gov/general-information/employment,,07/26/2016,San Luis Obispo,,,
2015,Superior Court,San Luis Obispo County Superior Court,Court Operations,Commissioner,False,True,,160685,160685,,161016,0,35369,198,196583,38596,24925,0,8906,72427,2% @ 55,https://www.slo.courts.ca.gov/general-information/employment,,07/26/2016,San Luis Obispo,,,
2015,Superior Court,San Luis Obispo County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,179541,189041,,182117,0,0,13992,196109,0,0,0,21773,21773,Judicial Retirement System,https://www.slo.courts.ca.gov/general-information/employment,,07/26/2016,San Luis Obispo,,,
2015,Superior Court,San Luis Obispo County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,179541,189041,,182874,0,0,6000,188874,0,0,0,18200,18200,Judicial Retirement System,https://www.slo.courts.ca.gov/general-information/employment,,07/26/2016,San Luis Obispo,,,
2015,Superior Court,San Luis Obispo County Superior Court,Administration,Court Executive Officer,False,True,,143998,175030,,176806,0,4818,200,181824,42380,27370,0,6180,75930,2% @ 55,https://www.slo.courts.ca.gov/general-information/employment,,07/26/2016,San Luis Obispo,,,
2015,Superior Court,San Luis Obispo County Superior Court,Court Operations,Commissioner,False,True,,160685,160685,,144739,0,4455,0,149194,34694,22406,0,9025,66125,2% @ 55,https://www.slo.courts.ca.gov/general-information/employment,,07/26/2016,San Luis Obispo,,,
2015,Superior Court,San Luis Obispo County Superior Court,Court Operations,Commissioner,False,True,,160685,160685,,134447,0,4435,0,138882,32227,20812,0,9025,62064,2% @ 55,https://www.slo.courts.ca.gov/general-information/employment,,07/26/2016,San Luis Obispo,,,
2015,Superior Court,San Luis Obispo County Superior Court,Court Operations,Attorney,False,True,,91244,126111,,116200,0,3472,0,119672,27853,17988,0,9025,54866,2% @ 55,https://www.slo.courts.ca.gov/general-information/employment,,07/26/2016,San Luis Obispo,,,
2015,Superior Court,San Luis Obispo County Superior Court,Court Operations,Attorney,False,True,,91244,126111,,113395,0,2472,200,116067,27181,17553,0,9025,53759,2% @ 55,https://www.slo.courts.ca.gov/general-information/employment,,07/26/2016,San Luis Obispo,,,
2015,Superior Court,San Luis Obispo County Superior Court,Information Technology,Director Information Technology Services,False,True,,93029,113078,,109114,0,3085,0,112199,26155,16891,0,6180,49226,2% @ 55,https://www.slo.courts.ca.gov/general-information/employment,,07/26/2016,San Luis Obispo,,,
2015,Superior Court,San Luis Obispo County Superior Court,Administration,Assistant Executive Officer,False,True,,115653,140577,,94834,0,3276,90,98200,22732,14680,0,9025,46437,2% @ 55,https://www.slo.courts.ca.gov/general-information/employment,,07/26/2016,San Luis Obispo,,,
2015,Superior Court,San Luis Obispo County Superior Court,Fiscal,Director Fiscal Services,False,True,,88460,107523,,95225,0,2960,0,98185,22825,14741,0,9025,46591,2% @ 55,https://www.slo.courts.ca.gov/general-information/employment,,07/26/2016,San Luis Obispo,,,
2015,Superior Court,San Luis Obispo County Superior Court,Criminal,Director Criminal Operations,False,True,,82302,100039,,95255,0,2755,0,98010,22833,14746,0,9025,46604,2% @ 55,https://www.slo.courts.ca.gov/general-information/employment,,07/26/2016,San Luis Obispo,,,
2015,Superior Court,San Luis Obispo County Superior Court,Court Operations,Director Courtroom Operations,False,True,,82302,100039,,94979,0,2755,0,97734,22766,14703,0,9025,46494,2% @ 55,https://www.slo.courts.ca.gov/general-information/employment,,07/26/2016,San Luis Obispo,,,
2015,Superior Court,San Luis Obispo County Superior Court,Civil,Director Civil Operations,False,True,,82302,100039,,94344,0,2755,0,97099,22614,14605,0,9025,46244,2% @ 55,https://www.slo.courts.ca.gov/general-information/employment,,07/26/2016,San Luis Obispo,,,
