Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2018,Superior Court,San Mateo County Superior Court,Administration,Court Executive Officer / Clerk And Jury Commissioner,False,True,,192691,240864,,191995,0,32356,10300,234651,67068,0,0,10415,77483,2% @ 55,http://www.sanmateocourt.org/,,09/24/2019,San Mateo,,True,
2018,Superior Court,San Mateo County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,197924,207424,,175771,0,39165,-116,214820,32379,0,0,8072,40451,Judicial Retirement System,http://www.sanmateocourt.org/,,09/24/2019,San Mateo,,True,
2018,Superior Court,San Mateo County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,197924,207424,,212929,0,0,0,212929,0,0,0,9958,9958,Judicial Retirement System,http://www.sanmateocourt.org/,,09/24/2019,San Mateo,,True,
2018,Superior Court,San Mateo County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,197924,207424,,208372,0,0,0,208372,0,0,0,24396,24396,Judicial Retirement System,http://www.sanmateocourt.org/,,09/24/2019,San Mateo,,True,
2018,Superior Court,San Mateo County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,197924,207424,,204804,0,0,0,204804,0,0,0,24396,24396,Judicial Retirement System,http://www.sanmateocourt.org/,,09/24/2019,San Mateo,,True,
2018,Superior Court,San Mateo County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,197924,207424,,204804,0,0,0,204804,0,0,0,1804,1804,Judicial Retirement System,http://www.sanmateocourt.org/,,09/24/2019,San Mateo,,True,
2018,Superior Court,San Mateo County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,197924,207424,,204698,0,0,0,204698,0,0,0,26309,26309,Judicial Retirement System,http://www.sanmateocourt.org/,,09/24/2019,San Mateo,,True,
2018,Superior Court,San Mateo County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,197924,207424,,204221,0,0,250,204471,0,0,0,34326,34326,Judicial Retirement System,http://www.sanmateocourt.org/,,09/24/2019,San Mateo,,True,
2018,Superior Court,San Mateo County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,197924,207424,,204348,0,0,0,204348,0,0,0,26293,26293,Judicial Retirement System,http://www.sanmateocourt.org/,,09/24/2019,San Mateo,,True,
2018,Superior Court,San Mateo County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,197924,207424,,204221,0,0,0,204221,0,0,0,34326,34326,Judicial Retirement System,http://www.sanmateocourt.org/,,09/24/2019,San Mateo,,True,
2018,Superior Court,San Mateo County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,197924,207424,,203056,0,0,0,203056,0,0,0,268,268,Judicial Retirement System,http://www.sanmateocourt.org/,,09/24/2019,San Mateo,,True,
2018,Superior Court,San Mateo County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,197924,207424,,202254,0,0,0,202254,0,0,0,14373,14373,Judicial Retirement System,http://www.sanmateocourt.org/,,09/24/2019,San Mateo,,True,
2018,Superior Court,San Mateo County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,197924,207424,,201655,0,0,0,201655,0,0,0,20019,20019,Judicial Retirement System,http://www.sanmateocourt.org/,,09/24/2019,San Mateo,,True,
2018,Superior Court,San Mateo County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,197924,207424,,201752,0,0,-122,201630,0,0,0,7969,7969,Judicial Retirement System,http://www.sanmateocourt.org/,,09/24/2019,San Mateo,,True,
2018,Superior Court,San Mateo County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,197924,207424,,201317,0,0,0,201317,0,0,0,7980,7980,Judicial Retirement System,http://www.sanmateocourt.org/,,09/24/2019,San Mateo,,True,
2018,Superior Court,San Mateo County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,197924,207424,,200412,0,0,0,200412,0,0,0,1061,1061,Judicial Retirement System,http://www.sanmateocourt.org/,,09/24/2019,San Mateo,,True,
2018,Superior Court,San Mateo County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,197924,207424,,200085,0,0,0,200085,0,0,0,1440,1440,Judicial Retirement System,http://www.sanmateocourt.org/,,09/24/2019,San Mateo,,True,
2018,Superior Court,San Mateo County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,197924,207424,,199804,0,0,0,199804,0,0,0,22115,22115,Judicial Retirement System,http://www.sanmateocourt.org/,,09/24/2019,San Mateo,,True,
2018,Superior Court,San Mateo County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,197924,207424,,199760,0,0,0,199760,0,0,0,37981,37981,Judicial Retirement System,http://www.sanmateocourt.org/,,09/24/2019,San Mateo,,True,
2018,Superior Court,San Mateo County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,197924,207424,,199760,0,0,0,199760,0,0,0,15582,15582,Judicial Retirement System,http://www.sanmateocourt.org/,,09/24/2019,San Mateo,,True,
2018,Superior Court,San Mateo County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,197924,207424,,199125,0,0,0,199125,0,0,0,15265,15265,Judicial Retirement System,http://www.sanmateocourt.org/,,09/24/2019,San Mateo,,True,
