Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2014,Superior Court,Santa Barbara County Superior Court,Judicial,Court Commissioner,False,True,,156910,156910,,151392,0,31965,6844,190201,50710,2160,0,6750,59620,2% @ 57,www.santabarbara.courts.ca.gov/general-informaion/human-resources,,07/25/2016,Santa Barbara,,,
2014,Superior Court,Santa Barbara County Superior Court,Judges' Retirement System Member,"Judge, Superior Court",True,True,,175110,184610,,186116,0,0,1259,187375,0,0,0,13576,13576,Judicial Retirement System,www.santabarbara.courts.ca.gov/general-informaion/human-resources,,07/25/2016,Santa Barbara,,,
2014,Superior Court,Santa Barbara County Superior Court,Judges' Retirement System Member,"Judge, Superior Court",True,True,,175110,184610,,185398,0,0,1267,186665,0,0,0,1804,1804,Judicial Retirement System,www.santabarbara.courts.ca.gov/general-informaion/human-resources,,07/25/2016,Santa Barbara,,,
2014,Superior Court,Santa Barbara County Superior Court,Judges' Retirement System Member,"Judge, Superior Court",True,True,,175110,184610,,185122,0,0,1259,186381,0,0,0,8483,8483,Judicial Retirement System,www.santabarbara.courts.ca.gov/general-informaion/human-resources,,07/25/2016,Santa Barbara,,,
2014,Superior Court,Santa Barbara County Superior Court,Judges' Retirement System Member,"Judge, Superior Court",True,True,,175110,184610,,182395,0,0,1259,183654,0,0,0,8085,8085,Judicial Retirement System,www.santabarbara.courts.ca.gov/general-informaion/human-resources,,07/25/2016,Santa Barbara,,,
2014,Superior Court,Santa Barbara County Superior Court,Judges' Retirement System Member,"Judge, Superior Court",True,True,,175110,184610,,181900,0,0,661,182561,0,0,0,8873,8873,Judicial Retirement System,www.santabarbara.courts.ca.gov/general-informaion/human-resources,,07/25/2016,Santa Barbara,,,
2014,Superior Court,Santa Barbara County Superior Court,Judges' Retirement System Member,"Judge, Superior Court",True,True,,175110,184610,,180646,0,0,1259,181905,0,0,0,13695,13695,Judicial Retirement System,www.santabarbara.courts.ca.gov/general-informaion/human-resources,,07/25/2016,Santa Barbara,,,
2014,Superior Court,Santa Barbara County Superior Court,Judges' Retirement System Member,"Judge, Superior Court",True,True,,175110,184610,,179823,0,0,1222,181045,0,0,0,7366,7366,Judicial Retirement System,www.santabarbara.courts.ca.gov/general-informaion/human-resources,,07/25/2016,Santa Barbara,,,
2014,Superior Court,Santa Barbara County Superior Court,Judges' Retirement System Member,"Judge, Superior Court",True,True,,175110,184610,,179538,0,0,1259,180797,0,0,0,17710,17710,Judicial Retirement System,www.santabarbara.courts.ca.gov/general-informaion/human-resources,,07/25/2016,Santa Barbara,,,
2014,Superior Court,Santa Barbara County Superior Court,Judges' Retirement System Member,"Judge, Superior Court",True,True,,175110,184610,,179210,0,0,1259,180469,0,0,0,17620,17620,Judicial Retirement System,www.santabarbara.courts.ca.gov/general-informaion/human-resources,,07/25/2016,Santa Barbara,,,
2014,Superior Court,Santa Barbara County Superior Court,Judges' Retirement System Member,"Judge, Superior Court",True,True,,175110,184610,,179086,0,0,1259,180345,0,0,0,13695,13695,Judicial Retirement System,www.santabarbara.courts.ca.gov/general-informaion/human-resources,,07/25/2016,Santa Barbara,,,
2014,Superior Court,Santa Barbara County Superior Court,Judges' Retirement System Member,"Judge, Superior Court",True,True,,175110,184610,,178926,0,0,1259,180185,0,0,0,17710,17710,Judicial Retirement System,www.santabarbara.courts.ca.gov/general-informaion/human-resources,,07/25/2016,Santa Barbara,,,
2014,Superior Court,Santa Barbara County Superior Court,Judges' Retirement System Member,"Judge, Superior Court",True,True,,175110,184610,,177532,0,0,1591,179123,0,0,0,13706,13706,Judicial Retirement System,www.santabarbara.courts.ca.gov/general-informaion/human-resources,,07/25/2016,Santa Barbara,,,
2014,Superior Court,Santa Barbara County Superior Court,Judges' Retirement System Member,"Judge, Superior Court",True,True,,175110,184610,,177380,0,0,1259,178639,0,0,0,17710,17710,Judicial Retirement System,www.santabarbara.courts.ca.gov/general-informaion/human-resources,,07/25/2016,Santa Barbara,,,
2014,Superior Court,Santa Barbara County Superior Court,Judges' Retirement System Member,"Judge, Superior Court",True,True,,175110,184610,,177496,0,0,389,177884,0,0,0,19206,19206,Judicial Retirement System,www.santabarbara.courts.ca.gov/general-informaion/human-resources,,07/25/2016,Santa Barbara,,,
2014,Superior Court,Santa Barbara County Superior Court,Judges' Retirement System Member,"Judge, Superior Court",True,True,,175110,184610,,176506,0,0,1259,177765,0,0,0,2559,2559,Judicial Retirement System,www.santabarbara.courts.ca.gov/general-informaion/human-resources,,07/25/2016,Santa Barbara,,,
2014,Superior Court,Santa Barbara County Superior Court,Judges' Retirement System Member,"Judge, Superior Court",True,True,,175110,184610,,177038,0,0,661,177699,0,0,0,24135,24135,Judicial Retirement System,www.santabarbara.courts.ca.gov/general-informaion/human-resources,,07/25/2016,Santa Barbara,,,
2014,Superior Court,Santa Barbara County Superior Court,Judges' Retirement System Member,"Judge, Superior Court",True,True,,175110,184610,,175995,0,0,1259,177254,0,0,0,17710,17710,Judicial Retirement System,www.santabarbara.courts.ca.gov/general-informaion/human-resources,,07/25/2016,Santa Barbara,,,
2014,Superior Court,Santa Barbara County Superior Court,Administration,Superior Court Exec Officer,False,True,,112242,137020,,156839,0,0,15595,172434,59332,2160,0,6750,68242,2% @ 57,www.santabarbara.courts.ca.gov/general-informaion/human-resources,,07/25/2016,Santa Barbara,,,
2014,Superior Court,Santa Barbara County Superior Court,Judges' Retirement System Member,"Judge, Superior Court",True,True,,175110,184610,,168778,0,0,1259,170037,0,0,0,17710,17710,Judicial Retirement System,www.santabarbara.courts.ca.gov/general-informaion/human-resources,,07/25/2016,Santa Barbara,,,
2014,Superior Court,Santa Barbara County Superior Court,Judges' Retirement System Member,"Judge, Superior Court",True,True,,175110,184610,,166127,0,0,-748,165379,0,0,0,13555,13555,Judicial Retirement System,www.santabarbara.courts.ca.gov/general-informaion/human-resources,,07/25/2016,Santa Barbara,,,
2014,Superior Court,Santa Barbara County Superior Court,Judicial,Court Commissioner,False,True,,156910,156910,,152189,0,0,6971,159160,51813,2160,0,6750,60723,2% @ 57,www.santabarbara.courts.ca.gov/general-informaion/human-resources,,07/25/2016,Santa Barbara,,,
2014,Superior Court,Santa Barbara County Superior Court,Information Technology,Info Tech Director,False,True,,117520,143468,,145874,0,0,7868,153742,49624,2160,0,6750,58534,2% @ 57,www.santabarbara.courts.ca.gov/general-informaion/human-resources,,07/25/2016,Santa Barbara,,,
2014,Superior Court,Santa Barbara County Superior Court,Judges' Retirement System Member,"Judge, Superior Court",True,True,,175110,184610,,146620,0,0,1026,147646,0,0,0,11313,11313,Judicial Retirement System,www.santabarbara.courts.ca.gov/general-informaion/human-resources,,07/25/2016,Santa Barbara,,,
2014,Superior Court,Santa Barbara County Superior Court,Legal Research,Legal Research Atty Supv,False,True,,111228,135798,,134914,0,5223,6050,146187,48279,2160,0,6750,57189,2% @ 57,www.santabarbara.courts.ca.gov/general-informaion/human-resources,,07/25/2016,Santa Barbara,,,
2014,Superior Court,Santa Barbara County Superior Court,Legal Research,Legal Research Atty Supv,False,True,,111228,135798,,138477,0,0,6050,144527,46587,2160,0,6750,55497,2% @ 57,www.santabarbara.courts.ca.gov/general-informaion/human-resources,,07/25/2016,Santa Barbara,,,
2014,Superior Court,Santa Barbara County Superior Court,Family Services,Family Law Facilitator,False,True,,94848,115778,,119204,0,0,6001,125205,39987,2160,0,6750,48897,2% @ 57,www.santabarbara.courts.ca.gov/general-informaion/human-resources,,07/25/2016,Santa Barbara,,,
2014,Superior Court,Santa Barbara County Superior Court,Legal Research,Legal Research Atty,False,True,,94848,115778,,119135,0,0,6001,125136,39987,2160,0,5863,48010,2% @ 57,www.santabarbara.courts.ca.gov/general-informaion/human-resources,,07/25/2016,Santa Barbara,,,
2014,Superior Court,Santa Barbara County Superior Court,Legal Research,Legal Research Atty,False,True,,94848,115778,,118586,0,0,6001,124587,39987,2160,0,6750,48897,2% @ 57,www.santabarbara.courts.ca.gov/general-informaion/human-resources,,07/25/2016,Santa Barbara,,,
2014,Superior Court,Santa Barbara County Superior Court,Legal Research,Legal Research Atty,False,True,,94848,115778,,113604,0,0,6001,119605,39987,2160,0,6750,48897,2% @ 57,www.santabarbara.courts.ca.gov/general-informaion/human-resources,,07/25/2016,Santa Barbara,,,
2014,Superior Court,Santa Barbara County Superior Court,Legal Research,Legal Research Atty,False,True,,94848,115778,,113310,0,0,6001,119311,39987,2160,0,6750,48897,2% @ 57,www.santabarbara.courts.ca.gov/general-informaion/human-resources,,07/25/2016,Santa Barbara,,,
2014,Superior Court,Santa Barbara County Superior Court,Family Services,Family Law Facilitator,False,True,,94848,115778,,107802,0,0,5401,113203,36073,1944,0,0,38017,2% @ 57,www.santabarbara.courts.ca.gov/general-informaion/human-resources,,07/25/2016,Santa Barbara,,,
2014,Superior Court,Santa Barbara County Superior Court,Legal Research,Legal Research Atty,False,True,,94848,115778,,104749,0,0,6001,110750,40055,2160,0,6715,48930,2% @ 57,www.santabarbara.courts.ca.gov/general-informaion/human-resources,,07/25/2016,Santa Barbara,,,
2014,Superior Court,Santa Barbara County Superior Court,Information Technology,Systems & Project Analyst Sr.,False,True,,83356,101764,,99817,0,1957,7629,109403,36529,540,0,6750,43819,2% @ 57,www.santabarbara.courts.ca.gov/general-informaion/human-resources,,07/25/2016,Santa Barbara,,,
2014,Superior Court,Santa Barbara County Superior Court,Fiscal,Chief Financial Officer,False,True,,96746,118118,,100775,0,0,7165,107940,35787,2160,0,326,38273,2% @ 57,www.santabarbara.courts.ca.gov/general-informaion/human-resources,,07/25/2016,Santa Barbara,,,
2014,Superior Court,Santa Barbara County Superior Court,Criminal,Judicial Services Mgr. Sr.,False,True,,80054,97734,,100235,0,0,6496,106731,34163,2160,0,6750,43073,2% @ 57,www.santabarbara.courts.ca.gov/general-informaion/human-resources,,07/25/2016,Santa Barbara,,,
