Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2021,Superior Court,Santa Clara County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,215574,225074,,157636,0,88248,15289,261173,41323,0,0,18230,59553,Judicial Retirement System,https://santaclara.courts.ca.gov/,,07/26/2022,Santa Clara,,False,
2021,Superior Court,Santa Clara County Superior Court,Executive Office,Chief Executive Officer,False,True,,206493,261342,,240240,0,0,5500,245740,27227,0,0,28610,55837,2.5% @ 55,https://santaclara.courts.ca.gov/,,07/26/2022,Santa Clara,,False,
2021,Superior Court,Santa Clara County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,215574,225074,,230457,0,0,1924,232381,0,0,0,3378,3378,Judicial Retirement System,https://santaclara.courts.ca.gov/,,07/26/2022,Santa Clara,,False,
2021,Superior Court,Santa Clara County Superior Court,Executive Office,Asst Executive Officer/Gen Counsel,False,True,,196028,248097,,231300,0,0,208,231508,26231,0,0,18354,44585,2.5% @ 55,https://santaclara.courts.ca.gov/,,07/26/2022,Santa Clara,,False,
2021,Superior Court,Santa Clara County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,215574,225074,,226279,0,0,0,226279,0,0,0,37934,37934,Judicial Retirement System,https://santaclara.courts.ca.gov/,,07/26/2022,Santa Clara,,False,
2021,Superior Court,Santa Clara County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,215574,225074,,224179,0,0,2079,226258,0,0,0,1805,1805,Judicial Retirement System,https://santaclara.courts.ca.gov/,,07/26/2022,Santa Clara,,False,
2021,Superior Court,Santa Clara County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,215574,225074,,220645,0,0,1924,222569,0,0,0,3378,3378,Judicial Retirement System,https://santaclara.courts.ca.gov/,,07/26/2022,Santa Clara,,False,
2021,Superior Court,Santa Clara County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,215574,225074,,220645,0,0,1924,222569,0,0,0,3378,3378,Judicial Retirement System,https://santaclara.courts.ca.gov/,,07/26/2022,Santa Clara,,False,
2021,Superior Court,Santa Clara County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,215574,225074,,220645,0,0,518,221163,0,0,0,28827,28827,Judicial Retirement System,https://santaclara.courts.ca.gov/,,07/26/2022,Santa Clara,,False,
2021,Superior Court,Santa Clara County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,215574,225074,,220230,0,0,526,220756,0,0,0,22453,22453,Judicial Retirement System,https://santaclara.courts.ca.gov/,,07/26/2022,Santa Clara,,False,
2021,Superior Court,Santa Clara County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,215574,225074,,220645,0,0,0,220645,0,0,0,37934,37934,Judicial Retirement System,https://santaclara.courts.ca.gov/,,07/26/2022,Santa Clara,,False,
2021,Superior Court,Santa Clara County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,215574,225074,,220152,0,0,0,220152,0,0,0,15207,15207,Judicial Retirement System,https://santaclara.courts.ca.gov/,,07/26/2022,Santa Clara,,False,
2021,Superior Court,Santa Clara County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,215574,225074,,220093,0,0,0,220093,0,0,0,29874,29874,Judicial Retirement System,https://santaclara.courts.ca.gov/,,07/26/2022,Santa Clara,,False,
2021,Superior Court,Santa Clara County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,215574,225074,,220086,0,0,0,220086,0,0,0,12143,12143,Judicial Retirement System,https://santaclara.courts.ca.gov/,,07/26/2022,Santa Clara,,False,
2021,Superior Court,Santa Clara County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,215574,225074,,219638,0,0,0,219638,0,0,0,19154,19154,Judicial Retirement System,https://santaclara.courts.ca.gov/,,07/26/2022,Santa Clara,,False,
2021,Superior Court,Santa Clara County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,215574,225074,,219630,0,0,0,219630,0,0,0,12936,12936,Judicial Retirement System,https://santaclara.courts.ca.gov/,,07/26/2022,Santa Clara,,False,
2021,Superior Court,Santa Clara County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,215574,225074,,219470,0,0,0,219470,0,0,0,21784,21784,Judicial Retirement System,https://santaclara.courts.ca.gov/,,07/26/2022,Santa Clara,,False,
2021,Superior Court,Santa Clara County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,215574,225074,,219335,0,0,0,219335,0,0,0,19486,19486,Judicial Retirement System,https://santaclara.courts.ca.gov/,,07/26/2022,Santa Clara,,False,
2021,Superior Court,Santa Clara County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,215574,225074,,219300,0,0,0,219300,0,0,0,20032,20032,Judicial Retirement System,https://santaclara.courts.ca.gov/,,07/26/2022,Santa Clara,,False,
2021,Superior Court,Santa Clara County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,215574,225074,,219300,0,0,0,219300,0,0,0,20032,20032,Judicial Retirement System,https://santaclara.courts.ca.gov/,,07/26/2022,Santa Clara,,False,
2021,Superior Court,Santa Clara County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,215574,225074,,219300,0,0,0,219300,0,0,0,20032,20032,Judicial Retirement System,https://santaclara.courts.ca.gov/,,07/26/2022,Santa Clara,,False,
2021,Superior Court,Santa Clara County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,215574,225074,,219267,0,0,0,219267,0,0,0,21784,21784,Judicial Retirement System,https://santaclara.courts.ca.gov/,,07/26/2022,Santa Clara,,False,
2021,Superior Court,Santa Clara County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,215574,225074,,219267,0,0,0,219267,0,0,0,21784,21784,Judicial Retirement System,https://santaclara.courts.ca.gov/,,07/26/2022,Santa Clara,,False,
2021,Superior Court,Santa Clara County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,215574,225074,,219218,0,0,0,219218,0,0,0,19974,19974,Judicial Retirement System,https://santaclara.courts.ca.gov/,,07/26/2022,Santa Clara,,False,
2021,Superior Court,Santa Clara County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,215574,225074,,219147,0,0,0,219147,0,0,0,20493,20493,Judicial Retirement System,https://santaclara.courts.ca.gov/,,07/26/2022,Santa Clara,,False,
2021,Superior Court,Santa Clara County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,215574,225074,,219023,0,0,0,219023,0,0,0,28795,28795,Judicial Retirement System,https://santaclara.courts.ca.gov/,,07/26/2022,Santa Clara,,False,
2021,Superior Court,Santa Clara County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,215574,225074,,219014,0,0,0,219014,0,0,0,22577,22577,Judicial Retirement System,https://santaclara.courts.ca.gov/,,07/26/2022,Santa Clara,,False,
2021,Superior Court,Santa Clara County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,215574,225074,,218753,0,0,0,218753,0,0,0,26672,26672,Judicial Retirement System,https://santaclara.courts.ca.gov/,,07/26/2022,Santa Clara,,False,
2021,Superior Court,Santa Clara County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,215574,225074,,218696,0,0,0,218696,0,0,0,28795,28795,Judicial Retirement System,https://santaclara.courts.ca.gov/,,07/26/2022,Santa Clara,,False,
2021,Superior Court,Santa Clara County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,215574,225074,,218662,0,0,0,218662,0,0,0,30028,30028,Judicial Retirement System,https://santaclara.courts.ca.gov/,,07/26/2022,Santa Clara,,False,
2021,Superior Court,Santa Clara County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,215574,225074,,218557,0,0,0,218557,0,0,0,37477,37477,Judicial Retirement System,https://santaclara.courts.ca.gov/,,07/26/2022,Santa Clara,,False,
2021,Superior Court,Santa Clara County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,215574,225074,,218471,0,0,0,218471,0,0,0,29874,29874,Judicial Retirement System,https://santaclara.courts.ca.gov/,,07/26/2022,Santa Clara,,False,
2021,Superior Court,Santa Clara County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,215574,225074,,218440,0,0,0,218440,0,0,0,29967,29967,Judicial Retirement System,https://santaclara.courts.ca.gov/,,07/26/2022,Santa Clara,,False,
2021,Superior Court,Santa Clara County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,215574,225074,,218440,0,0,0,218440,0,0,0,29967,29967,Judicial Retirement System,https://santaclara.courts.ca.gov/,,07/26/2022,Santa Clara,,False,
2021,Superior Court,Santa Clara County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,215574,225074,,218439,0,0,0,218439,0,0,0,37934,37934,Judicial Retirement System,https://santaclara.courts.ca.gov/,,07/26/2022,Santa Clara,,False,
2021,Superior Court,Santa Clara County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,215574,225074,,218439,0,0,0,218439,0,0,0,37934,37934,Judicial Retirement System,https://santaclara.courts.ca.gov/,,07/26/2022,Santa Clara,,False,
2021,Superior Court,Santa Clara County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,215574,225074,,217780,0,0,614,218394,0,0,0,38727,38727,Judicial Retirement System,https://santaclara.courts.ca.gov/,,07/26/2022,Santa Clara,,False,
2021,Superior Court,Santa Clara County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,215574,225074,,216254,0,0,1924,218178,0,0,0,9914,9914,Judicial Retirement System,https://santaclara.courts.ca.gov/,,07/26/2022,Santa Clara,,False,
2021,Superior Court,Santa Clara County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,215574,225074,,218024,0,0,0,218024,0,0,0,38603,38603,Judicial Retirement System,https://santaclara.courts.ca.gov/,,07/26/2022,Santa Clara,,False,
2021,Superior Court,Santa Clara County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,215574,225074,,217983,0,0,0,217983,0,0,0,38727,38727,Judicial Retirement System,https://santaclara.courts.ca.gov/,,07/26/2022,Santa Clara,,False,
2021,Superior Court,Santa Clara County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,215574,225074,,217983,0,0,0,217983,0,0,0,38727,38727,Judicial Retirement System,https://santaclara.courts.ca.gov/,,07/26/2022,Santa Clara,,False,
2021,Superior Court,Santa Clara County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,215574,225074,,217887,0,0,0,217887,0,0,0,39013,39013,Judicial Retirement System,https://santaclara.courts.ca.gov/,,07/26/2022,Santa Clara,,False,
2021,Superior Court,Santa Clara County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,215574,225074,,217887,0,0,0,217887,0,0,0,39013,39013,Judicial Retirement System,https://santaclara.courts.ca.gov/,,07/26/2022,Santa Clara,,False,
2021,Superior Court,Santa Clara County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,215574,225074,,217856,0,0,0,217856,0,0,0,39106,39106,Judicial Retirement System,https://santaclara.courts.ca.gov/,,07/26/2022,Santa Clara,,False,
2021,Superior Court,Santa Clara County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,215574,225074,,217856,0,0,0,217856,0,0,0,39106,39106,Judicial Retirement System,https://santaclara.courts.ca.gov/,,07/26/2022,Santa Clara,,False,
2021,Superior Court,Santa Clara County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,215574,225074,,217856,0,0,0,217856,0,0,0,39106,39106,Judicial Retirement System,https://santaclara.courts.ca.gov/,,07/26/2022,Santa Clara,,False,
2021,Superior Court,Santa Clara County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,215574,225074,,217856,0,0,0,217856,0,0,0,39106,39106,Judicial Retirement System,https://santaclara.courts.ca.gov/,,07/26/2022,Santa Clara,,False,
2021,Superior Court,Santa Clara County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,215574,225074,,217855,0,0,0,217855,0,0,0,22453,22453,Judicial Retirement System,https://santaclara.courts.ca.gov/,,07/26/2022,Santa Clara,,False,
2021,Superior Court,Santa Clara County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,215574,225074,,217821,0,0,0,217821,0,0,0,38603,38603,Judicial Retirement System,https://santaclara.courts.ca.gov/,,07/26/2022,Santa Clara,,False,
2021,Superior Court,Santa Clara County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,215574,225074,,217780,0,0,0,217780,0,0,0,38727,38727,Judicial Retirement System,https://santaclara.courts.ca.gov/,,07/26/2022,Santa Clara,,False,
2021,Superior Court,Santa Clara County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,215574,225074,,215645,0,0,1924,217569,0,0,0,3378,3378,Judicial Retirement System,https://santaclara.courts.ca.gov/,,07/26/2022,Santa Clara,,False,
2021,Superior Court,Santa Clara County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,215574,225074,,217362,0,0,0,217362,0,0,0,39106,39106,Judicial Retirement System,https://santaclara.courts.ca.gov/,,07/26/2022,Santa Clara,,False,
2021,Superior Court,Santa Clara County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,215574,225074,,217164,0,0,0,217164,0,0,0,38761,38761,Judicial Retirement System,https://santaclara.courts.ca.gov/,,07/26/2022,Santa Clara,,False,
2021,Superior Court,Santa Clara County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,215574,225074,,216656,0,0,0,216656,0,0,0,39106,39106,Judicial Retirement System,https://santaclara.courts.ca.gov/,,07/26/2022,Santa Clara,,False,
2021,Superior Court,Santa Clara County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,215574,225074,,216182,0,0,0,216182,0,0,0,26697,26697,Judicial Retirement System,https://santaclara.courts.ca.gov/,,07/26/2022,Santa Clara,,False,
2021,Superior Court,Santa Clara County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,215574,225074,,216120,0,0,0,216120,0,0,0,37934,37934,Judicial Retirement System,https://santaclara.courts.ca.gov/,,07/26/2022,Santa Clara,,False,
2021,Superior Court,Santa Clara County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,215574,225074,,215998,0,0,0,215998,0,0,0,38727,38727,Judicial Retirement System,https://santaclara.courts.ca.gov/,,07/26/2022,Santa Clara,,False,
2021,Superior Court,Santa Clara County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,215574,225074,,215739,0,0,0,215739,0,0,0,37934,37934,Judicial Retirement System,https://santaclara.courts.ca.gov/,,07/26/2022,Santa Clara,,False,
2021,Superior Court,Santa Clara County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,215574,225074,,215348,0,0,0,215348,0,0,0,25690,25690,Judicial Retirement System,https://santaclara.courts.ca.gov/,,07/26/2022,Santa Clara,,False,
2021,Superior Court,Santa Clara County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,215574,225074,,215038,0,0,91,215129,0,0,0,39325,39325,Judicial Retirement System,https://santaclara.courts.ca.gov/,,07/26/2022,Santa Clara,,False,
2021,Superior Court,Santa Clara County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,215574,225074,,214977,0,0,0,214977,0,0,0,28320,28320,Judicial Retirement System,https://santaclara.courts.ca.gov/,,07/26/2022,Santa Clara,,False,
