Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2021,Superior Court,Santa Cruz County Superior Court,Executive Office,Executive Officer,False,True,,225757,225757,,218300,0,8683,7665,234648,19995,0,0,20844,40839,2% @ 55,www.santacruz.courts.ca.gov,,07/26/2022,Santa Cruz,,False,
2021,Superior Court,Santa Cruz County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,215574,225074,,213677,0,0,10805,224482,0,,,16112,16112,Judicial Retirement System,www.santacruz.courts.ca.gov,,07/26/2022,Santa Cruz,,False,
2021,Superior Court,Santa Cruz County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,215574,225074,,218811,0,0,0,218811,0,,,20703,20703,Judicial Retirement System,www.santacruz.courts.ca.gov,,07/26/2022,Santa Cruz,,False,
2021,Superior Court,Santa Cruz County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,215574,225074,,216254,0,0,0,216254,0,,,8343,8343,Judicial Retirement System,www.santacruz.courts.ca.gov,,07/26/2022,Santa Cruz,,False,
2021,Superior Court,Santa Cruz County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,215574,225074,,215219,0,0,0,215219,0,,,16112,16112,Judicial Retirement System,www.santacruz.courts.ca.gov,,07/26/2022,Santa Cruz,,False,
2021,Superior Court,Santa Cruz County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,215574,225074,,215187,0,0,0,215187,0,,,16112,16112,Judicial Retirement System,www.santacruz.courts.ca.gov,,07/26/2022,Santa Cruz,,False,
2021,Superior Court,Santa Cruz County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,215574,225074,,215177,0,0,0,215177,0,,,8343,8343,Judicial Retirement System,www.santacruz.courts.ca.gov,,07/26/2022,Santa Cruz,,False,
2021,Superior Court,Santa Cruz County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,215574,225074,,213360,0,0,0,213360,0,,,15988,15988,Judicial Retirement System,www.santacruz.courts.ca.gov,,07/26/2022,Santa Cruz,,False,
2021,Superior Court,Santa Cruz County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,215574,225074,,213319,0,0,0,213319,0,,,16112,16112,Judicial Retirement System,www.santacruz.courts.ca.gov,,07/26/2022,Santa Cruz,,False,
2021,Superior Court,Santa Cruz County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,215574,225074,,213137,0,0,0,213137,0,,,8343,8343,Judicial Retirement System,www.santacruz.courts.ca.gov,,07/26/2022,Santa Cruz,,False,
2021,Superior Court,Santa Cruz County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,215574,225074,,209371,0,0,0,209371,0,,,19206,19206,Judicial Retirement System,www.santacruz.courts.ca.gov,,07/26/2022,Santa Cruz,,False,
2021,Superior Court,Santa Cruz County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,215574,225074,,193124,0,0,-2071,191053,0,,,18893,18893,Judicial Retirement System,www.santacruz.courts.ca.gov,,07/26/2022,Santa Cruz,,False,
2021,Superior Court,Santa Cruz County Superior Court,Technology,Director It & Infrastructure,False,True,,134699,170437,,163144,0,0,10708,173852,14946,0,0,1752,16698,2% @ 55,www.santacruz.courts.ca.gov,,07/26/2022,Santa Cruz,,False,
2021,Superior Court,Santa Cruz County Superior Court,Watsonville Operations,Director Operations,False,True,,134699,170437,,161726,0,6273,5660,173659,14798,0,0,10522,25320,2% @ 55,www.santacruz.courts.ca.gov,,07/26/2022,Santa Cruz,,False,
2021,Superior Court,Santa Cruz County Superior Court,Finance,Director Of Finance & Hr,False,True,,134699,170437,,158039,0,10748,660,169447,11547,0,0,18835,30382,2% @ 62,www.santacruz.courts.ca.gov,,07/26/2022,Santa Cruz,,False,
2021,Superior Court,Santa Cruz County Superior Court,Santa Cruz Operations,Director Operations,False,True,,134699,170437,,156507,0,0,860,157367,14798,0,0,24701,39499,2% @ 55,www.santacruz.courts.ca.gov,,07/26/2022,Santa Cruz,,False,
2021,Superior Court,Santa Cruz County Superior Court,Attorneys,Judicial Attorney III,False,True,,122142,154548,,147932,0,0,8983,156915,13687,0,0,2584,16271,2% @ 55,www.santacruz.courts.ca.gov,,07/26/2022,Santa Cruz,,False,
2021,Superior Court,Santa Cruz County Superior Court,Technology Administration,Information Technology Manager,False,True,,105963,134082,,128320,0,0,660,128980,11641,0,0,10522,22163,2% @ 55,www.santacruz.courts.ca.gov,,07/26/2022,Santa Cruz,,False,
2021,Superior Court,Santa Cruz County Superior Court,Family Law Services,Family Court Services Director,False,True,,97030,122774,,117519,0,0,4260,121779,10660,0,0,1657,12317,2% @ 55,www.santacruz.courts.ca.gov,,07/26/2022,Santa Cruz,,False,
2021,Superior Court,Santa Cruz County Superior Court,Law Library,Law Librarian & Self Rep Litigant Coordinator,False,True,,105942,134051,,112185,0,7366,660,120211,10411,0,0,24587,34998,2% @ 55,www.santacruz.courts.ca.gov,,07/26/2022,Santa Cruz,,False,
2021,Superior Court,Santa Cruz County Superior Court,Self Help,Judicial Attorney II,False,True,,105942,134051,,112067,0,0,4911,116978,10264,0,0,1752,12016,2% @ 62,www.santacruz.courts.ca.gov,,07/26/2022,Santa Cruz,,False,
2021,Superior Court,Santa Cruz County Superior Court,Attorneys,Judicial Attorney II,False,True,,105942,134051,,111232,0,0,3600,114832,10087,0,0,1752,11839,2% @ 62,www.santacruz.courts.ca.gov,,07/26/2022,Santa Cruz,,False,
2021,Superior Court,Santa Cruz County Superior Court,Attorneys,Judicial Attorney II,False,True,,105942,134051,,114508,0,0,0,114508,11501,0,0,18835,30336,2% @ 62,www.santacruz.courts.ca.gov,,07/26/2022,Santa Cruz,,False,
2021,Superior Court,Santa Cruz County Superior Court,Santa Cruz Operations Services,Operations Manager,False,True,,97030,122754,,98752,0,9005,3713,111470,9413,0,0,18835,28248,2% @ 55,www.santacruz.courts.ca.gov,,07/26/2022,Santa Cruz,,False,
2021,Superior Court,Santa Cruz County Superior Court,Technology,Business Applications Analyst,False,True,,92444,116971,,109354,0,1076,0,110430,10156,0,0,24701,34857,2% @ 62,www.santacruz.courts.ca.gov,,07/26/2022,Santa Cruz,,False,
2021,Superior Court,Santa Cruz County Superior Court,Court Reporters,Court Reporter,False,True,,101629,114338,,104886,0,4046,0,108932,9517,0,0,19782,29299,2% @ 62,www.santacruz.courts.ca.gov,,07/26/2022,Santa Cruz,,False,
2021,Superior Court,Santa Cruz County Superior Court,Court Reporters,Court Reporter,False,True,,101629,114338,,104231,0,0,2146,106377,9828,0,0,18835,28663,2% @ 55,www.santacruz.courts.ca.gov,,07/26/2022,Santa Cruz,,False,
2021,Superior Court,Santa Cruz County Superior Court,Court Reporters,Court Reporter,False,True,,101629,114338,,105361,0,0,0,105361,9560,0,0,19782,29342,2% @ 62,www.santacruz.courts.ca.gov,,07/26/2022,Santa Cruz,,False,
2021,Superior Court,Santa Cruz County Superior Court,Human Resources,Human Resources Manager,False,True,,97030,122774,,101862,0,0,2760,104622,9476,0,0,24701,34177,2% @ 62,www.santacruz.courts.ca.gov,,07/26/2022,Santa Cruz,,False,
2021,Superior Court,Santa Cruz County Superior Court,Court Reporters,Court Reporter,False,True,,101629,114338,,104231,0,0,0,104231,9635,0,0,18835,28470,2% @ 62,www.santacruz.courts.ca.gov,,07/26/2022,Santa Cruz,,False,
2021,Superior Court,Santa Cruz County Superior Court,Family Law Services,Child Custody Recommending Counselor,False,True,,88185,111582,,104195,0,0,0,104195,9688,0,0,24701,34389,2% @ 55,www.santacruz.courts.ca.gov,,07/26/2022,Santa Cruz,,False,
2021,Superior Court,Santa Cruz County Superior Court,Watsonville Operations Services,Operations Manager,False,True,,97030,122754,,96891,0,0,6639,103530,8876,0,0,714,9590,2% @ 55,www.santacruz.courts.ca.gov,,07/26/2022,Santa Cruz,,False,
2021,Superior Court,Santa Cruz County Superior Court,Technology Administration,Systems Administrator,False,True,,80901,102350,,95071,0,7704,660,103435,8860,0,0,24701,33561,2% @ 55,www.santacruz.courts.ca.gov,,07/26/2022,Santa Cruz,,False,
2021,Superior Court,Santa Cruz County Superior Court,Interpreters,Interpreter,False,True,,76419,92893,,90546,0,0,10466,101012,8391,0,0,10522,18913,2% @ 55,www.santacruz.courts.ca.gov,,07/26/2022,Santa Cruz,,False,
2021,Superior Court,Santa Cruz County Superior Court,Family Law Services,Child Custody Recommending Counselor,False,True,,88185,111582,,100691,0,0,0,100691,9688,0,0,24701,34389,2% @ 55,www.santacruz.courts.ca.gov,,07/26/2022,Santa Cruz,,False,
2021,Superior Court,Santa Cruz County Superior Court,Interpreters,Interpreter,False,True,,76419,92893,,90546,0,0,10144,100690,8362,0,0,10522,18884,2% @ 55,www.santacruz.courts.ca.gov,,07/26/2022,Santa Cruz,,False,
2021,Superior Court,Santa Cruz County Superior Court,Technology,Infrastructure Administrator,False,True,,80901,102350,,95423,0,3937,1122,100482,8901,0,0,21317,30218,2% @ 55,www.santacruz.courts.ca.gov,,07/26/2022,Santa Cruz,,False,
2021,Superior Court,Santa Cruz County Superior Court,Court Reporters,Court Reporter,False,True,,101629,114338,,94396,0,0,4869,99265,9187,0,0,18835,28022,2% @ 55,www.santacruz.courts.ca.gov,,07/26/2022,Santa Cruz,,False,
2021,Superior Court,Santa Cruz County Superior Court,Finance,Senior Financial Analyst,False,True,,84355,106736,,95939,0,2393,0,98332,9240,0,0,24701,33941,2% @ 62,www.santacruz.courts.ca.gov,,07/26/2022,Santa Cruz,,False,
2021,Superior Court,Santa Cruz County Superior Court,Technology,Court Applications System Analyst,False,True,,80901,102350,,96134,0,984,1190,98308,8975,0,0,18149,27124,2% @ 55,www.santacruz.courts.ca.gov,,07/26/2022,Santa Cruz,,False,
2021,Superior Court,Santa Cruz County Superior Court,Interpreters,Interpreter,False,True,,30568,37157,,91929,0,0,5958,97887,8343,0,0,15051,23394,2% @ 55,www.santacruz.courts.ca.gov,,07/26/2022,Santa Cruz,,False,
2021,Superior Court,Santa Cruz County Superior Court,Interpreters,Interpreter,False,True,,76419,92893,,88566,0,0,7944,96510,8035,0,0,10522,18557,2% @ 62,www.santacruz.courts.ca.gov,,07/26/2022,Santa Cruz,,False,
2021,Superior Court,Santa Cruz County Superior Court,Executive Office,Commissioner,False,True,,202555,202555,,92705,0,0,0,92705,8881,0,0,23359,32240,2% @ 55,www.santacruz.courts.ca.gov,,07/26/2022,Santa Cruz,,False,
2021,Superior Court,Santa Cruz County Superior Court,Technology,Court Applications System Analyst,False,True,,80901,102350,,87577,0,3562,860,91999,8180,0,0,23663,31843,2% @ 55,www.santacruz.courts.ca.gov,,07/26/2022,Santa Cruz,,False,
2021,Superior Court,Santa Cruz County Superior Court,Family/Juvenile/Civil/Watsonville,Court Supervisor,False,True,,70038,88620,,82734,0,3322,4467,90523,8065,0,0,18835,26900,2% @ 55,www.santacruz.courts.ca.gov,,07/26/2022,Santa Cruz,,False,
2021,Superior Court,Santa Cruz County Superior Court,Criminal Calendars,Court Supervisor,False,True,,70038,88620,,81719,0,4892,2891,89502,7878,0,0,24701,32579,2% @ 55,www.santacruz.courts.ca.gov,,07/26/2022,Santa Cruz,,False,
2021,Superior Court,Santa Cruz County Superior Court,Court User Services,Court Supervisor,False,True,,70038,88620,,84827,0,0,4467,89294,7741,0,0,1752,9493,2% @ 55,www.santacruz.courts.ca.gov,,07/26/2022,Santa Cruz,,False,
2021,Superior Court,Santa Cruz County Superior Court,Santa Cruz Operations,Collaborative Courts Manager,False,True,,87930,111259,,76712,0,9927,1050,87689,7152,0,0,20499,27651,2% @ 62,www.santacruz.courts.ca.gov,,07/26/2022,Santa Cruz,,False,
2021,Superior Court,Santa Cruz County Superior Court,Courtroom Services,Court Supervisor,False,True,,70038,88620,,82445,0,3262,1189,86896,7736,0,0,18835,26571,2% @ 55,www.santacruz.courts.ca.gov,,07/26/2022,Santa Cruz,,False,
2021,Superior Court,Santa Cruz County Superior Court,Court Reporters,Court Reporter,False,True,,101629,114338,,82094,0,0,0,82094,7468,0,0,10522,17990,2% @ 62,www.santacruz.courts.ca.gov,,07/26/2022,Santa Cruz,,False,
2021,Superior Court,Santa Cruz County Superior Court,Collaborative Justice Program,Court Case Manager,False,True,,73014,92411,,77901,0,2632,1560,82093,7067,0,0,10522,17589,2% @ 62,www.santacruz.courts.ca.gov,,07/26/2022,Santa Cruz,,False,
2021,Superior Court,Santa Cruz County Superior Court,Courtroom/Traffic/Criminal/Watsonville,Courtroom Clerk III,False,True,,61838,78229,,74881,0,0,5772,80653,6987,0,0,1752,8739,2% @ 55,www.santacruz.courts.ca.gov,,07/26/2022,Santa Cruz,,False,
2021,Superior Court,Santa Cruz County Superior Court,Probate,Court Investigator,False,True,,66373,84011,,77802,0,0,1680,79482,7294,0,0,24701,31995,2% @ 55,www.santacruz.courts.ca.gov,,07/26/2022,Santa Cruz,,False,
