Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2015,Superior Court,Shasta County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,179541,189041,,188160,0,0,1818,189978,0,0,0,13901,13901,Judicial Retirement System,www.shasta.courts.ca.gov,,07/27/2016,Shasta,,,
2015,Superior Court,Shasta County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,179541,189041,,188424,0,0,338,188762,0,0,0,1804,1804,Judicial Retirement System,www.shasta.courts.ca.gov,,07/27/2016,Shasta,,,
2015,Superior Court,Shasta County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,179541,189041,,188128,0,0,338,188466,0,0,0,2299,2299,Judicial Retirement System,www.shasta.courts.ca.gov,,07/27/2016,Shasta,,,
2015,Superior Court,Shasta County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,179541,189041,,184488,0,0,338,184826,0,0,0,14202,14202,Judicial Retirement System,www.shasta.courts.ca.gov,,07/27/2016,Shasta,,,
2015,Superior Court,Shasta County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,179541,189041,,184412,0,0,338,184750,0,0,0,17262,17262,Judicial Retirement System,www.shasta.courts.ca.gov,,07/27/2016,Shasta,,,
2015,Superior Court,Shasta County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,179541,189041,,183651,0,0,338,183989,0,0,0,18200,18200,Judicial Retirement System,www.shasta.courts.ca.gov,,07/27/2016,Shasta,,,
2015,Superior Court,Shasta County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,179541,189041,,183634,0,0,338,183972,0,0,0,14899,14899,Judicial Retirement System,www.shasta.courts.ca.gov,,07/27/2016,Shasta,,,
2015,Superior Court,Shasta County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,179541,189041,,183222,0,0,338,183560,0,0,0,18382,18382,Judicial Retirement System,www.shasta.courts.ca.gov,,07/27/2016,Shasta,,,
2015,Superior Court,Shasta County Superior Court,Administration,Court Exec Officer/Clerk Of Court,False,True,,178225,178225,,163431,,,15765,179196,26049,10444,9000,10520,56013,2% @ 55,www.shasta.courts.ca.gov,,07/27/2016,Shasta,,,
2015,Superior Court,Shasta County Superior Court,Commissioner,Court Commissioner,False,True,,178561,178561,,167162,,,3800,170962,25763,8454,0,182,34399,2% @ 55,www.shasta.courts.ca.gov,,07/27/2016,Shasta,,,
2015,Superior Court,Shasta County Superior Court,Commissioner,Court Commissioner,False,True,,178561,178561,,165651,,,3800,169451,25763,8454,0,804,35021,2% @ 62,www.shasta.courts.ca.gov,,07/27/2016,Shasta,,,
2015,Superior Court,Shasta County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,179541,189041,,167599,0,0,288,167887,0,0,0,12852,12852,Judicial Retirement System,www.shasta.courts.ca.gov,,07/27/2016,Shasta,,,
2015,Superior Court,Shasta County Superior Court,Administration,Assistant Court Exec Off/Clerk Of Court,False,True,,120815,154199,,148431,,,5634,154065,8885,0,1738,3996,14619,2% @ 55,www.shasta.courts.ca.gov,,07/27/2016,Shasta,,,
2015,Superior Court,Shasta County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,179541,189041,,151116,0,0,263,151379,0,0,0,6567,6567,Judicial Retirement System,www.shasta.courts.ca.gov,,07/27/2016,Shasta,,,
2015,Superior Court,Shasta County Superior Court,Court Information Technology,Court Technology Officer,False,True,,84190,107456,,101513,,,47969,149482,21775,0,9000,8234,39009,2% @ 55,www.shasta.courts.ca.gov,,07/27/2016,Shasta,,,
2015,Superior Court,Shasta County Superior Court,Criminal/Traffic,Court Services Manager,False,True,,84190,107456,,103365,,,17702,121067,16981,0,9000,7934,33915,2% @ 55,www.shasta.courts.ca.gov,,07/27/2016,Shasta,,,
2015,Superior Court,Shasta County Superior Court,Family Court Services,Probate/Family Ct Services Manager,False,True,,84190,107456,,95291,,,18393,113684,17393,0,9000,13557,39950,2% @ 55,www.shasta.courts.ca.gov,,07/27/2016,Shasta,,,
2015,Superior Court,Shasta County Superior Court,Legal Division,General Counsel,False,True,,113375,144703,,100013,,,5643,105656,17881,0,1096,13557,32534,2% @ 55,www.shasta.courts.ca.gov,,07/27/2016,Shasta,,,
2015,Superior Court,Shasta County Superior Court,Marshal Office,Marshal,False,True,,77486,98895,,86652,,,13551,100203,44026,0,0,13557,57583,3% @ 50,www.shasta.courts.ca.gov,,07/27/2016,Shasta,,,
2015,Superior Court,Shasta County Superior Court,Civil,Court Administrative Manager,False,True,,84190,107456,,91402,,,4060,95462,16157,0,0,13283,29440,2% @ 55,www.shasta.courts.ca.gov,,07/27/2016,Shasta,,,
2015,Superior Court,Shasta County Superior Court,Court Information Technology,Court Technology Officer,False,True,,84190,107456,,87147,,,3820,90967,13408,0,0,504,13912,2% @ 55,www.shasta.courts.ca.gov,,07/27/2016,Shasta,,,
2015,Superior Court,Shasta County Superior Court,Finance,Chief Financial Officer,False,True,,84190,107456,,83274,,,5895,89169,13371,0,4500,8088,25959,2% @ 55,www.shasta.courts.ca.gov,,07/27/2016,Shasta,,,
2015,Superior Court,Shasta County Superior Court,Court Information Technology,Court Technology Analyst,False,True,,69598,88826,,86421,,,2263,88684,13408,0,0,8088,21496,2% @ 55,www.shasta.courts.ca.gov,,07/27/2016,Shasta,,,
2015,Superior Court,Shasta County Superior Court,Legal Division,Research Attorney III,False,True,,85025,108515,,85667,,,100,85767,14149,0,0,13265,27414,2% @ 62,www.shasta.courts.ca.gov,,07/27/2016,Shasta,,,
2015,Superior Court,Shasta County Superior Court,Court Information Technology,Court Technology Analyst,False,True,,69598,88826,,83993,843,,,84836,13408,0,0,7934,21342,2% @ 60,www.shasta.courts.ca.gov,,07/27/2016,Shasta,,,
2015,Superior Court,Shasta County Superior Court,Court Information Technology,Court Technology Analyst,False,True,,69598,88826,,77173,1626,,823,79622,13408,0,0,13557,26965,2% @ 55,www.shasta.courts.ca.gov,,07/27/2016,Shasta,,,
2015,Superior Court,Shasta County Superior Court,Court Information Technology,Court Technology Analyst,False,True,,69598,88826,,76354,,,823,77177,13408,0,0,13557,26965,2% @ 55,www.shasta.courts.ca.gov,,07/27/2016,Shasta,,,
2015,Superior Court,Shasta County Superior Court,Marshal Office,Marshal'S Sergeant,False,True,,59255,75617,,65940,1130,,8818,75888,29218,0,0,0,29218,3% @ 55,www.shasta.courts.ca.gov,,07/27/2016,Shasta,,,
2015,Superior Court,Shasta County Superior Court,Marshal Office,Marshal'S Sergeant,False,True,,59255,75617,,64897,3613,,6798,75308,32746,0,0,13539,46285,3% @ 50,www.shasta.courts.ca.gov,,07/27/2016,Shasta,,,
2015,Superior Court,Shasta County Superior Court,Collections,Court Services Manager,False,True,,84190,107456,,73067,,,475,73542,11520,0,0,8088,19608,2% @ 55,www.shasta.courts.ca.gov,,07/27/2016,Shasta,,,
2015,Superior Court,Shasta County Superior Court,Court Reporters,Supervising Court Reporter,False,True,,62819,80178,,68166,33,,3982,72181,12713,0,0,13557,26270,2% @ 55,www.shasta.courts.ca.gov,,07/27/2016,Shasta,,,
2015,Superior Court,Shasta County Superior Court,Court Reporters,Court Reporter,False,True,,56987,72726,,69069,,,1828,70897,11252,0,0,7934,19186,2% @ 55,www.shasta.courts.ca.gov,,07/27/2016,Shasta,,,
2015,Superior Court,Shasta County Superior Court,Marshal Office,Deputy Marshal,False,True,,52438,66931,,61042,2042,,5880,68964,29390,0,0,18078,47468,3% @ 50,www.shasta.courts.ca.gov,,07/27/2016,Shasta,,,
2015,Superior Court,Shasta County Superior Court,Family Court Services,Child Cust Recommend Counselor,False,True,,55878,71317,,67814,,,,67814,10764,0,0,7934,18698,2% @ 55,www.shasta.courts.ca.gov,,07/27/2016,Shasta,,,
