Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2018,Superior Court,Sierra County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,197924,207424,,203816,0,0,0,203816,0,,,15389,15389,Judicial Retirement System,https://www.sierra.courts.ca.gov/general-information/employment,,09/24/2019,Sierra,,False,
2018,Superior Court,Sierra County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,197924,207424,,200558,0,0,0,200558,0,,,19827,19827,Judicial Retirement System,https://www.sierra.courts.ca.gov/general-information/employment,,09/24/2019,Sierra,,False,
2018,Superior Court,Sierra County Superior Court,Administration,Court Executive Officer,False,True,,104323,126805,,76693,,,,76693,9214,,,15448,24662,2.7% at 55,https://www.sierra.courts.ca.gov/general-information/employment,,09/24/2019,Sierra,,False,
2018,Superior Court,Sierra County Superior Court,Administration,Court Executive Officer,False,True,,104323,126805,,70505,,,,70505,7699,,,5935,13634,2.7% at 55,https://www.sierra.courts.ca.gov/general-information/employment,,09/24/2019,Sierra,,False,
2018,Superior Court,Sierra County Superior Court,Court Service,Administrative Assistant,False,True,,48988,72378,,56253,,,,56253,6721,,,15448,22169,2.7% at 55,https://www.sierra.courts.ca.gov/general-information/employment,,09/24/2019,Sierra,,False,
2018,Superior Court,Sierra County Superior Court,Court Service,Supervising Clerk,False,True,,53667,79291,,46309,,,,46309,5488,,,14730,20218,2.7% at 55,https://www.sierra.courts.ca.gov/general-information/employment,,09/24/2019,Sierra,,False,
2018,Superior Court,Sierra County Superior Court,Court Service,Court Clerk 2,False,True,,37093,54804,,40079,,,,40079,2682,,,14058,16740,2% at 62,https://www.sierra.courts.ca.gov/general-information/employment,,09/24/2019,Sierra,,False,
2018,Superior Court,Sierra County Superior Court,Court Service,Court Clerk I,False,True,,30906,45662,,18059,,,,18059,1228,,,11725,12953,2% at 62,https://www.sierra.courts.ca.gov/general-information/employment,,09/24/2019,Sierra,,False,
2018,Superior Court,Sierra County Superior Court,Court Service,Court Clerk 2,False,True,,37093,54804,,3007,,,,3007,324,,,,324,2% at 62,https://www.sierra.courts.ca.gov/general-information/employment,,09/24/2019,Sierra,,False,

