Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2022,Superior Court,Siskiyou County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,221674,231174,,226859,0,0,1080,227939,0,0,0,16678,16678,Judicial Retirement System,https://www.siskiyou.courts.ca.gov/general-information/employment,,07/25/2023,Siskiyou,,False,
2022,Superior Court,Siskiyou County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,221674,231174,,203010,0,23570,1043,227623,6605,0,565,22207,29377,Judicial Retirement System,https://www.siskiyou.courts.ca.gov/general-information/employment,,07/25/2023,Siskiyou,,False,
2022,Superior Court,Siskiyou County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,221674,231174,,219685,0,0,1080,220765,0,0,0,17173,17173,Judicial Retirement System,https://www.siskiyou.courts.ca.gov/general-information/employment,,07/25/2023,Siskiyou,,False,
2022,Superior Court,Siskiyou County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,221674,231174,,217489,0,0,1080,218569,0,0,0,22079,22079,Judicial Retirement System,https://www.siskiyou.courts.ca.gov/general-information/employment,,07/25/2023,Siskiyou,,False,
2022,Superior Court,Siskiyou County Superior Court,Executive,Court Executive Officer,False,True,,178014,178014,,170634,0,3423,1380,175437,24223,0,2100,24265,50588,2% @ 55,https://www.siskiyou.courts.ca.gov/general-information/employment,,07/25/2023,Siskiyou,,False,
2022,Superior Court,Siskiyou County Superior Court,Fl Facilitator,Family Law Facilitator,False,True,,89671,109011,,105436,0,0,2500,107936,15038,0,360,31192,46590,2% @ 55,https://www.siskiyou.courts.ca.gov/general-information/employment,,07/25/2023,Siskiyou,,False,
2022,Superior Court,Siskiyou County Superior Court,Information Technology,Court Information Officer,False,True,,84498,102707,,98859,0,0,2700,101559,13831,0,1200,12181,27212,2% @ 62,https://www.siskiyou.courts.ca.gov/general-information/employment,,07/25/2023,Siskiyou,,False,
2022,Superior Court,Siskiyou County Superior Court,Finance,Court Fiscal Manager,False,True,,68101,82775,,78471,0,0,10977,89448,12560,0,1200,31192,44952,2% @ 55,https://www.siskiyou.courts.ca.gov/general-information/employment,,07/25/2023,Siskiyou,,False,
2022,Superior Court,Siskiyou County Superior Court,Criminal,Operations Manager,False,True,,68101,82775,,74151,0,1365,8796,84312,10721,0,2622,1080,14423,2% @ 55,https://www.siskiyou.courts.ca.gov/general-information/employment,,07/25/2023,Siskiyou,,False,
2022,Superior Court,Siskiyou County Superior Court,Civil,Operations Manager,False,True,,68101,82775,,72902,0,0,6650,79552,11444,0,1200,31192,43836,2% @ 55,https://www.siskiyou.courts.ca.gov/general-information/employment,,07/25/2023,Siskiyou,,False,
2022,Superior Court,Siskiyou County Superior Court,Fl Facilitator,Child Custody Recommending Counselor,False,True,,61271,74488,,72275,0,0,6700,78975,10276,0,360,1176,11812,2% @ 55,https://www.siskiyou.courts.ca.gov/general-information/employment,,07/25/2023,Siskiyou,,False,
