Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2017,Superior Court,Solano County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,190542,200042,,202095,0,0,10566,212661,0,0,0,11205,11205,Judicial Retirement System,www.solano.courts.ca.gov/employment/,,07/31/2018,Solano,,False,
2017,Superior Court,Solano County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,190542,200042,,196942,0,0,9750,206692,0,0,0,1955,1955,Judicial Retirement System,www.solano.courts.ca.gov/employment/,,07/31/2018,Solano,,False,
2017,Superior Court,Solano County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,190542,200042,,194205,0,0,9750,203955,0,0,0,8423,8423,Judicial Retirement System,www.solano.courts.ca.gov/employment/,,07/31/2018,Solano,,False,
2017,Superior Court,Solano County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,190542,200042,,193734,0,0,9687,203421,0,0,0,9380,9380,Judicial Retirement System,www.solano.courts.ca.gov/employment/,,07/31/2018,Solano,,False,
2017,Superior Court,Solano County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,190542,200042,,193288,0,0,9750,203038,0,0,0,16472,16472,Judicial Retirement System,www.solano.courts.ca.gov/employment/,,07/31/2018,Solano,,False,
2017,Superior Court,Solano County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,190542,200042,,192694,0,0,10134,202828,0,0,0,19575,19575,Judicial Retirement System,www.solano.courts.ca.gov/employment/,,07/31/2018,Solano,,False,
2017,Superior Court,Solano County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,190542,200042,,192273,0,0,10134,202407,0,0,0,16947,16947,Judicial Retirement System,www.solano.courts.ca.gov/employment/,,07/31/2018,Solano,,False,
2017,Superior Court,Solano County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,190542,200042,,192580,0,0,9750,202330,0,0,0,16022,16022,Judicial Retirement System,www.solano.courts.ca.gov/employment/,,07/31/2018,Solano,,False,
2017,Superior Court,Solano County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,190542,200042,,192277,0,0,9689,201966,0,0,0,19980,19980,Judicial Retirement System,www.solano.courts.ca.gov/employment/,,07/31/2018,Solano,,False,
2017,Superior Court,Solano County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,190542,200042,,191810,0,0,10134,201944,0,0,0,16022,16022,Judicial Retirement System,www.solano.courts.ca.gov/employment/,,07/31/2018,Solano,,False,
2017,Superior Court,Solano County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,190542,200042,,192066,0,0,9750,201816,0,0,0,20897,20897,Judicial Retirement System,www.solano.courts.ca.gov/employment/,,07/31/2018,Solano,,False,
2017,Superior Court,Solano County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,190542,200042,,192060,0,0,9750,201810,0,0,0,9230,9230,Judicial Retirement System,www.solano.courts.ca.gov/employment/,,07/31/2018,Solano,,False,
