Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2023,Superior Court,Sonoma County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,228979,238479,,233364,0,0,0,233364,0,,,1816,1816,Judicial Retirement System,https://sonoma.courts.ca.gov/general-information/careers,,08/06/2024,Sonoma,,False,
2023,Superior Court,Sonoma County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,228979,238479,,233084,0,0,0,233084,0,,,1524,1524,Judicial Retirement System,https://sonoma.courts.ca.gov/general-information/careers,,08/06/2024,Sonoma,,False,
2023,Superior Court,Sonoma County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,228979,238479,,231546,0,0,0,231546,0,,,18600,18600,Judicial Retirement System,https://sonoma.courts.ca.gov/general-information/careers,,08/06/2024,Sonoma,,False,
2023,Superior Court,Sonoma County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,228979,238479,,230134,0,0,0,230134,0,,,18221,18221,Judicial Retirement System,https://sonoma.courts.ca.gov/general-information/careers,,08/06/2024,Sonoma,,False,
2023,Superior Court,Sonoma County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,228979,238479,,229976,0,0,0,229976,0,,,9396,9396,Judicial Retirement System,https://sonoma.courts.ca.gov/general-information/careers,,08/06/2024,Sonoma,,False,
2023,Superior Court,Sonoma County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,228979,238479,,229829,0,0,0,229829,0,,,10143,10143,Judicial Retirement System,https://sonoma.courts.ca.gov/general-information/careers,,08/06/2024,Sonoma,,False,
2023,Superior Court,Sonoma County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,228979,238479,,228284,0,0,0,228284,0,,,17760,17760,Judicial Retirement System,https://sonoma.courts.ca.gov/general-information/careers,,08/06/2024,Sonoma,,False,
2023,Superior Court,Sonoma County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,228979,238479,,228056,0,0,0,228056,0,,,18221,18221,Judicial Retirement System,https://sonoma.courts.ca.gov/general-information/careers,,08/06/2024,Sonoma,,False,
2023,Superior Court,Sonoma County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,228979,238479,,228056,0,0,0,228056,0,,,18221,18221,Judicial Retirement System,https://sonoma.courts.ca.gov/general-information/careers,,08/06/2024,Sonoma,,False,
2023,Superior Court,Sonoma County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,228979,238479,,227930,0,0,0,227930,0,,,18600,18600,Judicial Retirement System,https://sonoma.courts.ca.gov/general-information/careers,,08/06/2024,Sonoma,,False,
2023,Superior Court,Sonoma County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,228979,238479,,227303,0,0,0,227303,0,,,9396,9396,Judicial Retirement System,https://sonoma.courts.ca.gov/general-information/careers,,08/06/2024,Sonoma,,False,
2023,Superior Court,Sonoma County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,228979,238479,,226597,0,0,0,226597,0,,,23283,23283,Judicial Retirement System,https://sonoma.courts.ca.gov/general-information/careers,,08/06/2024,Sonoma,,False,
2023,Superior Court,Sonoma County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,228979,238479,,226270,0,0,0,226270,0,,,23283,23283,Judicial Retirement System,https://sonoma.courts.ca.gov/general-information/careers,,08/06/2024,Sonoma,,False,
2023,Superior Court,Sonoma County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,228979,238479,,225482,0,0,0,225482,0,,,23376,23376,Judicial Retirement System,https://sonoma.courts.ca.gov/general-information/careers,,08/06/2024,Sonoma,,False,
2023,Superior Court,Sonoma County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,228979,238479,,222548,0,0,0,222548,0,,,18097,18097,Judicial Retirement System,https://sonoma.courts.ca.gov/general-information/careers,,08/06/2024,Sonoma,,False,
2023,Superior Court,Sonoma County Superior Court,Executive Office,Court Executive Officer,False,True,,224720,224720,,216158,0,3500,1080,220738,72626,,9738,30746,113110,3% @ 60,https://sonoma.courts.ca.gov/general-information/careers,,08/06/2024,Sonoma,,False,
