Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2016,Superior Court,Stanislaus County Superior Court,Executive,Executive Officer/Jury Commissioner,False,True,,155900,189498,,163790,0,32494,6615,202899,37225,0,3303,22424,62952,2% @ 55,www.stanct.org/human-resources,,07/25/2017,Stanislaus,,,
2016,Superior Court,Stanislaus County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,182112,191612,,196031,0,0,0,196031,0,,,7753,7753,Judicial Retirement System,www.stanct.org/human-resources,,07/25/2017,Stanislaus,,,
2016,Superior Court,Stanislaus County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,182112,191612,,190256,0,0,0,190256,0,,,268,268,Judicial Retirement System,www.stanct.org/human-resources,,07/25/2017,Stanislaus,,,
2016,Superior Court,Stanislaus County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,182112,191612,,188533,0,0,0,188533,0,,,7753,7753,Judicial Retirement System,www.stanct.org/human-resources,,07/25/2017,Stanislaus,,,
2016,Superior Court,Stanislaus County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,182112,191612,,188532,0,0,0,188532,0,,,14996,14996,Judicial Retirement System,www.stanct.org/human-resources,,07/25/2017,Stanislaus,,,
2016,Superior Court,Stanislaus County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,182112,191612,,187912,0,0,0,187912,0,,,7753,7753,Judicial Retirement System,www.stanct.org/human-resources,,07/25/2017,Stanislaus,,,
2016,Superior Court,Stanislaus County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,182112,191612,,187881,0,0,0,187881,0,,,14996,14996,Judicial Retirement System,www.stanct.org/human-resources,,07/25/2017,Stanislaus,,,
2016,Superior Court,Stanislaus County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,182112,191612,,187976,0,0,-170,187806,0,,,7753,7753,Judicial Retirement System,www.stanct.org/human-resources,,07/25/2017,Stanislaus,,,
2016,Superior Court,Stanislaus County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,182112,191612,,187709,0,0,0,187709,0,,,14875,14875,Judicial Retirement System,www.stanct.org/human-resources,,07/25/2017,Stanislaus,,,
2016,Superior Court,Stanislaus County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,182112,191612,,186586,0,0,0,186586,0,,,14996,14996,Judicial Retirement System,www.stanct.org/human-resources,,07/25/2017,Stanislaus,,,
2016,Superior Court,Stanislaus County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,182112,191612,,186414,0,0,0,186414,0,,,14875,14875,Judicial Retirement System,www.stanct.org/human-resources,,07/25/2017,Stanislaus,,,
2016,Superior Court,Stanislaus County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,182112,191612,,186856,0,0,-481,186375,0,,,17508,17508,Judicial Retirement System,www.stanct.org/human-resources,,07/25/2017,Stanislaus,,,
2016,Superior Court,Stanislaus County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,182112,191612,,186374,0,0,0,186374,0,,,14996,14996,Judicial Retirement System,www.stanct.org/human-resources,,07/25/2017,Stanislaus,,,
2016,Superior Court,Stanislaus County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,182112,191612,,185698,0,0,0,185698,0,,,18343,18343,Judicial Retirement System,www.stanct.org/human-resources,,07/25/2017,Stanislaus,,,
2016,Superior Court,Stanislaus County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,182112,191612,,185581,0,0,0,185581,0,,,14224,14224,Judicial Retirement System,www.stanct.org/human-resources,,07/25/2017,Stanislaus,,,
2016,Superior Court,Stanislaus County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,182112,191612,,185344,0,0,0,185344,0,,,14996,14996,Judicial Retirement System,www.stanct.org/human-resources,,07/25/2017,Stanislaus,,,
2016,Superior Court,Stanislaus County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,182112,191612,,183982,0,0,0,183982,0,,,19458,19458,Judicial Retirement System,www.stanct.org/human-resources,,07/25/2017,Stanislaus,,,
2016,Superior Court,Stanislaus County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,182112,191612,,183817,0,0,0,183817,0,,,19368,19368,Judicial Retirement System,www.stanct.org/human-resources,,07/25/2017,Stanislaus,,,
2016,Superior Court,Stanislaus County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,182112,191612,,183445,0,0,0,183445,0,,,19458,19458,Judicial Retirement System,www.stanct.org/human-resources,,07/25/2017,Stanislaus,,,
2016,Superior Court,Stanislaus County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,182112,191612,,182787,0,0,0,182787,0,,,19458,19458,Judicial Retirement System,www.stanct.org/human-resources,,07/25/2017,Stanislaus,,,
2016,Superior Court,Stanislaus County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,182112,191612,,182245,0,0,0,182245,0,,,19458,19458,Judicial Retirement System,www.stanct.org/human-resources,,07/25/2017,Stanislaus,,,
2016,Superior Court,Stanislaus County Superior Court,Commissioners,Commissioner,False,True,,162870,162870,,161744,0,0,7900,169644,36687,0,2465,0,39152,2% @ 55,www.stanct.org/human-resources,,07/25/2017,Stanislaus,,,
2016,Superior Court,Stanislaus County Superior Court,Commissioners,Commissioner,False,True,,162870,162870,,161744,0,0,3821,165565,36225,0,2434,9465,48124,2% @ 55,www.stanct.org/human-resources,,07/25/2017,Stanislaus,,,
2016,Superior Court,Stanislaus County Superior Court,Research Attorneys,Research Attorney,False,True,,95001,123392,,140198,0,14703,6653,161554,34692,0,2160,18907,55759,2% @ 55,www.stanct.org/human-resources,,07/25/2017,Stanislaus,,,
2016,Superior Court,Stanislaus County Superior Court,Commissioners,Commissioner,False,True,,162870,162870,,158801,0,0,2652,161453,36108,0,2426,22424,60958,2% @ 55,www.stanct.org/human-resources,,07/25/2017,Stanislaus,,,
2016,Superior Court,Stanislaus County Superior Court,Self Help,Self Help Attorney,False,True,,95839,143758,,140354,0,0,3789,144143,31645,0,2114,18907,52666,2% @ 55,www.stanct.org/human-resources,,07/25/2017,Stanislaus,,,
2016,Superior Court,Stanislaus County Superior Court,Executive,Asst. Executive Officer/Jury Commissioner,False,True,,113501,147421,,123197,0,0,5394,128591,28561,0,2521,9345,40427,2% @ 55,www.stanct.org/human-resources,,07/25/2017,Stanislaus,,,
2016,Superior Court,Stanislaus County Superior Court,Human Resources,Director Of Human Resources,False,True,,78562,117796,,109857,0,0,4318,114175,26113,0,1737,23983,51833,2% @ 55,www.stanct.org/human-resources,,07/25/2017,Stanislaus,,,
2016,Superior Court,Stanislaus County Superior Court,Research Attorneys,Research Attorney,False,True,,95001,123392,,106614,0,0,2203,108817,20355,0,1605,20849,42809,2% @ 62,www.stanct.org/human-resources,,07/25/2017,Stanislaus,,,
2016,Superior Court,Stanislaus County Superior Court,Family Court Services,Director Of Family & Children Servs,False,True,,81135,105382,,100220,0,0,2301,102521,22504,0,1512,18907,42923,2% @ 55,www.stanct.org/human-resources,,07/25/2017,Stanislaus,,,
2016,Superior Court,Stanislaus County Superior Court,Technology,It Manager,False,True,,80104,102286,,96629,0,0,3730,100359,22554,0,1498,22424,46476,2% @ 55,www.stanct.org/human-resources,,07/25/2017,Stanislaus,,,
2016,Superior Court,Stanislaus County Superior Court,Research Attorneys,Research Attorney,False,True,,95001,123392,,97390,0,0,2460,99850,18514,0,1468,25018,45000,2% @ 62,www.stanct.org/human-resources,,07/25/2017,Stanislaus,,,
