Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2015,Superior Court,Sutter County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,179541,189041,,185497,0,0,0,185497,0,0,0,2924,2924,Judicial Retirement System,www.sutter.courts.ca.gov,,07/26/2016,Sutter,,,
2015,Superior Court,Sutter County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,179541,189041,,185491,0,0,0,185491,0,0,0,14020,14020,Judicial Retirement System,www.sutter.courts.ca.gov,,07/26/2016,Sutter,,,
2015,Superior Court,Sutter County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,179541,189041,,183169,0,0,0,183169,0,0,0,13901,13901,Judicial Retirement System,www.sutter.courts.ca.gov,,07/26/2016,Sutter,,,
2015,Superior Court,Sutter County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,179541,189041,,183101,0,0,0,183101,0,0,0,14020,14020,Judicial Retirement System,www.sutter.courts.ca.gov,,07/26/2016,Sutter,,,
2015,Superior Court,Sutter County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,179541,189041,,182321,0,0,0,182321,0,0,0,13901,13901,Judicial Retirement System,www.sutter.courts.ca.gov,,07/26/2016,Sutter,,,
2015,Superior Court,Sutter County Superior Court,Sutter Superior Court,Court Executive Officer,False,True,,160684,160684,,164833,,,2700,167533,35273,3771,8372,8445,55861,2.7%@55,www.sutter.courts.ca.gov,,07/26/2016,Sutter,,,
2015,Superior Court,Sutter County Superior Court,Sutter Superior Court,Asst. Ceo,False,True,,81776,109908,,102203,,,16264,118467,22343,2333,3205,282,28163,2.7%@55,www.sutter.courts.ca.gov,,07/26/2016,Sutter,,,
2015,Superior Court,Sutter County Superior Court,Sutter Superior Court,Research Attorney,False,True,,85671,115142,,108594,,,2700,111294,22903,2425,3291,17280,45899,2.7%@55,www.sutter.courts.ca.gov,,07/26/2016,Sutter,,,
2015,Superior Court,Sutter County Superior Court,Sutter Superior Court,Director Court Operations,False,True,,69974,94406,,93744,,,9023,102767,19713,2082,2836,282,24913,2.7%@55,www.sutter.courts.ca.gov,,07/26/2016,Sutter,,,
2015,Superior Court,Sutter County Superior Court,Sutter Superior Court,It Manager,False,True,,68897,92383,,88149,,,6760,94909,18365,1937,2655,276,23233,2.7%@55,www.sutter.courts.ca.gov,,07/26/2016,Sutter,,,
2015,Superior Court,Sutter County Superior Court,Sutter Superior Court,Fiscal Services Manager,False,True,,63612,85824,,78465,,,2700,81165,17070,1798,2473,17280,38621,2.7%@55,www.sutter.courts.ca.gov,,07/26/2016,Sutter,,,
2015,Superior Court,Sutter County Superior Court,Sutter Superior Court,Court Interpreter,False,True,,71688,76059,,73249,,,,73249,16650,1760,,17664,36074,2.7%@55,www.sutter.courts.ca.gov,,07/26/2016,Sutter,,,
2015,Superior Court,Sutter County Superior Court,Sutter Superior Court,Family Court Mediator/Investigator II,False,True,,57884,78428,,71966,,,,71966,15615,1639,,17664,34918,2.7%@55,www.sutter.courts.ca.gov,,07/26/2016,Sutter,,,
2015,Superior Court,Sutter County Superior Court,Sutter Superior Court,Court Services Supervisor,False,True,,52120,71419,,67777,,,,67777,15285,1566,,13236,30087,2.7%@55,www.sutter.courts.ca.gov,,07/26/2016,Sutter,,,
2015,Superior Court,Sutter County Superior Court,Sutter Superior Court,Family Court Mediator/Investigator,False,True,,55128,74693,,65295,,,,65295,14182,1487,,8019,23688,2.7%@55,www.sutter.courts.ca.gov,,07/26/2016,Sutter,,,
2015,Superior Court,Sutter County Superior Court,Sutter Superior Court,Court Services Supervisor,False,True,,52120,71419,,60691,,,,60691,14205,1490,,13236,28931,2.7%@55,www.sutter.courts.ca.gov,,07/26/2016,Sutter,,,
2015,Superior Court,Sutter County Superior Court,Sutter Superior Court,Court Services Supervisor,False,True,,52120,71419,,57605,,,,57605,13651,1424,,13236,28311,2.7%@55,www.sutter.courts.ca.gov,,07/26/2016,Sutter,,,
2015,Superior Court,Sutter County Superior Court,Sutter Superior Court,Court Clerk IV,False,True,,41202,55925,,55676,1753,,,57429,11682,1218,,1907,14807,2.7%@55,www.sutter.courts.ca.gov,,07/26/2016,Sutter,,,
2015,Superior Court,Sutter County Superior Court,Sutter Superior Court,Court Clerk IV,False,True,,41202,55925,,55177,1055,,,56232,11679,1218,,8000,20897,2.7%@55,www.sutter.courts.ca.gov,,07/26/2016,Sutter,,,
2015,Superior Court,Sutter County Superior Court,Sutter Superior Court,Court Clerk IV,False,True,,41202,55925,,51037,2638,,1250,54925,11947,1247,,17664,30858,2.7%@55,www.sutter.courts.ca.gov,,07/26/2016,Sutter,,,
2015,Superior Court,Sutter County Superior Court,Sutter Superior Court,Court Clerk III,False,True,,36952,50725,,50268,2769,,,53037,10856,1101,,8359,20316,2.7%@55,www.sutter.courts.ca.gov,,07/26/2016,Sutter,,,
2015,Superior Court,Sutter County Superior Court,Sutter Superior Court,Court Clerk III,False,True,,36952,50725,,49887,2410,,,52297,10856,1101,,8000,19957,2.7%@55,www.sutter.courts.ca.gov,,07/26/2016,Sutter,,,
2015,Superior Court,Sutter County Superior Court,Sutter Superior Court,Building Services Coordinator,False,True,,42331,58379,,52008,154,,,52162,11282,1172,,17664,30118,2.7%@55,www.sutter.courts.ca.gov,,07/26/2016,Sutter,,,
2015,Superior Court,Sutter County Superior Court,Sutter Superior Court,Court Clerk III,False,True,,36952,50725,,46741,1490,,1250,49481,10233,1062,,13184,24479,2.7%@55,www.sutter.courts.ca.gov,,07/26/2016,Sutter,,,
2015,Superior Court,Sutter County Superior Court,Sutter Superior Court,Court Clerk III,False,True,,36952,50725,,48723,513,,,49236,10521,1093,,13311,24925,2.7%@55,www.sutter.courts.ca.gov,,07/26/2016,Sutter,,,
2015,Superior Court,Sutter County Superior Court,Sutter Superior Court,Family Court Mediator/Investigator,False,True,,55128,74693,,49216,,,,49216,11345,1212,,13165,25722,2%@60,www.sutter.courts.ca.gov,,07/26/2016,Sutter,,,
2015,Superior Court,Sutter County Superior Court,Sutter Superior Court,Court Services Analyst,False,True,,46682,63363,,45709,2172,,1250,49131,10480,1088,,8001,19569,2.7%@55,www.sutter.courts.ca.gov,,07/26/2016,Sutter,,,
2015,Superior Court,Sutter County Superior Court,Sutter Superior Court,Court Clerk III,False,True,,36952,50725,,45121,2752,,1250,49123,11124,1130,,15470,27724,2.7%@55,www.sutter.courts.ca.gov,,07/26/2016,Sutter,,,
2015,Superior Court,Sutter County Superior Court,Sutter Superior Court,Court Clerk III,False,True,,36952,50725,,47938,768,,,48706,10610,1103,,8001,19714,2.7%@55,www.sutter.courts.ca.gov,,07/26/2016,Sutter,,,
2015,Superior Court,Sutter County Superior Court,Sutter Superior Court,Court Accountant,False,True,,43492,58318,,43597,3790,,1250,48637,11703,1219,,17664,30586,2.7%@55,www.sutter.courts.ca.gov,,07/26/2016,Sutter,,,
2015,Superior Court,Sutter County Superior Court,Sutter Superior Court,Court Clerk III,False,True,,36952,50725,,45331,187,,1250,46768,10357,1076,,17664,29097,2.7%@55,www.sutter.courts.ca.gov,,07/26/2016,Sutter,,,
2015,Superior Court,Sutter County Superior Court,Sutter Superior Court,Court Clerk III,False,True,,36952,50725,,44516,2182,,,46698,10089,1047,,17664,28800,2.7%@55,www.sutter.courts.ca.gov,,07/26/2016,Sutter,,,
2015,Superior Court,Sutter County Superior Court,Sutter Superior Court,Court Clerk III,False,True,,36952,50725,,46305,358,,,46663,10094,1047,,7455,18596,2.7%@55,www.sutter.courts.ca.gov,,07/26/2016,Sutter,,,
2015,Superior Court,Sutter County Superior Court,Sutter Superior Court,Court Clerk III,False,True,,36952,50725,,43292,2653,,,45945,10089,1047,,13184,24320,2.7%@55,www.sutter.courts.ca.gov,,07/26/2016,Sutter,,,
2015,Superior Court,Sutter County Superior Court,Sutter Superior Court,Court Clerk III,False,True,,36952,50725,,41751,2357,,1250,45358,9876,1024,,10874,21774,2.7%@55,www.sutter.courts.ca.gov,,07/26/2016,Sutter,,,
2015,Superior Court,Sutter County Superior Court,Sutter Superior Court,Court Clerk III,False,True,,36952,50725,,43481,700,,,44181,10089,1047,,12946,24082,2.7%@55,www.sutter.courts.ca.gov,,07/26/2016,Sutter,,,
2015,Superior Court,Sutter County Superior Court,Sutter Superior Court,Court Clerk II,False,True,,33059,45769,,42148,1752,,,43900,9464,978,,12227,22669,2.7%@55,www.sutter.courts.ca.gov,,07/26/2016,Sutter,,,
2015,Superior Court,Sutter County Superior Court,Sutter Superior Court,Court Clerk III,False,True,,36952,50725,,40547,1463,,,42010,8889,915,,17664,27468,2.7%@55,www.sutter.courts.ca.gov,,07/26/2016,Sutter,,,
2015,Superior Court,Sutter County Superior Court,Sutter Superior Court,Court Clerk III,False,True,,36952,50725,,41444,400,,,41844,10214,1059,,17664,28937,2.7%@55,www.sutter.courts.ca.gov,,07/26/2016,Sutter,,,
2015,Superior Court,Sutter County Superior Court,Sutter Superior Court,Court Clerk II,False,True,,33059,45769,,39649,1694,,,41343,8506,875,,15894,25275,2.7%@55,www.sutter.courts.ca.gov,,07/26/2016,Sutter,,,
2015,Superior Court,Sutter County Superior Court,Sutter Superior Court,Court Clerk II,False,True,,33059,45769,,39260,1861,,,41121,8605,887,,7485,16977,2.7%@55,www.sutter.courts.ca.gov,,07/26/2016,Sutter,,,
2015,Superior Court,Sutter County Superior Court,Sutter Superior Court,Senior Court Attendant,False,True,,37895,51484,,40152,142,,400,40694,9832,1020,,13165,24017,2.7%@55,www.sutter.courts.ca.gov,,07/26/2016,Sutter,,,
2015,Superior Court,Sutter County Superior Court,Sutter Superior Court,Court Clerk II,False,True,,33059,45769,,38758,5,,,38763,9055,932,,12630,22617,2.7%@55,www.sutter.courts.ca.gov,,07/26/2016,Sutter,,,
2015,Superior Court,Sutter County Superior Court,Sutter Superior Court,Court Clerk II,False,True,,33059,45769,,36984,1768,,,38752,7818,799,,6928,15545,2.7%@55,www.sutter.courts.ca.gov,,07/26/2016,Sutter,,,
2015,Superior Court,Sutter County Superior Court,Sutter Superior Court,Court Attendant I,False,True,,30902,42453,,37979,28,,400,38407,8524,879,,8001,17404,2.7%@55,www.sutter.courts.ca.gov,,07/26/2016,Sutter,,,
