Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2016,Superior Court,Tehama County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,182112,191612,,188835,0,0,0,188835,0,,,19368,19368,Judicial Retirement System,https://www.tehama.courts.ca.gov/general-information/employment,,07/25/2017,Tehama,,,
2016,Superior Court,Tehama County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,182112,191612,,187459,0,0,0,187459,0,,,19458,19458,Judicial Retirement System,https://www.tehama.courts.ca.gov/general-information/employment,,07/25/2017,Tehama,,,
2016,Superior Court,Tehama County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,182112,191612,,182411,0,0,0,182411,0,,,19368,19368,Judicial Retirement System,https://www.tehama.courts.ca.gov/general-information/employment,,07/25/2017,Tehama,,,
2016,Superior Court,Tehama County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,182112,191612,,172630,0,0,0,172630,0,,,19458,19458,Judicial Retirement System,https://www.tehama.courts.ca.gov/general-information/employment,,07/25/2017,Tehama,,,
2016,Superior Court,Tehama County Superior Court,Superior Court,Court Executive Officer Jury Commissioner,False,True,,146014,157466,,148574,,,,148574,25012,0,,17388,42400,2% at 55,https://www.tehama.courts.ca.gov/general-information/employment,,07/25/2017,Tehama,,,
2016,Superior Court,Tehama County Superior Court,Superior Court,Child Support Commissioner,False,True,,141602,146580,,141602,,,5616,147218,23698,0,,15324,39022,2% at 55,https://www.tehama.courts.ca.gov/general-information/employment,,07/25/2017,Tehama,,,
2016,Superior Court,Tehama County Superior Court,Superior Court,Business Systems Analyst,False,True,,71365,89547,,84013,,6709,6389,97111,14890,0,,17388,32278,2% at 55,https://www.tehama.courts.ca.gov/general-information/employment,,07/25/2017,Tehama,,,
2016,Superior Court,Tehama County Superior Court,Superior Court,Assistant Court Executive Officer System Analyst,False,True,,94524,118647,,96982,,,,96982,15967,0,,17388,33355,2% at 55,https://www.tehama.courts.ca.gov/general-information/employment,,07/25/2017,Tehama,,,
2016,Superior Court,Tehama County Superior Court,Superior Court,Information Technician Director,False,True,,78777,96451,,92235,,,,92235,14514,0,,17388,31902,2% at 62,https://www.tehama.courts.ca.gov/general-information/employment,,07/25/2017,Tehama,,,
2016,Superior Court,Tehama County Superior Court,Superior Court,Court Division Manager,False,True,,62453,78354,,74832,4268,2359,7640,89099,13379,0,,17388,30767,2% at 55,https://www.tehama.courts.ca.gov/general-information/employment,,07/25/2017,Tehama,,,
2016,Superior Court,Tehama County Superior Court,Superior Court,Family Court Services Director,False,True,,78386,92706,,77718,,,,77718,12968,0,,17388,30356,2% at 55,https://www.tehama.courts.ca.gov/general-information/employment,,07/25/2017,Tehama,,,
2016,Superior Court,Tehama County Superior Court,Superior Court,Court Accounting Technician,False,True,,62757,78736,,65997,7466,,1754,75217,11692,0,,17388,29080,2% at 55,https://www.tehama.courts.ca.gov/general-information/employment,,07/25/2017,Tehama,,,
2016,Superior Court,Tehama County Superior Court,Superior Court,Court Interpreter,False,True,,66625,76065,,74148,,,,74148,12365,0,,17367,29732,2% at 55,https://www.tehama.courts.ca.gov/general-information/employment,,07/25/2017,Tehama,,,
2016,Superior Court,Tehama County Superior Court,Superior Court,Court Reporter,False,True,,66625,68624,,65874,417,,1676,67967,11173,0,,17367,28540,2% at 55,https://www.tehama.courts.ca.gov/general-information/employment,,07/25/2017,Tehama,,,
2016,Superior Court,Tehama County Superior Court,Superior Court,Court Reporter,False,True,,66625,68624,,65874,,,,65874,10416,0,,17367,27783,2% at 62,https://www.tehama.courts.ca.gov/general-information/employment,,07/25/2017,Tehama,,,
2016,Superior Court,Tehama County Superior Court,Superior Court,Court Division Manager,False,True,,62453,78354,,64197,959,631,,65787,10631,0,,17388,28019,2% at 55,https://www.tehama.courts.ca.gov/general-information/employment,,07/25/2017,Tehama,,,
2016,Superior Court,Tehama County Superior Court,Superior Court,Executive Assistant,False,True,,63640,78736,,55172,183,,3666,59021,10030,0,,17367,27397,2% at 55,https://www.tehama.courts.ca.gov/general-information/employment,,07/25/2017,Tehama,,,
2016,Superior Court,Tehama County Superior Court,Superior Court,Fiscal Court Manager,False,True,,67917,89548,,50538,,7562,,58100,7963,0,,11592,19555,2% at 62,https://www.tehama.courts.ca.gov/general-information/employment,,07/25/2017,Tehama,,,
2016,Superior Court,Tehama County Superior Court,Superior Court,Court Services Assistant IV,False,True,,44880,56340,,53106,1498,,1357,55961,9049,0,,17367,26416,2% at 55,https://www.tehama.courts.ca.gov/general-information/employment,,07/25/2017,Tehama,,,
2016,Superior Court,Tehama County Superior Court,Superior Court,Court Services Assistant III,False,True,,32737,48581,,45318,2264,998,4746,53326,8488,0,,17367,25855,2% at 55,https://www.tehama.courts.ca.gov/general-information/employment,,07/25/2017,Tehama,,,
2016,Superior Court,Tehama County Superior Court,Superior Court,Court Services Assistant IV,False,True,,44880,56340,,50706,495,,1357,52558,9049,0,,17367,26416,2% at 55,https://www.tehama.courts.ca.gov/general-information/employment,,07/25/2017,Tehama,,,
2016,Superior Court,Tehama County Superior Court,Superior Court,Court Services Assistant IV,False,True,,44880,56340,,47035,1143,,4128,52306,9620,0,,17367,26987,2% at 55,https://www.tehama.courts.ca.gov/general-information/employment,,07/25/2017,Tehama,,,
2016,Superior Court,Tehama County Superior Court,Superior Court,Court Probate Guardian/Conservator Investor,False,True,,46904,57153,,49773,,1269,,51042,7921,0,,17388,25309,2% at 62,https://www.tehama.courts.ca.gov/general-information/employment,,07/25/2017,Tehama,,,
2016,Superior Court,Tehama County Superior Court,Superior Court,Court Services Assistant III,False,True,,32737,48581,,46293,1872,930,1187,50282,7910,0,,17367,25277,2% at 55,https://www.tehama.courts.ca.gov/general-information/employment,,07/25/2017,Tehama,,,
2016,Superior Court,Tehama County Superior Court,Superior Court,Court Services Assistant IV,False,True,,44880,56340,,46848,2891,,,49739,7815,0,,17367,25182,2% at 55,https://www.tehama.courts.ca.gov/general-information/employment,,07/25/2017,Tehama,,,
2016,Superior Court,Tehama County Superior Court,Superior Court,Court Services Assistant III,False,True,,32737,48581,,46293,,,,46293,7717,0,,17367,25084,2% at 55,https://www.tehama.courts.ca.gov/general-information/employment,,07/25/2017,Tehama,,,
