Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2023,Superior Court,Trinity County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,228979,238479,,233901,0,0,0,233901,0,,,23376,23376,Judicial Retirement System,trinity.courts.ca.gov/general-information/human-resources,,08/06/2024,Trinity,,False,
2023,Superior Court,Trinity County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,228979,238479,,228940,0,0,0,228940,0,,,23376,23376,Judicial Retirement System,trinity.courts.ca.gov/general-information/human-resources,,08/06/2024,Trinity,,False,
2023,Superior Court,Trinity County Superior Court,Executive,Court Executive Officer,False,True,,160596,160596,,135606,,2753,4097,142456,15059,,,11555,26614,2.5% @ 55,trinity.courts.ca.gov/general-information/human-resources,,08/06/2024,Trinity,,False,
2023,Superior Court,Trinity County Superior Court,Marshal I,Marshal,False,True,,83189,111447,,101565,,2001,10864,114430,26337,,,4718,31055,3% @ 50,trinity.courts.ca.gov/general-information/human-resources,,08/06/2024,Trinity,,False,
2023,Superior Court,Trinity County Superior Court,Public Security,Sergeant Marshal,False,True,,73975,99138,,92870,,,11995,104865,26196,,8880,658,35734,3% @ 50,trinity.courts.ca.gov/general-information/human-resources,,08/06/2024,Trinity,,False,
2023,Superior Court,Trinity County Superior Court,Court Operations,Court Operations Manager,False,True,,84644,113431,,101204,,,329,101533,10314,,,11182,21496,2% @ 62,trinity.courts.ca.gov/general-information/human-resources,,08/06/2024,Trinity,,False,
2023,Superior Court,Trinity County Superior Court,Public Security,Deputy Marshal II,False,True,,64358,86251,,80795,,,10806,91601,20897,,,1185,22082,3% @ 50,trinity.courts.ca.gov/general-information/human-resources,,08/06/2024,Trinity,,False,
2023,Superior Court,Trinity County Superior Court,Public Security,Deputy Marshal II,False,True,,64358,86251,,75119,154,,14680,89953,20464,,,658,21122,3% @ 50,trinity.courts.ca.gov/general-information/human-resources,,08/06/2024,Trinity,,False,
2023,Superior Court,Trinity County Superior Court,Executive,Court Reporter,False,True,,69919,93710,,82931,,1602,453,84986,9461,,,10401,19862,2% @ 62,trinity.courts.ca.gov/general-information/human-resources,,08/06/2024,Trinity,,False,
2023,Superior Court,Trinity County Superior Court,Family Court Services,Child Recommending Custody Counselor,False,True,,99060,132750,,79562,,3140,699,83401,9016,,,10173,19189,2.5% @ 55,trinity.courts.ca.gov/general-information/human-resources,,08/06/2024,Trinity,,False,
2023,Superior Court,Trinity County Superior Court,Court Operations,Courtroom Clerk III,False,True,,57252,76737,,61856,,,8880,70736,6305,,,,6305,2.5% @ 55,trinity.courts.ca.gov/general-information/human-resources,,08/06/2024,Trinity,,False,
2023,Superior Court,Trinity County Superior Court,Court Operations,Courtroom Clerk II,False,True,,51832,69467,,55795,,,8880,64675,7047,,,405,7452,2% @ 62,trinity.courts.ca.gov/general-information/human-resources,,08/06/2024,Trinity,,False,
2023,Superior Court,Trinity County Superior Court,Court Operations,Courtroom Clerk III,False,True,,56130,75220,,57572,,2079,2657,62308,7177,,112,7734,15023,2.5% @ 55,trinity.courts.ca.gov/general-information/human-resources,,08/06/2024,Trinity,,False,
2023,Superior Court,Trinity County Superior Court,Administration,Executive Assistant,False,True,,60145,80592,,61616,,,329,61945,6281,,,10779,17060,2.5% @ 55,trinity.courts.ca.gov/general-information/human-resources,,08/06/2024,Trinity,,False,
2023,Superior Court,Trinity County Superior Court,Court Operations,Courtroom Clerk I,False,True,,46936,62892,,51899,,,453,52352,5292,,,10401,15693,2% @ 62,trinity.courts.ca.gov/general-information/human-resources,,08/06/2024,Trinity,,False,
2023,Superior Court,Trinity County Superior Court,Public Security,Deputy Marshal II - Extra Help,False,True,,24959,24959,,23760,,,,23760,,,,,0,,trinity.courts.ca.gov/general-information/human-resources,,08/06/2024,Trinity,,False,
2023,Superior Court,Trinity County Superior Court,Public Security,Deputy Marshal I,False,True,,27995,37516,,19813,,,2158,21971,2884,,,,2884,2% @ 57,trinity.courts.ca.gov/general-information/human-resources,,08/06/2024,Trinity,,False,

