Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2023,Superior Court,Ventura County Superior Court,Ventura Superior Court,Court Executive Officer,False,True,,215835,280586,,256115,0,42006,36591,334712,47877,16504,9842,18300,92523,2.1% @ 62,ventura.courts.ca.gov/careers.html,,08/06/2024,Ventura,,True,
2023,Superior Court,Ventura County Superior Court,Ventura Superior Court,Court Assistant Executive Officer,False,True,,185120,240656,,246277,0,35434,11858,293569,81656,29296,8349,18300,137601,2.35% @ 62,ventura.courts.ca.gov/careers.html,,08/06/2024,Ventura,,True,
2023,Superior Court,Ventura County Superior Court,Ventura Superior Court,Court Deputy Executive Officer,False,True,,167909,218282,,210484,0,20679,35896,267059,41739,13895,7896,18300,81830,2.1% @ 62,ventura.courts.ca.gov/careers.html,,08/06/2024,Ventura,,True,
2023,Superior Court,Ventura County Superior Court,Ventura Superior Court,Court Deputy Executive Officer,False,True,,167909,218282,,223114,0,30089,5378,258581,37004,13034,4087,18300,72425,2.1% @ 62,ventura.courts.ca.gov/careers.html,,08/06/2024,Ventura,,True,
2023,Superior Court,Ventura County Superior Court,Ventura Superior Court,Presiding Court Judge,True,True,,248018,248018,,240859,0,0,0,240859,0,0,7226,6422,13648,N/A,ventura.courts.ca.gov/careers.html,,08/06/2024,Ventura,,True,
2023,Superior Court,Ventura County Superior Court,Ventura Superior Court,Superior Court Judge,True,True,,238479,238479,,193952,0,31661,9408,235021,14230,0,1408,10472,26110,N/A,ventura.courts.ca.gov/careers.html,,08/06/2024,Ventura,,True,
2023,Superior Court,Ventura County Superior Court,Ventura Superior Court,Superior Court Judge,True,True,,238479,238479,,231766,0,0,0,231766,0,0,6953,6422,13375,N/A,ventura.courts.ca.gov/careers.html,,08/06/2024,Ventura,,True,
2023,Superior Court,Ventura County Superior Court,Ventura Superior Court,Superior Court Judge,True,True,,238479,238479,,231766,0,0,0,231766,0,0,6953,6422,13375,N/A,ventura.courts.ca.gov/careers.html,,08/06/2024,Ventura,,True,
2023,Superior Court,Ventura County Superior Court,Ventura Superior Court,Superior Court Judge,True,True,,238479,238479,,231766,0,0,0,231766,0,0,6953,6422,13375,N/A,ventura.courts.ca.gov/careers.html,,08/06/2024,Ventura,,True,
2023,Superior Court,Ventura County Superior Court,Ventura Superior Court,Superior Court Judge,True,True,,238479,238479,,231766,0,0,0,231766,0,0,6953,6422,13375,N/A,ventura.courts.ca.gov/careers.html,,08/06/2024,Ventura,,True,
2023,Superior Court,Ventura County Superior Court,Ventura Superior Court,Superior Court Judge,True,True,,238479,238479,,231766,0,0,0,231766,0,0,6953,6422,13375,N/A,ventura.courts.ca.gov/careers.html,,08/06/2024,Ventura,,True,
2023,Superior Court,Ventura County Superior Court,Ventura Superior Court,Superior Court Judge,True,True,,238479,238479,,231766,0,0,0,231766,0,0,6953,6422,13375,N/A,ventura.courts.ca.gov/careers.html,,08/06/2024,Ventura,,True,
2023,Superior Court,Ventura County Superior Court,Ventura Superior Court,Superior Court Judge,True,True,,238479,238479,,231766,0,0,0,231766,0,0,6953,6422,13375,N/A,ventura.courts.ca.gov/careers.html,,08/06/2024,Ventura,,True,
2023,Superior Court,Ventura County Superior Court,Ventura Superior Court,Superior Court Judge,True,True,,238479,238479,,231766,0,0,0,231766,0,0,6953,6422,13375,N/A,ventura.courts.ca.gov/careers.html,,08/06/2024,Ventura,,True,
2023,Superior Court,Ventura County Superior Court,Ventura Superior Court,Superior Court Judge,True,True,,238479,238479,,231766,0,0,0,231766,0,0,6953,6422,13375,N/A,ventura.courts.ca.gov/careers.html,,08/06/2024,Ventura,,True,
2023,Superior Court,Ventura County Superior Court,Ventura Superior Court,Superior Court Judge,True,True,,238479,238479,,231766,0,0,0,231766,0,0,6953,6422,13375,N/A,ventura.courts.ca.gov/careers.html,,08/06/2024,Ventura,,True,
