Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2023,Superior Court,Yolo County Superior Court,Executive,Court Executive Officer,False,True,,255395,255395,,245196,0,9527,5270,259993,24604,17265,17339,34735,93943,2.5% @ 55,www.yolo.courts.ca.gov/human-resources,,08/06/2024,Yolo,,False,
2023,Superior Court,Yolo County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,228979,238479,,175316,0,66209,14689,256214,56592,0,0,8930,65522,Judicial Retirement System,www.yolo.courts.ca.gov/human-resources,,08/06/2024,Yolo,,False,
2023,Superior Court,Yolo County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,228979,238479,,237071,0,0,11050,248121,0,0,500,25361,25861,Judicial Retirement System,www.yolo.courts.ca.gov/human-resources,,08/06/2024,Yolo,,False,
2023,Superior Court,Yolo County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,228979,238479,,227253,0,0,13034,240287,0,0,500,18221,18721,Judicial Retirement System,www.yolo.courts.ca.gov/human-resources,,08/06/2024,Yolo,,False,
2023,Superior Court,Yolo County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,228979,238479,,227698,0,0,11765,239463,0,0,0,19530,19530,Judicial Retirement System,www.yolo.courts.ca.gov/human-resources,,08/06/2024,Yolo,,False,
2023,Superior Court,Yolo County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,228979,238479,,226246,0,0,13034,239280,0,0,500,22536,23036,Judicial Retirement System,www.yolo.courts.ca.gov/human-resources,,08/06/2024,Yolo,,False,
2023,Superior Court,Yolo County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,228979,238479,,234848,0,0,2550,237398,0,0,0,1816,1816,Judicial Retirement System,www.yolo.courts.ca.gov/human-resources,,08/06/2024,Yolo,,False,
2023,Superior Court,Yolo County Superior Court,Executive,Assistant Court Executive Officer,False,True,,204079,204079,,199002,0,3738,31559,234299,19746,0,13209,19647,52602,2.5% @ 55,www.yolo.courts.ca.gov/human-resources,,08/06/2024,Yolo,,False,
2023,Superior Court,Yolo County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,228979,238479,,202163,0,20355,11528,234046,9805,7187,500,23781,41273,Judicial Retirement System,www.yolo.courts.ca.gov/human-resources,,08/06/2024,Yolo,,False,
2023,Superior Court,Yolo County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,228979,238479,,218783,0,0,13034,231817,0,0,500,23283,23783,Judicial Retirement System,www.yolo.courts.ca.gov/human-resources,,08/06/2024,Yolo,,False,
2023,Superior Court,Yolo County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,228979,238479,,218857,0,0,11885,230742,0,0,0,19371,19371,Judicial Retirement System,www.yolo.courts.ca.gov/human-resources,,08/06/2024,Yolo,,False,
2023,Superior Court,Yolo County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,228979,238479,,218753,0,0,11637,230390,0,0,0,24774,24774,Judicial Retirement System,www.yolo.courts.ca.gov/human-resources,,08/06/2024,Yolo,,False,
2023,Superior Court,Yolo County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,228979,238479,,219662,0,0,5100,224762,0,0,500,23660,24160,Judicial Retirement System,www.yolo.courts.ca.gov/human-resources,,08/06/2024,Yolo,,False,
