Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2014,Superior Court,Yuba County Superior Court,Judges' Retirement System Member,"Judge, Superior Court",True,True,,175110,184610,,184993,0,0,0,184993,0,0,0,2440,2440,Judicial Retirement System,www.yuba.courts.ca.gov,,07/25/2016,Yuba,,,
2014,Superior Court,Yuba County Superior Court,Judges' Retirement System Member,"Judge, Superior Court",True,True,,175110,184610,,182012,0,0,0,182012,0,0,0,17710,17710,Judicial Retirement System,www.yuba.courts.ca.gov,,07/25/2016,Yuba,,,
2014,Superior Court,Yuba County Superior Court,Judges' Retirement System Member,"Judge, Superior Court",True,True,,175110,184610,,179567,0,0,0,179567,0,0,0,17620,17620,Judicial Retirement System,www.yuba.courts.ca.gov,,07/25/2016,Yuba,,,
2014,Superior Court,Yuba County Superior Court,Judges' Retirement System Member,"Judge, Superior Court",True,True,,175110,184610,,178937,0,0,0,178937,0,0,0,17710,17710,Judicial Retirement System,www.yuba.courts.ca.gov,,07/25/2016,Yuba,,,
2014,Superior Court,Yuba County Superior Court,Judges' Retirement System Member,"Judge, Superior Court",True,True,,175110,184610,,176784,0,0,0,176784,0,0,0,17710,17710,Judicial Retirement System,www.yuba.courts.ca.gov,,07/25/2016,Yuba,,,
2014,Superior Court,Yuba County Superior Court,Executive,Court Executive Officer,False,True,,124848,217236,,167442,0,0,600,168042,21576,0,0,13728,35304,2% @ 55,www.yuba.courts.ca.gov,,07/25/2016,Yuba,,,
2014,Superior Court,Yuba County Superior Court,Family Court Services,Family Law Facilitator/Self-Help Atty,False,True,,73464,127836,,108984,0,0,3000,111984,13760,0,0,0,13760,2% @ 55,www.yuba.courts.ca.gov,,07/25/2016,Yuba,,,
2014,Superior Court,Yuba County Superior Court,Court Operations,Court Division Manager,False,True,,54552,94932,,85249,0,13197,600,99046,11134,0,0,9357,20491,2% @ 55,www.yuba.courts.ca.gov,,07/25/2016,Yuba,,,
2014,Superior Court,Yuba County Superior Court,Executive,Senior Attorney,False,True,,82464,143496,,97472,0,0,600,98072,12750,0,0,18129,30879,2% @ 55,www.yuba.courts.ca.gov,,07/25/2016,Yuba,,,
2014,Superior Court,Yuba County Superior Court,Information Technology,Information Systems Analyst III,False,True,,65144,113358,,90397,0,0,6271,96668,11687,0,0,0,11687,2% @ 55,www.yuba.courts.ca.gov,,07/25/2016,Yuba,,,
2014,Superior Court,Yuba County Superior Court,Information Technology,Information Systems Analyst III,False,True,,65144,113358,,90703,0,0,5186,95889,12298,0,0,18129,30427,2% @ 55,www.yuba.courts.ca.gov,,07/25/2016,Yuba,,,
2014,Superior Court,Yuba County Superior Court,Court Operations,Court Division Manager,False,True,,54552,94932,,82555,0,0,2782,85337,10681,0,0,8347,19028,2% @ 55,www.yuba.courts.ca.gov,,07/25/2016,Yuba,,,
2014,Superior Court,Yuba County Superior Court,Executive,Administrative Fiscal Officer,False,True,,56892,99000,,83095,0,0,600,83695,10840,0,0,13728,24568,2% @ 55,www.yuba.courts.ca.gov,,07/25/2016,Yuba,,,
2014,Superior Court,Yuba County Superior Court,Court Operations,Court Division Manager,False,True,,54552,94932,,80447,0,0,2782,83229,10424,0,0,8347,18771,2% @ 55,www.yuba.courts.ca.gov,,07/25/2016,Yuba,,,
2014,Superior Court,Yuba County Superior Court,Family Court Services,Child Custody Recommending Counselor II,False,True,,55265,96157,,67909,0,0,3000,70909,8553,0,0,0,8553,2% @ 55,www.yuba.courts.ca.gov,,07/25/2016,Yuba,,,
2014,Superior Court,Yuba County Superior Court,Court Reporters Unit,Court Reporter,False,True,,49149,85528,,66834,0,0,3000,69834,8408,0,0,0,8408,2% @ 55,www.yuba.courts.ca.gov,,07/25/2016,Yuba,,,
