Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2023,State Department,"Business, Consumer Services And Housing Agency",,"Deputy Secretary, General Counsel, Business, Consumer Services and Housing Agency",False,False,,185136,211608,,202178,0,0,8502,210680,66563,0,0,136,66699,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Business, Consumer Services And Housing Agency",,"Secretary, Business, Consumer Services and Housing Agency",False,False,,208695,239844,,196539,0,0,2095,198634,46734,0,0,23377,70110,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Business, Consumer Services And Housing Agency",,"Undersecretary, Business, Consumer Services and Housing Agency",False,False,,210648,210648,,195544,0,0,2120,197664,66263,0,0,18217,84479,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Business, Consumer Services And Housing Agency",,"Attorney IV, Range A",False,False,,139728,179448,,169852,0,0,10640,180492,46733,0,0,22693,69426,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Business, Consumer Services And Housing Agency",,"Deputy Secretary, Homelessness",False,False,,181176,195948,,175086,0,0,2420,177506,51560,0,0,9397,60957,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Business, Consumer Services And Housing Agency",,"Deputy Secretary, Business and Consumer Relations",False,False,,181176,195948,,172609,0,0,2443,175052,58305,0,0,9397,67701,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Business, Consumer Services And Housing Agency",,"Deputy Secretary, Housing and Consumer Relations",False,False,,170400,189864,,165352,0,0,2220,167572,46733,0,0,18217,64950,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Business, Consumer Services And Housing Agency",,"Deputy Secretary of External Affairs, Bsch",False,False,,147108,163944,,112176,0,45361,4768,162305,38125,0,0,19481,57606,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Business, Consumer Services And Housing Agency",,"Deputy Secretary, Equity and Strategic Initiative",False,False,,155760,173484,,158202,0,0,1804,160006,46733,0,0,10136,56869,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Business, Consumer Services And Housing Agency",,"Deputy Secretary of Communications, Business, Consumer Services and Housing Agency",False,False,,147132,163944,,147393,0,0,7822,155215,49713,0,0,18217,67929,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Business, Consumer Services And Housing Agency",,"Deputy Secretary of Legislation,Bcsh",False,False,,155760,173484,,139951,0,0,2293,142244,46645,0,0,9397,56041,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Business, Consumer Services And Housing Agency",,"Information Technology Specialist II, Range A",False,False,,97560,130716,,121135,0,0,2220,123355,40830,0,0,8822,49652,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Business, Consumer Services And Housing Agency",,Staff Services Manager III,False,False,,108264,122916,,115266,0,0,7010,122276,38666,0,0,9397,48062,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Business, Consumer Services And Housing Agency",,"Information Technology Specialist II, Range A",False,False,,97560,130716,,119187,0,0,2407,121594,40219,0,0,8618,48837,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
