Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2015,State Department,California Correctional Health Care Services,Headquarters,Receiver's Medical Executive (Safety),False,False,,240000,424440,,382441,0,0,1000,383441,74973,0,0,18200,93174,2.50% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,California Correctional Health Care Services,Headquarters,Receiver's Medical Executive (Safety),False,False,,240000,424440,,365360,0,0,9187,374547,71019,0,0,14024,85043,2.50% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,California Correctional Health Care Services,CDCR/CCHCS CA Health Care Fac,"Physician and Surgeon, Correctional Facility (Internal Medicine/Family Practice), Range R",False,False,,258204,271104,,249575,69555,0,23169,342299,48232,0,0,17648,65881,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,California Correctional Health Care Services,Headquarters,Receiver's Medical Executive (Safety),False,False,,240000,424440,,335054,0,0,1000,336054,64892,0,0,7268,72160,2.50% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,California Correctional Health Care Services,CDCR/CCHCS CA Health Care Fac,"Chief Physician and Surgeon, Correctional Facility, Range R",False,False,,268548,276600,,267581,57802,0,2368,327751,51036,0,0,15860,66896,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,California Correctional Health Care Services,Southern Region,Receiver's Medical Executive (Safety),False,False,,240000,424440,,321279,0,0,1007,322286,62720,0,0,18200,80921,2.50% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,California Correctional Health Care Services,CDCR/CCHCS CA Health Care Fac,Receiver's Medical Executive (Safety),False,False,,240000,424440,,299652,0,0,21972,321623,59157,0,0,12335,71492,2.50% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,California Correctional Health Care Services,CDCR/CCHCS CA Health Care Fac,"Staff Psychiatrist, Correctional and Rehabilitative Services(Safety), Range Q",False,False,,244128,293340,,299679,6969,0,7198,313846,57939,0,0,1519,59458,2.50% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,California Correctional Health Care Services,CDCR/CCHCS CA Health Care Fac,"Staff Psychiatrist, Correctional and Rehabilitative Services(Safety), Range Q",False,False,,244128,293340,,288537,23630,0,1000,313167,55987,0,0,124,56111,2.50% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,California Correctional Health Care Services,Headquarters,Receiver's Medical Executive (Safety),False,False,,240000,424440,,307332,0,0,1000,308332,59328,0,0,124,59452,2.50% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,California Correctional Health Care Services,CDCR/CCHCS CA Health Care Fac,"Physician and Surgeon, Correctional Facility (Internal Medicine/Family Practice), Range R",False,False,,258204,271104,,282625,21724,0,1000,305350,51743,0,0,1984,53727,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,California Correctional Health Care Services,CDCR/CCHCS CA Health Care Fac,"Physician and Surgeon, Correctional Facility (Internal Medicine/Family Practice), Range R",False,False,,258204,271104,,278246,25795,0,1000,305042,51743,0,0,15960,67703,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,California Correctional Health Care Services,Southern Region,Receiver's Medical Executive (Safety),False,False,,240000,424440,,304019,0,0,1014,305033,59343,0,0,18200,77544,2.50% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,California Correctional Health Care Services,CDCR/CCHCS CA Health Care Fac,"Staff Psychiatrist, Correctional and Rehabilitative Services(Safety), Range Q",False,False,,244128,293340,,286057,10963,0,6000,303020,55987,0,0,6848,62836,2.50% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,California Correctional Health Care Services,CDCR/CCHCS CA Health Care Fac,"Staff Psychiatrist, Correctional and Rehabilitative Services(Safety), Range Q",False,False,,244128,293340,,287225,9734,0,5805,302764,55987,0,0,6848,62836,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,California Correctional Health Care Services,Headquarters,Receiver's Medical Executive (Safety),False,False,,240000,424440,,300755,0,0,1000,301755,58307,0,0,7268,65575,2.50% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,California Correctional Health Care Services,Northern Region,Receiver's Medical Executive (Safety),False,False,,240000,424440,,299835,0,0,1000,300835,58758,0,0,18200,76959,2.50% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,California Correctional Health Care Services,CDCR/CCHCS CA Health Care Fac,"Senior Psychiatrist (Supervisor), Correctional and Rehabilitative Services (Safety), Range Q",False,False,,261240,311208,,295000,0,0,3024,298024,59637,0,0,14024,73662,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,California Correctional Health Care Services,CDCR/CCHCS CA Health Care Fac,"Staff Psychiatrist, Correctional and Rehabilitative Services(Safety), Range Q",False,False,,244128,293340,,288512,0,0,8705,297217,55922,0,0,2139,58061,2.50% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,California Correctional Health Care Services,Headquarters,Receiver's Medical Executive (Safety),False,False,,240000,424440,,294297,0,0,711,295007,57896,0,0,18200,76096,2.50% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,California Correctional Health Care Services,CDCR/CCHCS CA Health Care Fac,"Chief Physician and Surgeon, Correctional Facility, Range R",False,False,,268548,276600,,287174,3892,0,1000,292067,52643,0,0,18200,70843,2.50% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,California Correctional Health Care Services,CDCR/CCHCS CA Health Care Fac,"Supervising Dentist, Correctional Facility, Range Q",False,False,,257952,310836,,290760,0,0,408,291168,56243,0,0,8499,64741,2.50% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,California Correctional Health Care Services,CDCR/CCHCS CA Health Care Fac,"Staff Psychiatrist, Correctional and Rehabilitative Services(Safety), Range Q",False,False,,244128,293340,,276998,7522,0,6029,290548,56058,0,0,12795,68853,2.50% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
