Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2020,State Department,California Government Operations Agency,,"Undersecretary, Government Operations Agency",False,False,,191892,191892,,184319,0,0,1300,185619,55377,0,0,11771,67149,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,California Government Operations Agency,,"Deputy Secretary and General Counsel, Government Operations Agency",False,False,,174444,199368,,165837,0,0,6320,172157,52597,0,0,24158,76755,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,California Government Operations Agency,,"Deputy Secretary Communications, California Government Operations Agency",False,False,,133308,148524,,165155,0,0,1300,166455,50447,0,0,3226,53673,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,California Government Operations Agency,,"Secretary, Government Operations Agency",False,False,,217292,217292,,151114,0,0,1135,152249,45967,0,0,18375,64342,2.00% @ 60,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,California Government Operations Agency,,"C.E.A., Range B",False,False,,89304,210156,,147093,0,0,1300,148393,45851,0,0,20266,66117,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,California Government Operations Agency,,Deputy Secretary of Government Improvement and Accountability,False,False,,141120,157176,,141879,0,0,1300,143179,44486,0,0,23654,68140,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,California Government Operations Agency,,"Attorney IV, Range A",False,False,,125436,161052,,134107,0,0,6856,140962,44657,0,0,23222,67878,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,California Government Operations Agency,,"Deputy Secretary of Legislation, Government Operations Agency",False,False,,141120,157176,,138005,0,0,1300,139305,43312,0,0,23581,66894,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,California Government Operations Agency,,"C.E.A., Range B",False,False,,89304,210156,,119187,0,0,1300,120487,38312,0,0,24324,62636,1.25% @ 65,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,California Government Operations Agency,,Chief Data Officer,False,False,,141120,157176,,116241,0,0,1300,117541,34880,0,0,2122,37002,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,California Government Operations Agency,,Deputy Secretary of General Services,False,False,,141120,157176,,115307,0,0,1204,116511,34880,0,0,8989,43869,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,California Government Operations Agency,,Staff Services Manager II (Supervisory),False,False,,80664,100224,,95168,0,0,1300,96468,28923,0,0,3782,32705,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,California Government Operations Agency,,"C.E.A., Range A",False,False,,89304,210156,,88151,0,0,1300,89451,27060,0,0,10772,37832,2.00% @ 60,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,California Government Operations Agency,,Staff Services Manager I,False,False,,73488,91296,,84025,0,0,1300,85325,26347,0,0,17810,44157,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,California Government Operations Agency,,Staff Services Manager I,False,False,,73488,91296,,83205,0,0,1030,84234,26347,0,0,23260,49607,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,California Government Operations Agency,,Administrative Assistant to the Secretary and Undersecretary,False,False,,80664,86880,,77750,0,0,1300,79050,24612,0,0,17704,42315,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,California Government Operations Agency,,Staff Services Manager I,False,False,,73488,91296,,77035,0,0,1300,78335,23965,0,0,10499,34464,2.00% @ 60,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,California Government Operations Agency,,Special Consultant,False,False,,0,1200000,,58094,0,0,0,58094,0,0,0,0,0,,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,California Government Operations Agency,,"Staff Services Analyst (General), Range N",False,False,,52920,66252,,53207,0,0,1300,54507,16626,0,0,9842,26468,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,California Government Operations Agency,,"Associate Governmental Program Analyst, Range L",False,False,,63648,79680,,49061,0,0,1180,50240,15311,0,0,8245,23556,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,California Government Operations Agency,,"Office Technician (Typing), Range L",False,False,,38868,48636,,21280,0,0,9248,30529,6897,0,0,8957,15854,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,California Government Operations Agency,,"Deputy Secretary Human Resources, Government Operations Agency",False,False,,141120,157176,,16341,0,0,355,16696,4799,0,0,1733,6532,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,

