Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2021,State Department,California Government Operations Agency,,"Secretary, Government Operations Agency",False,False,,227179,227179,,202233,0,0,3120,205353,61485,0,0,24314,85799,2.00% @ 60,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,California Government Operations Agency,,"Undersecretary, Government Operations Agency",False,False,,200628,200628,,184399,0,0,10501,194900,54298,0,0,11532,65830,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,California Government Operations Agency,,"Deputy Secretary and General Counsel, Government Operations Agency",False,False,,182376,208440,,170705,0,0,12450,183155,53720,0,0,23858,77579,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,California Government Operations Agency,,"Attorney IV, Range A",False,False,,132240,169788,,145277,0,0,15113,160390,45417,0,0,22295,67711,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,California Government Operations Agency,,"C.E.A., Range B",False,False,,93372,226200,,146590,0,0,9231,155822,44956,0,0,19957,64913,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,California Government Operations Agency,,Deputy Secretary of General Services,False,False,,147540,164328,,143396,0,0,8956,152352,40917,0,0,10865,51781,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,California Government Operations Agency,,Chief Data Officer,False,False,,147540,164328,,145055,0,0,6348,151403,40917,0,0,2958,43875,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,California Government Operations Agency,,Deputy Secretary of Government Improvement and Accountability,False,False,,147540,164328,,141939,0,0,9049,150988,43618,0,0,19435,63053,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,California Government Operations Agency,,"Deputy Secretary Human Resources, Government Operations Agency",False,False,,147540,164328,,139127,0,0,8371,147498,40844,0,0,23342,64186,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,California Government Operations Agency,,"Deputy Secretary of Legislation, Government Operations Agency",False,False,,147540,164328,,119579,0,0,24768,144347,43646,0,0,23197,66843,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,California Government Operations Agency,,"Deputy Secretary Communications, California Government Operations Agency",False,False,,139368,155280,,140990,0,0,3120,144110,42026,0,0,2595,44621,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,California Government Operations Agency,,Deputy Secretary of External Affairs,False,False,,147540,164328,,141743,0,0,1282,143025,27610,0,0,11597,39207,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,California Government Operations Agency,,"C.E.A., Range A",False,False,,93372,226200,,129638,0,0,8304,137942,39444,0,0,19430,58874,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,California Government Operations Agency,,"C.E.A., Range B",False,False,,93372,226200,,133594,0,0,3120,136714,41292,0,0,24240,65532,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,California Government Operations Agency,,"C.E.A., Range B",False,False,,93372,226200,,117942,0,0,8226,126169,37564,0,0,23920,61484,1.25% @ 65,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,California Government Operations Agency,,"C.E.A., Range A",False,False,,93372,226200,,120623,0,0,474,121096,35937,0,0,6954,42891,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,California Government Operations Agency,,Staff Services Manager II (Supervisory),False,False,,84336,104784,,94755,0,0,8908,103663,28927,0,0,1900,30826,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,California Government Operations Agency,,"C.E.A., Range A",False,False,,93372,226200,,92712,0,0,6974,99686,28351,0,0,18535,46886,2.00% @ 60,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,California Government Operations Agency,,Staff Services Manager I,False,False,,76836,95448,,81402,0,0,7059,88461,25833,0,0,22916,48749,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,California Government Operations Agency,,Staff Services Manager I,False,False,,76836,95448,,32966,0,52024,1300,86290,10141,0,0,7540,17681,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,California Government Operations Agency,,Staff Services Manager I,False,False,,76836,95448,,81921,0,0,3120,85041,24760,0,0,10344,35105,2.00% @ 60,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,California Government Operations Agency,,Administrative Assistant to the Secretary and Undersecretary,False,False,,84336,90828,,70663,0,0,6462,77125,21613,0,0,9685,31298,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,California Government Operations Agency,,"Associate Governmental Program Analyst, Range L",False,False,,66540,83304,,61882,0,0,3120,65002,19164,0,0,9963,29127,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,California Government Operations Agency,,"Staff Services Analyst (General), Range N",False,False,,55332,69264,,55536,0,0,3120,58656,17143,0,0,9798,26940,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,California Government Operations Agency,,"Office Technician (Typing), Range L",False,False,,40632,50844,,35518,0,0,4933,40451,11158,0,0,9278,20435,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,California Government Operations Agency,,"C.E.A., Range B",False,False,,93372,226200,,36802,0,0,780,37582,11269,0,0,2087,13356,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,California Government Operations Agency,,"Legal Secretary, Range A",False,False,,44604,55848,,33861,0,0,2359,36220,11078,0,0,15040,26119,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,California Government Operations Agency,,Staff Services Manager I,False,False,,76836,95448,,14550,0,0,0,14550,0,0,0,0,0,,https://www.calhr.ca.gov,,07/26/2022,,,True,

