Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2013,State Department,California Prison Industry,R J Donovan Corr Facility- PIA,Prison Industries Administrator,False,False,,85320,96876,,82370,0,89695,0,172065,13911,0,0,12316,26227,2.50% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,California Prison Industry,Folsom State Prison - PIA,"Construction Supervisor II, (Correctional Facility)",False,False,,63996,80112,,48130,3408,118369,0,169907,8736,0,0,13047,21784,2.50% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,California Prison Industry,CA Men's Colony - PIA,Prison Industries Administrator,False,False,,85320,96876,,85326,0,51531,0,136857,15414,0,0,13424,28839,2.50% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,California Prison Industry,Deuel Vocational Inst - PIA,"Industrial Supervisor, Prison Industries (Dairy)",False,False,,47088,59544,,59991,7612,59770,1316,128687,11212,0,0,14419,25631,2.50% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,California Prison Industry,Prison Industry Authority,"General Manager, Prison Industry Authority",False,False,,117060,130380,,122085,0,0,0,122085,22055,0,0,17396,39451,2.50% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,California Prison Industry,Central CA Womens Facility-PIA,Prison Industries Superintendent II (Fabric Products),False,False,,56736,70428,,37071,0,75881,0,112951,6659,0,0,7831,14490,2.50% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,California Prison Industry,CSP - Los Angeles County,Prison Industries Superintendent II (Laundry),False,False,,56736,70428,,25387,0,86263,136,111786,4756,0,0,5053,9810,2.50% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,California Prison Industry,Prison Industry Authority,Supervising Attorney,False,False,,92232,117228,,95965,0,0,14696,110661,18574,0,0,13424,31998,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,California Prison Industry,Prison Industry Authority,Prison Industries Manager (General),False,False,,65304,81180,,48826,0,59040,0,107866,8887,0,0,8950,17836,2.50% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,California Prison Industry,Mule Creek State Prison - PIA,Prison Industries Superintendent II (Maintenance And Repair),False,False,,56736,70428,,52396,0,39751,11458,103604,12143,0,0,13424,25568,2.50% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
