Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2019,State Department,California Department of Tax and Fee Administration,,"Business Taxes Administrator III, Board Of Equalization",False,False,,110124,131328,,126585,0,136365,4881,267830,38621,0,0,17560,56181,2.00% @ 55,https://www.calhr.ca.gov,,11/22/2022,,,True,
2019,State Department,California Department of Tax and Fee Administration,,"C.E.A., Range B",False,False,,89304,210156,,141779,0,73732,6458,221969,44742,0,0,16821,61563,2.00% @ 55,https://www.calhr.ca.gov,,11/22/2022,,,True,
2019,State Department,California Department of Tax and Fee Administration,,"Deputy Director, Strategic Initiatives And External Affairs Division,California Department Of  Tax And Fee Administratio",False,False,,171252,188376,,190846,0,0,8774,199620,58789,0,0,17513,76302,2.00% @ 55,https://www.calhr.ca.gov,,11/22/2022,,,True,
2019,State Department,California Department of Tax and Fee Administration,,"Director, California Department Of Tax And Fee Administration",False,False,,198084,210984,,192402,0,0,0,192402,60237,0,0,22246,82482,2.00% @ 55,https://www.calhr.ca.gov,,11/22/2022,,,True,
2019,State Department,California Department of Tax and Fee Administration,,Supervising Tax Auditor II Board Of Equalization,False,False,,86268,113436,,78883,0,112496,0,191380,23428,0,0,2474,25902,2.00% @ 55,https://www.calhr.ca.gov,,11/22/2022,,,True,
2019,State Department,California Department of Tax and Fee Administration,,Supervising Tax Auditor III Board Of Equalization,False,False,,95148,125064,,122388,0,61585,0,183972,38480,0,0,10833,49313,2.00% @ 55,https://www.calhr.ca.gov,,11/22/2022,,,True,
2019,State Department,California Department of Tax and Fee Administration,,"Chief Deputy  Director, California Department Of Tax And Feeadministration",False,False,,183564,202404,,181989,0,0,7,181996,56686,0,0,22119,78806,2.00% @ 55,https://www.calhr.ca.gov,,11/22/2022,,,True,
2019,State Department,California Department of Tax and Fee Administration,,"C.E.A., Range A",False,False,,89304,210156,,147772,0,32704,30,180506,44929,0,0,5468,50396,2.00% @ 55,https://www.calhr.ca.gov,,11/22/2022,,,True,
2019,State Department,California Department of Tax and Fee Administration,,Supervising Tax Auditor II Board Of Equalization,False,False,,86268,113436,,113276,0,65741,0,179017,36140,0,0,18851,54990,2.00% @ 55,https://www.calhr.ca.gov,,11/22/2022,,,True,
2019,State Department,California Department of Tax and Fee Administration,,"C.E.A., Range B",False,False,,89304,210156,,178151,0,0,44,178195,58020,0,0,23135,81155,2.00% @ 55,https://www.calhr.ca.gov,,11/22/2022,,,True,
2019,State Department,California Department of Tax and Fee Administration,,"Chief Counsel, California Department Of Tax And Fee         Administration",False,False,,167736,191700,,167274,0,0,9536,176810,52593,0,0,10325,62918,2.00% @ 55,https://www.calhr.ca.gov,,11/22/2022,,,True,
