Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2020,State Department,Office of Tax Appeals,,Chief Deputy Director,False,False,,164580,183348,,183620,0,111095,1307,296022,57184,0,0,21303,78487,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,Office of Tax Appeals,,"Director, Office of Tax Appeals",False,False,,198480,210984,,190967,0,0,1323,192290,59111,0,0,19825,78935,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,Office of Tax Appeals,,"Chief Counsel, Office of Tax Appeals",False,False,,183000,183000,,170182,0,0,1337,171519,52811,0,0,19437,72249,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,Office of Tax Appeals,,"Attorney V, Range A",False,False,,132504,169116,,155043,0,0,5133,160176,48897,0,0,23546,72442,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,Office of Tax Appeals,,Assistant Chief Counsel,False,False,,151812,177564,,155590,0,0,2825,158415,48412,0,0,5188,53600,2.00% @ 60,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,Office of Tax Appeals,,Assistant Chief Counsel,False,False,,151812,177564,,152747,0,0,4420,157167,47598,0,0,24079,71677,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,Office of Tax Appeals,,Administrative Law Judge III,False,False,,120252,153480,,153291,0,0,3120,156411,45587,0,0,23302,68889,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,Office of Tax Appeals,,Administrative Law Judge III,False,False,,120252,153480,,155001,0,0,857,155858,46722,0,0,5085,51807,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,Office of Tax Appeals,,Administrative Law Judge III,False,False,,120252,153480,,151060,0,0,4420,155480,46611,0,0,10991,57602,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,Office of Tax Appeals,,Administrative Law Judge III,False,False,,120252,153480,,150838,0,0,4420,155258,46611,0,0,10991,57602,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,Office of Tax Appeals,,Administrative Law Judge III,False,False,,120252,153480,,154351,0,0,37,154388,46611,0,0,5091,51701,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,Office of Tax Appeals,,"Tax Counsel IV, Range A",False,False,,125436,161052,,149260,0,0,4314,153574,46535,0,0,17593,64129,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,Office of Tax Appeals,,Administrative Law Judge III,False,False,,120252,153480,,147688,0,0,4420,152108,46433,0,0,23377,69810,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,Office of Tax Appeals,,"Presiding Administrative Law Judge, Office of  Administrative Hearings",False,False,,122064,153612,,151488,0,0,0,151488,45557,0,0,4947,50504,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,Office of Tax Appeals,,Administrative Law Judge III,False,False,,120252,153480,,147488,0,0,3906,151394,46405,0,0,10965,57370,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,Office of Tax Appeals,,Administrative Law Judge III,False,False,,120252,153480,,140050,0,0,9303,149354,46611,0,0,23399,70010,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,Office of Tax Appeals,,Administrative Law Judge III,False,False,,120252,153480,,148328,0,0,0,148328,44596,0,0,5197,49793,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,Office of Tax Appeals,,Administrative Law Judge III,False,False,,120252,153480,,145123,0,0,2860,147983,46471,0,0,23365,69836,2.00% @ 60,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,Office of Tax Appeals,,Administrative Law Judge III,False,False,,120252,153480,,144535,0,0,3318,147853,44831,0,0,10839,55670,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,Office of Tax Appeals,,"Administrative Law Judge II (Specialist), Office of Administrative Hearings, Range A",False,False,,116136,146172,,141557,0,0,4420,145977,44300,0,0,23240,67539,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,Office of Tax Appeals,,"Tax Counsel IV, Range A",False,False,,125436,161052,,140230,0,0,4420,144650,45275,0,0,23288,68563,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,Office of Tax Appeals,,"Tax Counsel IV, Range A",False,False,,125436,161052,,138345,0,0,4470,142815,45208,0,0,23307,68515,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,Office of Tax Appeals,,"Tax Counsel III (Specialist), Range A",False,False,,113556,145680,,133350,0,0,4420,137770,42041,0,0,23096,65137,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,Office of Tax Appeals,,"Administrative Law Judge II (Specialist), Office of Administrative Hearings, Range A",False,False,,116136,146172,,130757,0,0,4420,135177,41123,0,0,23022,64145,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,Office of Tax Appeals,,"Deputy Director, Legislation and External Affairs",False,False,,127092,141588,,132604,0,0,1300,133904,40538,0,0,10859,51397,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,Office of Tax Appeals,,"Tax Counsel III (Specialist), Range A",False,False,,113556,145680,,129276,0,0,4420,133696,42025,0,0,23095,65120,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,Office of Tax Appeals,,"Tax Counsel III (Specialist), Range A",False,False,,113556,145680,,128610,0,0,4420,133030,42041,0,0,23096,65137,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,Office of Tax Appeals,,"Tax Counsel III (Specialist), Range A",False,False,,113556,145680,,128519,0,0,4420,132939,42041,0,0,23096,65137,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,Office of Tax Appeals,,"C.E.A., Range A",False,False,,89304,210156,,131335,0,0,1300,132635,40860,0,0,19823,60683,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
