Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2023,State Department,"Financial Protection and Innovation, Department of",,"Commissioner, Department of Financial Protection and Innovation",False,False,,218327,218327,,210845,0,0,630,211475,47581,0,0,1220,48801,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Financial Protection and Innovation, Department of",,"C.E.A., Range C",False,False,,117060,241728,,194603,0,0,10379,204982,66791,0,0,23377,90168,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Financial Protection and Innovation, Department of",,"Attorney, Assistant Chief Counsel",False,False,,169080,197796,,192801,0,0,8010,200811,62195,0,0,1996,64191,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Financial Protection and Innovation, Department of",,"Attorney, Assistant Chief Counsel",False,False,,169080,197796,,190811,0,0,8010,198821,62195,0,0,9397,71591,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Financial Protection and Innovation, Department of",,"Attorney, Assistant Chief Counsel",False,False,,169080,197796,,185078,0,0,8010,193088,62195,0,0,9397,71591,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Financial Protection and Innovation, Department of",,"C.E.A., Range B",False,False,,117060,241728,,188785,0,0,3510,192295,64560,0,0,23377,87937,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Financial Protection and Innovation, Department of",,General Counsel,False,False,,197352,214044,,188579,0,0,2590,191169,52632,0,0,23376,76008,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Financial Protection and Innovation, Department of",,"Attorney, Assistant Chief Counsel",False,False,,169080,197796,,186498,0,0,1107,187605,62194,0,0,23377,85571,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Financial Protection and Innovation, Department of",,"Attorney, Assistant Chief Counsel",False,False,,169080,197796,,186351,0,0,600,186951,62195,0,0,18217,80411,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Financial Protection and Innovation, Department of",,Deputy Commissioner of Investor Protection,False,False,,166248,185232,,171669,0,10229,2350,184248,51316,0,0,10107,61423,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
