Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2021,State Department,"Digital Innovation, Office of",,"Director, Office of Digital Innovation",False,False,,182964,214284,,164103,0,40322,2860,207285,41969,0,0,3401,45369,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Digital Innovation, Office of",,Deputy Director of Service Innovation,False,False,,156000,174000,,119350,0,45268,8963,173581,35704,0,0,10665,46369,2.00% @ 60,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Digital Innovation, Office of",,"Chief Deputy Director, Office of Digital Innovation",False,False,,172068,191688,,159449,0,0,3120,162569,47502,0,0,2872,50374,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Digital Innovation, Office of",,"Senior Engineer, Office of Digital Innovation",False,False,,154296,171852,,129425,0,0,2350,131776,37539,0,0,19079,56618,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Digital Innovation, Office of",,Deputy Director of User Research,False,False,,156000,174000,,126394,0,0,3120,129514,38073,0,0,10579,48653,1.25% @ 65,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Digital Innovation, Office of",,"C.E.A., Range C",False,False,,93372,226200,,114445,0,0,2600,117045,33698,0,0,17398,51096,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Digital Innovation, Office of",,Information Technology Specialist III,False,False,,101856,136500,,108837,0,0,3120,111957,33976,0,0,23110,57086,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Digital Innovation, Office of",,Data Strategist,False,False,,150396,163104,,100979,0,4836,4206,110021,29946,0,0,7331,37278,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Digital Innovation, Office of",,Information Technology Supervisor II,False,False,,91116,122088,,96446,0,0,7168,103614,29215,0,0,10812,40027,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Digital Innovation, Office of",,"Senior Engineer, Office of Digital Innovation",False,False,,154296,171852,,91296,0,0,2253,93549,26856,0,0,11703,38559,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Digital Innovation, Office of",,Special Consultant,False,False,,0,1200000,,83659,0,9286,0,92945,24969,0,0,4171,29140,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Digital Innovation, Office of",,"Insights Program Manager, Office of Digital Innovation",False,False,,144024,158520,,89801,0,0,2080,91881,26570,0,0,5086,31656,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Digital Innovation, Office of",,"Information Technology Specialist II, Range A",False,False,,92400,123816,,88202,0,0,3120,91322,27874,0,0,22473,50347,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
