Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2022,State Department,"Digital Innovation, Office of",,"C.E.A., Range C",False,False,,113652,234684,,162745,0,0,8673,171418,53864,0,0,21953,75817,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Digital Innovation, Office of",,"Senior Engineer, Office of Digital Innovation",False,False,,158148,176148,,165167,0,0,3820,168987,40803,0,0,22173,62976,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Digital Innovation, Office of",,"Deputy Director, Strategy",False,False,,153756,172200,,158282,0,0,10090,168372,44724,0,0,8901,53625,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Digital Innovation, Office of",,"Deputy Director, Operations, Office of Digital Innovation",False,False,,153756,172200,,157147,0,0,3736,160883,44795,0,0,22173,66968,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Digital Innovation, Office of",,Chief Data Officer,False,False,,175896,190236,,157969,0,0,2365,160334,40987,0,0,1062,42049,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Digital Innovation, Office of",,"Senior Engineer, Office of Digital Innovation",False,False,,158148,176148,,152329,0,0,3820,156149,44804,0,0,17169,61973,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Digital Innovation, Office of",,Deputy Director of User Research,False,False,,159900,178356,,151347,0,0,3820,155167,43556,0,0,8901,52457,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Digital Innovation, Office of",,"Senior Engineer, Office of Digital Innovation",False,False,,158148,176148,,151172,0,0,3820,154992,44804,0,0,8901,53705,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Digital Innovation, Office of",,Data Strategist,False,False,,154152,167184,,149580,0,0,3820,153400,44771,0,0,8901,53672,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Digital Innovation, Office of",,"C.E.A., Range A",False,False,,113652,234684,,145500,0,0,3870,149370,42695,0,0,8901,51596,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Digital Innovation, Office of",,"C.E.A., Range B",False,False,,113652,234684,,132941,0,0,3820,136761,42619,0,0,8901,51519,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Digital Innovation, Office of",,Information Technology Manager II,False,False,,125052,152016,,111455,0,0,3720,115175,35662,0,0,8901,44563,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Digital Innovation, Office of",,"Deputy Director, Data Programs and Policy",False,False,,153756,172200,,110317,0,0,3008,113325,36586,0,0,17169,53755,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Digital Innovation, Office of",,"C.E.A., Range B",False,False,,113652,234684,,103454,0,0,7764,111218,34229,0,0,22173,56402,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
