Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2022,State Department,"Privacy Protection Agency, California",,Executive Director California Privacy Protection Agency,False,False,,200148,200148,,193669,0,0,2520,196189,45232,0,0,132,45364,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Privacy Protection Agency, California",,"Attorney IV, Range A",False,False,,135552,174036,,163246,0,0,250,163496,40832,0,0,21513,62344,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Privacy Protection Agency, California",,"C.E.A., Range B",False,False,,113652,234684,,138530,0,0,5776,144306,42995,0,0,3687,46682,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Privacy Protection Agency, California",,"C.E.A., Range B",False,False,,113652,234684,,132651,0,0,3820,136471,43263,0,0,22173,65435,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Privacy Protection Agency, California",,"Attorney IV, Range A",False,False,,135552,174036,,90523,0,0,0,90523,0,0,0,0,0,,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Privacy Protection Agency, California",,"C.E.A., Range B",False,False,,113652,234684,,73799,0,0,2050,75849,24093,0,0,5189,29282,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Privacy Protection Agency, California",,Staff Services Manager I,False,False,,78756,97836,,67721,0,0,5859,73581,22479,0,0,8609,31089,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Privacy Protection Agency, California",,Staff Services Manager I,False,False,,78756,97836,,67392,0,0,3620,71012,21766,0,0,8177,29943,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Privacy Protection Agency, California",,Staff Services Manager II (Supervisory),False,False,,86448,107400,,69859,0,0,201,70059,22350,0,0,4456,26806,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Privacy Protection Agency, California",,"Associate Accounting Analyst, Range A",False,False,,69516,87072,,51106,0,0,3010,54116,17881,0,0,18595,36476,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Privacy Protection Agency, California",,"Associate Governmental Program Analyst, Range A",False,False,,66216,82884,,48720,0,0,2657,51377,16019,0,0,13425,29444,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Privacy Protection Agency, California",,"Attorney IV, Range A",False,False,,135552,174036,,49498,0,0,-167,49330,16259,0,0,5508,21766,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Privacy Protection Agency, California",,"Attorney, Range C",False,False,,90072,113268,,44327,0,0,-8,44318,14467,0,0,3499,17965,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Privacy Protection Agency, California",,"Associate Governmental Program Analyst, Range A",False,False,,66216,82884,,37858,0,0,500,38358,0,0,0,0,0,,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Privacy Protection Agency, California",,"Board Member, California Privacy Protection Agency",False,False,,25920,25920,,28900,0,0,350,29250,0,0,0,0,0,,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Privacy Protection Agency, California",,"Associate Governmental Program Analyst, Range A",False,False,,66216,82884,,23618,0,0,300,23918,0,0,0,0,0,,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Privacy Protection Agency, California",,Staff Services Manager II (Supervisory),False,False,,86448,107400,,23524,0,0,-455,23069,8278,0,0,2225,10503,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Privacy Protection Agency, California",,"Senior Legal Analyst, Range A",False,False,,69516,87072,,20051,0,0,0,20051,6649,0,0,33,6682,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Privacy Protection Agency, California",,"Board Member, California Privacy Protection Agency",False,False,,25920,25920,,19200,0,0,350,19550,0,0,0,0,0,,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Privacy Protection Agency, California",,"Senior Legal Analyst, Range A",False,False,,69516,87072,,16139,0,0,213,16352,5561,0,0,4031,9592,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Privacy Protection Agency, California",,"Graduate Legal Assistant, Range A",False,False,,59124,67512,,14515,0,0,0,14515,4730,0,0,33,4763,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Privacy Protection Agency, California",,"Graduate Legal Assistant, Range A",False,False,,59124,67512,,13538,0,0,-215,13323,4515,0,0,2099,6614,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Privacy Protection Agency, California",,"Board Member, California Privacy Protection Agency",False,False,,25920,25920,,2600,0,0,0,2600,0,0,0,0,0,,https://www.calhr.ca.gov,,07/25/2023,,,True,

