Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2022,State Department,"Cannabis Control, Department of",,Senior Management Auditor,False,False,,90756,118440,,85072,0,251706,7332,344110,26919,0,0,14782,41701,,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Cannabis Control, Department of",,"Director, Department of Cannabis Control",False,False,,184680,211968,,203809,0,0,10197,214006,40343,0,0,1062,41405,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Cannabis Control, Department of",,"Deputy Director of Legal, Department of Cannabis Control",False,False,,184704,199680,,188468,0,0,11228,199696,59556,0,0,8901,68457,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Cannabis Control, Department of",,"General Counsel, Department of Cannibis Control",False,False,,184704,199740,,176744,0,446,3631,180821,43233,0,0,8901,52134,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Cannabis Control, Department of",,"Attorney IV, Range A",False,False,,135552,174036,,164965,0,0,7180,172145,52145,0,0,8397,60542,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Cannabis Control, Department of",,"Chief Deputy Director, Department of Cannabis Control",False,False,,165432,184332,,169182,0,0,2470,171652,52981,0,0,1381,54361,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Cannabis Control, Department of",,Assistant Chief Counsel,False,False,,164040,191880,,171091,0,0,269,171360,54160,0,0,17067,71227,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Cannabis Control, Department of",,"Attorney IV, Range A",False,False,,135552,174036,,162867,0,0,7128,169995,51147,0,0,8397,59543,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Cannabis Control, Department of",,"C.E.A., Range B",False,False,,113652,234684,,150111,0,0,9258,159369,65755,0,0,22173,87928,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Cannabis Control, Department of",,Environmental Program Manager I (Supervisory),False,False,,139176,173016,,156953,0,0,650,157603,48979,0,0,8901,57880,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Cannabis Control, Department of",,"Attorney IV, Range A",False,False,,135552,174036,,150699,0,0,6557,157256,47901,0,0,8397,56297,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Cannabis Control, Department of",,"Deputy Director of Equity and Inclusion, Department of Cannibis Control",False,False,,142848,159168,,151486,0,0,5228,156714,44810,0,0,8901,53710,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Cannabis Control, Department of",,Senior Environmental Scientist (Supervisory),False,False,,120360,149628,,146262,0,0,4220,150482,44833,0,0,1992,46825,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
