Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2023,State Department,"Energy Infrastructure Safety, Office of",,"Program Manager, Public Utilities Commission",False,False,,174324,198012,,187323,0,9831,600,197754,46733,0,0,2162,48896,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Energy Infrastructure Safety, Office of",,"Director, Office of Energy Infrastructure Safety, Californianatural Resources Agency",False,False,,190248,205728,,181505,0,0,10050,191555,46733,0,0,23377,70110,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Energy Infrastructure Safety, Office of",,"Attorney IV, Range A",False,False,,139728,179448,,175000,0,0,14137,189137,56388,0,0,3327,59714,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Energy Infrastructure Safety, Office of",,"General Counsel, Office of Energy Infrastructure Safety",False,False,,181656,202368,,177163,0,0,9666,186829,46733,0,0,23377,70110,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Energy Infrastructure Safety, Office of",,"Attorney, Assistant Chief Counsel",False,False,,169080,197796,,180120,0,0,650,180770,46733,0,0,1996,48729,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Energy Infrastructure Safety, Office of",,"Deputy Director, Office of Energy Infrastructure Safety",False,False,,170400,189864,,164449,0,0,13720,178169,55422,0,0,22807,78229,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Energy Infrastructure Safety, Office of",,"Attorney IV, Range A",False,False,,139728,179448,,160404,0,0,13750,174154,55350,0,0,17569,72919,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Energy Infrastructure Safety, Office of",,"Program and Project Supervisor, Public Utilities Commission",False,False,,143484,179604,,161098,0,0,6388,167486,53392,0,0,23377,76769,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Energy Infrastructure Safety, Office of",,"Program Manager, Public Utilities Commission",False,False,,174324,198012,,156907,0,0,3882,160789,52638,0,0,1996,54634,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Energy Infrastructure Safety, Office of",,"Program and Project Supervisor, Public Utilities Commission",False,False,,143484,179604,,157418,0,0,1077,158495,46733,0,0,23377,70110,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Energy Infrastructure Safety, Office of",,"Program and Project Supervisor, Public Utilities Commission",False,False,,143484,179604,,147053,0,0,750,147803,46362,0,0,9397,55759,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Energy Infrastructure Safety, Office of",,"Executive Officer, Excavation Board",False,False,,140292,156276,,136559,0,0,7998,144557,45300,0,0,9397,54697,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
