Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2022,California State University,"State Polytech University, Humboldt",,"President, Range 0",False,False,,311712,586464,,384144,0,0,63584,447728,118823,0,0,25910,144733,Public Employees Retirement System,https://hraps.humboldt.edu/,,07/25/2023,Humboldt,,True,
2022,California State University,"State Polytech University, Humboldt",,"Administrator IV, Range 1",False,False,,110004,353100,,260971,0,0,3590,264561,39744,0,0,19699,59444,Public Employees Retirement System,https://hraps.humboldt.edu/,,07/25/2023,Humboldt,,True,
2022,California State University,"State Polytech University, Humboldt",,"Administrator IV, Range 1",False,False,,110004,353100,,234073,0,0,3638,237711,72724,0,0,25910,98633,Public Employees Retirement System,https://hraps.humboldt.edu/,,07/25/2023,Humboldt,,True,
2022,California State University,"State Polytech University, Humboldt",,"Administrator IV, Range 1",False,False,,110004,353100,,231491,0,0,3500,234991,40165,0,0,19699,59864,Public Employees Retirement System,https://hraps.humboldt.edu/,,07/25/2023,Humboldt,,True,
2022,California State University,"State Polytech University, Humboldt",,"Administrator IV, Range 1",False,False,"Administrator IV, Range 1",110004,353100,,201876,0,19290,7365,228531,40852,0,0,10420,51272,Public Employees Retirement System,https://hraps.humboldt.edu/,,07/25/2023,Humboldt,,True,
2022,California State University,"State Polytech University, Humboldt",,"Administrator IV, Range 1",False,False,,110004,353100,,180049,0,23982,3545,207576,39874,0,0,22775,62648,Public Employees Retirement System,https://hraps.humboldt.edu/,,07/25/2023,Humboldt,,True,
2022,California State University,"State Polytech University, Humboldt",,"Physician - Primary Care, Range 8",False,False,"Physician - Primary Care, Range 1",134064,227676,,151672,0,0,40487,192159,40540,0,0,25910,66449,Public Employees Retirement System,https://hraps.humboldt.edu/,,07/25/2023,Humboldt,,True,
2022,California State University,"State Polytech University, Humboldt",,"Administrator IV, Range 2",False,False,,110004,353100,,166979,0,0,24539,191518,40661,0,0,23627,64288,Public Employees Retirement System,https://hraps.humboldt.edu/,,07/25/2023,Humboldt,,True,
2022,California State University,"State Polytech University, Humboldt",,"Administrator IV, Range 1",False,False,,110004,353100,,186366,0,0,3758,190124,58240,0,0,25910,84149,Public Employees Retirement System,https://hraps.humboldt.edu/,,07/25/2023,Humboldt,,True,
2022,California State University,"State Polytech University, Humboldt",,"Administrator IV, Range 1",False,False,"Administrator IV, Range 1|Administrator IV, Range 1",110004,353100,,185315,0,0,3650,188965,53278,0,0,10435,63712,Public Employees Retirement System,https://hraps.humboldt.edu/,,07/25/2023,Humboldt,,True,
