Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2023,State Department,"Civil Rights Department, California",,Director/Department of Fair Employment and Housing,False,False,,190232,218327,,205050,0,0,2358,207408,46733,0,0,19077,65810,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Civil Rights Department, California",,"C.E.A., Range A",False,False,,117060,241728,,198523,0,0,2470,200993,46733,0,0,9397,56130,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Civil Rights Department, California",,"Attorney, Assistant Chief Counsel",False,False,,169080,197796,,174643,0,0,7352,181995,46733,0,0,9352,56085,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Civil Rights Department, California",,"Chief Counsel, CA Civil Rights Department",False,False,,178200,207924,,163968,0,0,15427,179395,46733,0,0,23377,70110,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Civil Rights Department, California",,"Chief Deputy Director, Civil Rights Department",False,False,,153984,185580,,170124,0,0,9161,179285,57077,0,0,18217,75293,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Civil Rights Department, California",,"Attorney, Assistant Chief Counsel",False,False,,169080,197796,,167184,0,0,7618,174802,62195,0,0,2330,64525,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Civil Rights Department, California",,"Attorney IV, Range A",False,False,,139728,179448,,174000,0,0,650,174650,46733,0,0,136,46869,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Civil Rights Department, California",,"Attorney, Assistant Chief Counsel, Range A",False,False,,169080,197796,,173889,0,0,202,174091,51350,0,0,10136,61486,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Civil Rights Department, California",,"Deputy Director of Executive Programs, Civil Rights Department",False,False,,155760,173484,,165087,0,0,8850,173937,46733,0,0,9397,56130,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Civil Rights Department, California",,"Attorney IV, Range A",False,False,,139728,179448,,172094,0,0,650,172744,46733,0,0,8857,55590,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Civil Rights Department, California",,"C.E.A., Range C",False,False,,117060,241728,,161777,0,0,8823,170600,54338,0,0,23377,77715,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Civil Rights Department, California",,"Attorney IV, Range A",False,False,,139728,179448,,166191,0,0,3640,169831,56344,0,0,8857,65201,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Civil Rights Department, California",,"Attorney IV, Range A",False,False,,139728,179448,,168508,0,0,650,169158,46733,0,0,17569,64302,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Civil Rights Department, California",,"Attorney IV, Range A",False,False,,139728,179448,,167670,0,0,600,168270,46733,0,0,8857,55590,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Civil Rights Department, California",,"Attorney III, Range A",False,False,,126432,162312,,154893,0,0,12326,167219,51030,0,0,8857,59887,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Civil Rights Department, California",,"Attorney IV, Range A",False,False,,139728,179448,,163614,0,0,600,164214,46733,0,0,22693,69426,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Civil Rights Department, California",,"C.E.A., Range C",False,False,,117060,241728,,161223,0,0,2060,163283,52096,0,0,7830,59927,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Civil Rights Department, California",,"Attorney IV, Range A",False,False,,139728,179448,,160327,0,0,600,160927,56316,0,0,22693,79008,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Civil Rights Department, California",,"C.E.A., Range B",False,False,,117060,241728,,150092,0,0,8432,158524,51423,0,0,23377,74800,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Civil Rights Department, California",,"Attorney III, Range A",False,False,,126432,162312,,153229,0,0,650,153879,51030,0,0,22693,73723,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Civil Rights Department, California",,"Attorney III, Range A",False,False,,126432,162312,,152996,0,0,650,153646,46733,0,0,17568,64302,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Civil Rights Department, California",,Deputy Director of Strategic Initiatives & External Affairs,False,False,,153300,183948,,152247,0,0,650,152897,45716,0,0,136,45852,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Civil Rights Department, California",,"Attorney V, Range A",False,False,,147480,188220,,152177,0,0,109,152286,46733,0,0,8115,54849,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Civil Rights Department, California",,"C.E.A., Range A",False,False,,117060,241728,,143014,0,0,8018,151032,47889,0,0,9397,57286,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Civil Rights Department, California",,"Attorney III, Range A",False,False,,126432,162312,,142022,0,0,6352,148374,47840,0,0,22693,70533,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Civil Rights Department, California",,"Attorney, Assistant Chief Counsel",False,False,,169080,197796,,147239,0,0,600,147839,47961,0,0,9037,56997,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Civil Rights Department, California",,"Attorney, Assistant Chief Counsel",False,False,,169080,197796,,141601,0,0,500,142101,44812,0,0,21429,66241,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Civil Rights Department, California",,"Attorney III, Range A",False,False,,126432,162312,,140775,0,0,650,141425,45357,0,0,1996,47353,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Civil Rights Department, California",,"Attorney III, Range A",False,False,,126432,162312,,140533,0,0,650,141183,46373,0,0,8857,55229,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Civil Rights Department, California",,"C.E.A., Range B",False,False,,117060,241728,,132614,0,0,7507,140121,44706,0,0,9397,54103,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Civil Rights Department, California",,"Attorney III, Range A",False,False,,126432,162312,,128434,0,0,10412,138846,42123,0,0,8857,50980,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Civil Rights Department, California",,"Attorney, Assistant Chief Counsel, Range A",False,False,,169080,197796,,138951,0,0,-217,138734,46277,0,0,19369,65646,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Civil Rights Department, California",,"Attorney III, Range A",False,False,,126432,162312,,137559,0,0,650,138209,45387,0,0,8857,54244,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Civil Rights Department, California",,"Attorney IV, Range A",False,False,,139728,179448,,137903,0,0,-90,137813,45503,0,0,18801,64304,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Civil Rights Department, California",,"C.E.A., Range A",False,False,,117060,241728,,134200,0,0,2470,136670,46150,0,0,23377,69527,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Civil Rights Department, California",,"C.E.A., Range A",False,False,,117060,241728,,128782,0,0,7607,136389,43938,0,0,18217,62155,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
